sample_id,benchmark_task,hest1k_patches,bench_patches,n_patches_hest1k,n_patches_bench,patch_shape_hest1k,patch_shape_bench,patch_dtype_hest1k,patch_dtype_bench,n_barcodes_shared,barcode_sets_identical,row_order_identical,n_barcodes_compared,max_abs_img_diff,frac_img_bytes_differing,max_abs_coord_diff,attrs_hest1k,attrs_bench,error
INT19,CCRCC,/work/users/w/e/weiyang/hest_replication/hest_ext/kidney_visium_cell/patches/INT19.h5,/work/users/w/e/weiyang/hest_replication/bench_data/CCRCC/patches/INT19.h5,4948,4948,224x224x3,224x224x3,uint8,uint8,4948,True,True,32,146,0.897119,13283,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [4948, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [4948, 2]}, ""img"": {""attrs"": {""downsample"": ""1.0934826453545123"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4572546277932903""}, ""dtype"": ""uint8"", ""shape"": [4948, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [4948, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [4948, 2]}, ""img"": {""attrs"": {""factor"": ""1.0934826453545123"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [4948, 224, 224, 3]}}, ""file"": {}}",
INT2,CCRCC,/work/users/w/e/weiyang/hest_replication/hest_ext/kidney_visium_cell/patches/INT2.h5,/work/users/w/e/weiyang/hest_replication/bench_data/CCRCC/patches/INT2.h5,2541,2580,224x224x3,224x224x3,uint8,uint8,2541,False,False,32,126,0.846211,9868,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [2541, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [2541, 2]}, ""img"": {""attrs"": {""downsample"": ""1.0940000000000003"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4570383912248628""}, ""dtype"": ""uint8"", ""shape"": [2541, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [2580, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [2580, 2]}, ""img"": {""attrs"": {""factor"": ""1.094"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [2580, 224, 224, 3]}}, ""file"": {}}",
INT20,CCRCC,/work/users/w/e/weiyang/hest_replication/hest_ext/kidney_visium_cell/patches/INT20.h5,/work/users/w/e/weiyang/hest_replication/bench_data/CCRCC/patches/INT20.h5,4860,4860,224x224x3,224x224x3,uint8,uint8,4860,True,True,32,152,0.939361,13673,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [4860, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [4860, 2]}, ""img"": {""attrs"": {""downsample"": ""1.0938296796023883"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4571095567472187""}, ""dtype"": ""uint8"", ""shape"": [4860, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [4860, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [4860, 2]}, ""img"": {""attrs"": {""factor"": ""1.0938296796023883"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [4860, 224, 224, 3]}}, ""file"": {}}",
INT21,CCRCC,/work/users/w/e/weiyang/hest_replication/hest_ext/kidney_visium_cell/patches/INT21.h5,/work/users/w/e/weiyang/hest_replication/bench_data/CCRCC/patches/INT21.h5,4960,4975,224x224x3,224x224x3,uint8,uint8,4960,False,False,32,128,0.923857,12597,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [4960, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [4960, 2]}, ""img"": {""attrs"": {""downsample"": ""1.0932865101795142"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4573366590957951""}, ""dtype"": ""uint8"", ""shape"": [4960, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [4975, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [4975, 2]}, ""img"": {""attrs"": {""factor"": ""1.0932865101795142"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [4975, 224, 224, 3]}}, ""file"": {}}",
INT22,CCRCC,/work/users/w/e/weiyang/hest_replication/hest_ext/kidney_visium_cell/patches/INT22.h5,/work/users/w/e/weiyang/hest_replication/bench_data/CCRCC/patches/INT22.h5,3826,3829,224x224x3,224x224x3,uint8,uint8,3826,False,False,32,132,0.935076,11804,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [3826, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [3826, 2]}, ""img"": {""attrs"": {""downsample"": ""1.0928858644125676"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4575043161243126""}, ""dtype"": ""uint8"", ""shape"": [3826, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [3829, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [3829, 2]}, ""img"": {""attrs"": {""factor"": ""1.0928858644125676"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [3829, 224, 224, 3]}}, ""file"": {}}",
INT23,CCRCC,/work/users/w/e/weiyang/hest_replication/hest_ext/kidney_visium_cell/patches/INT23.h5,/work/users/w/e/weiyang/hest_replication/bench_data/CCRCC/patches/INT23.h5,4755,4755,224x224x3,224x224x3,uint8,uint8,4755,True,True,32,125,0.931894,13581,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [4755, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [4755, 2]}, ""img"": {""attrs"": {""downsample"": ""1.0928170477799735"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4575331259845696""}, ""dtype"": ""uint8"", ""shape"": [4755, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [4755, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [4755, 2]}, ""img"": {""attrs"": {""factor"": ""1.0928170477799735"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [4755, 224, 224, 3]}}, ""file"": {}}",
INT24,CCRCC,/work/users/w/e/weiyang/hest_replication/hest_ext/kidney_visium_cell/patches/INT24.h5,/work/users/w/e/weiyang/hest_replication/bench_data/CCRCC/patches/INT24.h5,4483,4510,224x224x3,224x224x3,uint8,uint8,4483,False,False,32,147,0.821469,13286,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [4483, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [4483, 2]}, ""img"": {""attrs"": {""downsample"": ""1.0932132301308992"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4573673151944301""}, ""dtype"": ""uint8"", ""shape"": [4483, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [4510, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [4510, 2]}, ""img"": {""attrs"": {""factor"": ""1.0932132301308992"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [4510, 224, 224, 3]}}, ""file"": {}}",
INT3,CCRCC,/work/users/w/e/weiyang/hest_replication/hest_ext/kidney_visium_cell/patches/INT3.h5,/work/users/w/e/weiyang/hest_replication/bench_data/CCRCC/patches/INT3.h5,1973,2007,224x224x3,224x224x3,uint8,uint8,1973,False,False,32,103,0.764059,9706,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [1973, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [1973, 2]}, ""img"": {""attrs"": {""downsample"": ""1.0925"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4576659038901602""}, ""dtype"": ""uint8"", ""shape"": [1973, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [2007, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [2007, 2]}, ""img"": {""attrs"": {""factor"": ""1.0925"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [2007, 224, 224, 3]}}, ""file"": {}}",
INT4,CCRCC,/work/users/w/e/weiyang/hest_replication/hest_ext/kidney_visium_cell/patches/INT4.h5,/work/users/w/e/weiyang/hest_replication/bench_data/CCRCC/patches/INT4.h5,1255,1349,224x224x3,224x224x3,uint8,uint8,1255,False,False,32,41,0.524221,7200,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [1255, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [1255, 2]}, ""img"": {""attrs"": {""downsample"": ""1.090005096828043"", ""patch_size_src"": ""244"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4587134513912085""}, ""dtype"": ""uint8"", ""shape"": [1255, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [1349, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [1349, 2]}, ""img"": {""attrs"": {""factor"": ""1.090005096828043"", ""patch_size"": ""244""}, ""dtype"": ""uint8"", ""shape"": [1349, 224, 224, 3]}}, ""file"": {}}",
INT5,CCRCC,/work/users/w/e/weiyang/hest_replication/hest_ext/kidney_visium_cell/patches/INT5.h5,/work/users/w/e/weiyang/hest_replication/bench_data/CCRCC/patches/INT5.h5,1158,1186,224x224x3,224x224x3,uint8,uint8,1158,False,False,32,103,0.830516,7293,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [1158, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [1158, 2]}, ""img"": {""attrs"": {""downsample"": ""1.0950028538775596"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4566198144867198""}, ""dtype"": ""uint8"", ""shape"": [1158, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [1186, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [1186, 2]}, ""img"": {""attrs"": {""factor"": ""1.0950028538775594"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [1186, 224, 224, 3]}}, ""file"": {}}",
INT6,CCRCC,/work/users/w/e/weiyang/hest_replication/hest_ext/kidney_visium_cell/patches/INT6.h5,/work/users/w/e/weiyang/hest_replication/bench_data/CCRCC/patches/INT6.h5,1667,1678,224x224x3,224x224x3,uint8,uint8,1667,False,False,32,129,0.791713,11876,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [1667, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [1667, 2]}, ""img"": {""attrs"": {""downsample"": ""1.0937500793650765"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4571428239714969""}, ""dtype"": ""uint8"", ""shape"": [1667, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [1678, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [1678, 2]}, ""img"": {""attrs"": {""factor"": ""1.0937500793650765"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [1678, 224, 224, 3]}}, ""file"": {}}",
INT7,CCRCC,/work/users/w/e/weiyang/hest_replication/hest_ext/kidney_visium_cell/patches/INT7.h5,/work/users/w/e/weiyang/hest_replication/bench_data/CCRCC/patches/INT7.h5,2361,2374,224x224x3,224x224x3,uint8,uint8,2361,False,False,32,93,0.791211,8913,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [2361, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [2361, 2]}, ""img"": {""attrs"": {""downsample"": ""1.092500715102741"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4576656043222626""}, ""dtype"": ""uint8"", ""shape"": [2361, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [2374, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [2374, 2]}, ""img"": {""attrs"": {""factor"": ""1.0925007151027408"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [2374, 224, 224, 3]}}, ""file"": {}}",
INT8,CCRCC,/work/users/w/e/weiyang/hest_replication/hest_ext/kidney_visium_cell/patches/INT8.h5,/work/users/w/e/weiyang/hest_replication/bench_data/CCRCC/patches/INT8.h5,1924,1949,224x224x3,224x224x3,uint8,uint8,1924,False,False,32,119,0.803515,7427,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [1924, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [1924, 2]}, ""img"": {""attrs"": {""downsample"": ""1.0940000000000003"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4570383912248628""}, ""dtype"": ""uint8"", ""shape"": [1924, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [1949, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [1949, 2]}, ""img"": {""attrs"": {""factor"": ""1.094"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [1949, 224, 224, 3]}}, ""file"": {}}",
INT9,CCRCC,/work/users/w/e/weiyang/hest_replication/hest_ext/kidney_visium_cell/patches/INT9.h5,/work/users/w/e/weiyang/hest_replication/bench_data/CCRCC/patches/INT9.h5,1691,1696,224x224x3,224x224x3,uint8,uint8,1691,False,False,32,93,0.832773,9670,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [1691, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [1691, 2]}, ""img"": {""attrs"": {""downsample"": ""1.0927790487480606"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.457549035711129""}, ""dtype"": ""uint8"", ""shape"": [1691, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [1696, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [1696, 2]}, ""img"": {""attrs"": {""factor"": ""1.0927790487480606"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [1696, 224, 224, 3]}}, ""file"": {}}",
