encoder,task,variant,slide,n_spots,n_joined,join_rate,n_neoplastic_gt,n_stromal_lt,morph_file,area_mean_centre,area_mean_scale,task_join_rate
uni_v2,LYMPH_IDC,LYMPH_IDC,NCBI683,4992,4755,0.9525240384615384,2960,871,instrumentation/morphology_v2/LYMPH_IDC_morph.parquet,510.6805379944757,222.2314584331721,0.9253155680224404
uni_v2,LYMPH_IDC,LYMPH_IDC,NCBI684,4992,3946,0.7904647435897436,55,3075,instrumentation/morphology_v2/LYMPH_IDC_morph.parquet,510.6805379944757,222.2314584331721,0.9253155680224404
uni_v2,PRAD,PRAD,MEND139,3749,3744,0.998666311016271,248,2191,instrumentation/morphology_v2/PRAD_morph.parquet,239.66269138693573,195.6266109167039,0.9960931270929676
uni_v2,PRAD,PRAD,MEND140,1935,1934,0.999483204134367,32,1748,instrumentation/morphology_v2/PRAD_morph.parquet,239.66269138693573,195.6266109167039,0.9960931270929676
uni_v2,PRAD,PRAD,MEND141,1794,1792,0.9988851727982163,2,1779,instrumentation/morphology_v2/PRAD_morph.parquet,239.66269138693573,195.6266109167039,0.9960931270929676
uni_v2,PRAD,PRAD,MEND142,2997,2997,1.0,64,2533,instrumentation/morphology_v2/PRAD_morph.parquet,239.66269138693573,195.6266109167039,0.9960931270929676
uni_v2,PRAD,PRAD,MEND143,3816,3816,1.0,16,3713,instrumentation/morphology_v2/PRAD_morph.parquet,239.66269138693573,195.6266109167039,0.9960931270929676
uni_v2,PRAD,PRAD,MEND144,4074,4074,1.0,19,3979,instrumentation/morphology_v2/PRAD_morph.parquet,239.66269138693573,195.6266109167039,0.9960931270929676
uni_v2,PRAD,PRAD,MEND145,1418,1411,0.9950634696755994,40,1232,instrumentation/morphology_v2/PRAD_morph.parquet,239.66269138693573,195.6266109167039,0.9960931270929676
uni_v2,PRAD,PRAD,MEND146,1964,1961,0.9984725050916496,58,1755,instrumentation/morphology_v2/PRAD_morph.parquet,239.66269138693573,195.6266109167039,0.9960931270929676
uni_v2,PRAD,PRAD,MEND147,2335,2314,0.9910064239828694,351,1128,instrumentation/morphology_v2/PRAD_morph.parquet,239.66269138693573,195.6266109167039,0.9960931270929676
uni_v2,PRAD,PRAD,MEND148,1633,1628,0.9969381506429884,75,1402,instrumentation/morphology_v2/PRAD_morph.parquet,239.66269138693573,195.6266109167039,0.9960931270929676
uni_v2,PRAD,PRAD,MEND149,1851,1850,0.9994597514856834,27,1710,instrumentation/morphology_v2/PRAD_morph.parquet,239.66269138693573,195.6266109167039,0.9960931270929676
uni_v2,PRAD,PRAD,MEND150,1751,1751,1.0,105,1333,instrumentation/morphology_v2/PRAD_morph.parquet,239.66269138693573,195.6266109167039,0.9960931270929676
uni_v2,PRAD,PRAD,MEND151,2600,2600,1.0,3,2544,instrumentation/morphology_v2/PRAD_morph.parquet,239.66269138693573,195.6266109167039,0.9960931270929676
uni_v2,PRAD,PRAD,MEND152,3082,3080,0.9993510707332901,364,1479,instrumentation/morphology_v2/PRAD_morph.parquet,239.66269138693573,195.6266109167039,0.9960931270929676
uni_v2,PRAD,PRAD,MEND153,1820,1777,0.9763736263736263,48,1353,instrumentation/morphology_v2/PRAD_morph.parquet,239.66269138693573,195.6266109167039,0.9960931270929676
uni_v2,PRAD,PRAD,MEND154,2736,2727,0.9967105263157895,5,2677,instrumentation/morphology_v2/PRAD_morph.parquet,239.66269138693573,195.6266109167039,0.9960931270929676
uni_v2,PRAD,PRAD,MEND156,3554,3553,0.9997186268992684,361,2776,instrumentation/morphology_v2/PRAD_morph.parquet,239.66269138693573,195.6266109167039,0.9960931270929676
uni_v2,PRAD,PRAD,MEND157,3190,3188,0.9993730407523511,6,3085,instrumentation/morphology_v2/PRAD_morph.parquet,239.66269138693573,195.6266109167039,0.9960931270929676
uni_v2,PRAD,PRAD,MEND158,3092,3090,0.999353169469599,106,2679,instrumentation/morphology_v2/PRAD_morph.parquet,239.66269138693573,195.6266109167039,0.9960931270929676
uni_v2,PRAD,PRAD,MEND159,3856,3854,0.9994813278008299,437,2617,instrumentation/morphology_v2/PRAD_morph.parquet,239.66269138693573,195.6266109167039,0.9960931270929676
uni_v2,PRAD,PRAD,MEND160,4079,4076,0.9992645256190242,258,3386,instrumentation/morphology_v2/PRAD_morph.parquet,239.66269138693573,195.6266109167039,0.9960931270929676
uni_v2,PRAD,PRAD,MEND161,2775,2764,0.9960360360360361,4,2669,instrumentation/morphology_v2/PRAD_morph.parquet,239.66269138693573,195.6266109167039,0.9960931270929676
uni_v2,PRAD,PRAD,MEND162,2609,2484,0.9520889229589882,28,2306,instrumentation/morphology_v2/PRAD_morph.parquet,239.66269138693573,195.6266109167039,0.9960931270929676
uni_v2,IDC,IDC,NCBI783,3005,2920,0.9717138103161398,269,1922,instrumentation/morphology_v2/IDC_morph.parquet,650.1424944793333,273.6671148817347,0.983031292210716
uni_v2,IDC,IDC,NCBI785,4010,3940,0.9825436408977556,942,2334,instrumentation/morphology_v2/IDC_morph.parquet,650.1424944793333,273.6671148817347,0.983031292210716
uni_v2,IDC,IDC,TENX95,7760,7628,0.9829896907216494,1051,3956,instrumentation/morphology_v2/IDC_morph.parquet,650.1424944793333,273.6671148817347,0.983031292210716
uni_v2,IDC,IDC,TENX99,20761,20445,0.9847791532199798,1406,12819,instrumentation/morphology_v2/IDC_morph.parquet,650.1424944793333,273.6671148817347,0.983031292210716
