sample_id,home_set,n_files_expected,n_files_present,n_files_size_mismatch,bytes_expected,bytes_present,missing_files,size_mismatch_detail,n_patches,n_patch_barcodes,patch_shape,n_spots_st,patch_count_equals_spot_count,patches_h5_keys,error,n_patch_barcodes_unique,n_st_barcodes_unique,n_patch_barcodes_not_in_st,patch_barcodes_subset_of_st,patch_barcodes_unique,st_barcodes_unique,n_st_spots_without_a_patch,patch_count_le_spot_count,example_patch_barcodes_not_in_st,audit_error
INT19,kidney_visium_cell,5,5,0,960114294,960114294,,,4948,4948,224x224x3,4948,True,barcode;coords;img,,4948,4948,0,True,True,True,0,True,,
INT2,kidney_visium_cell,5,5,0,485209406,485209406,,,2541,2541,224x224x3,2580,False,barcode;coords;img,,2541,2580,0,True,True,True,39,True,,
INT20,kidney_visium_cell,5,5,0,867821567,867821567,,,4860,4860,224x224x3,4860,True,barcode;coords;img,,4860,4860,0,True,True,True,0,True,,
INT21,kidney_visium_cell,5,5,0,1047842423,1047842423,,,4960,4960,224x224x3,4975,False,barcode;coords;img,,4960,4975,0,True,True,True,15,True,,
INT22,kidney_visium_cell,5,5,0,746645391,746645391,,,3826,3826,224x224x3,3829,False,barcode;coords;img,,3826,3829,0,True,True,True,3,True,,
INT23,kidney_visium_cell,5,5,0,951402379,951402379,,,4755,4755,224x224x3,4755,True,barcode;coords;img,,4755,4755,0,True,True,True,0,True,,
INT24,kidney_visium_cell,5,5,0,908031158,908031158,,,4483,4483,224x224x3,4510,False,barcode;coords;img,,4483,4510,0,True,True,True,27,True,,
INT3,kidney_visium_cell,5,5,0,384115188,384115188,,,1973,1973,224x224x3,2007,False,barcode;coords;img,,1973,2007,0,True,True,True,34,True,,
INT4,kidney_visium_cell,5,5,0,236718462,236718462,,,1255,1255,224x224x3,1349,False,barcode;coords;img,,1255,1349,0,True,True,True,94,True,,
INT5,kidney_visium_cell,5,5,0,277859233,277859233,,,1158,1158,224x224x3,1186,False,barcode;coords;img,,1158,1186,0,True,True,True,28,True,,
INT6,kidney_visium_cell,5,5,0,342076666,342076666,,,1667,1667,224x224x3,1678,False,barcode;coords;img,,1667,1678,0,True,True,True,11,True,,
INT7,kidney_visium_cell,5,5,0,496151940,496151940,,,2361,2361,224x224x3,2374,False,barcode;coords;img,,2361,2374,0,True,True,True,13,True,,
INT8,kidney_visium_cell,5,5,0,407923197,407923197,,,1924,1924,224x224x3,1949,False,barcode;coords;img,,1924,1949,0,True,True,True,25,True,,
INT9,kidney_visium_cell,5,5,0,354336879,354336879,,,1691,1691,224x224x3,1696,False,barcode;coords;img,,1691,1696,0,True,True,True,5,True,,
MEND37,platform_pair_multitech,5,5,0,431708189,431708189,,,2334,2334,224x224x3,2363,False,barcode;coords;img,,2334,2363,0,True,True,True,29,True,,
MEND38,platform_pair_multitech,5,5,0,507429964,507429964,,,2732,2732,224x224x3,2752,False,barcode;coords;img,,2732,2752,0,True,True,True,20,True,,
MEND39,platform_pair_multitech,5,5,0,464587789,464587789,,,2489,2489,224x224x3,2496,False,barcode;coords;img,,2489,2496,0,True,True,True,7,True,,
MEND40,platform_pair_multitech,5,5,0,529861571,529861571,,,2782,2782,224x224x3,2793,False,barcode;coords;img,,2782,2793,0,True,True,True,11,True,,
NCBI538,kidney_visium_cell,5,5,0,84887360,84887360,,,427,427,224x224x3,469,False,barcode;coords;img,,427,469,0,True,True,True,42,True,,
NCBI539,kidney_visium_cell,5,5,0,79956198,79956198,,,406,406,224x224x3,475,False,barcode;coords;img,,406,475,0,True,True,True,69,True,,
NCBI540,kidney_visium_cell,5,5,0,71979738,71979738,,,359,359,224x224x3,413,False,barcode;coords;img,,359,413,0,True,True,True,54,True,,
NCBI562,kidney_visium_cell,5,5,0,476247875,476247875,,,2433,2433,224x224x3,2468,False,barcode;coords;img,,2433,2468,0,True,True,True,35,True,,
NCBI563,kidney_visium_cell,5,5,0,273601804,273601804,,,1344,1344,224x224x3,1376,False,barcode;coords;img,,1344,1376,0,True,True,True,32,True,,
NCBI564,kidney_visium_cell,5,5,0,59833460,59833460,,,198,198,224x224x3,262,False,barcode;coords;img,,198,262,0,True,True,True,64,True,,
NCBI565,kidney_visium_cell,5,5,0,195895851,195895851,,,1017,1017,224x224x3,1085,False,barcode;coords;img,,1017,1085,0,True,True,True,68,True,,
NCBI566,kidney_visium_cell,5,5,0,180601276,180601276,,,900,900,224x224x3,939,False,barcode;coords;img,,900,939,0,True,True,True,39,True,,
NCBI567,kidney_visium_cell,5,5,0,171933945,171933945,,,805,805,224x224x3,817,False,barcode;coords;img,,805,817,0,True,True,True,12,True,,
NCBI568,kidney_visium_cell,5,5,0,450278272,450278272,,,2391,2391,224x224x3,2438,False,barcode;coords;img,,2391,2438,0,True,True,True,47,True,,
NCBI692,kidney_visium_cell,5,5,0,82072235,82072235,,,357,357,224x224x3,370,False,barcode;coords;img,,357,370,0,True,True,True,13,True,,
NCBI693,kidney_visium_cell,5,5,0,111681012,111681012,,,502,502,224x224x3,507,False,barcode;coords;img,,502,507,0,True,True,True,5,True,,
NCBI694,kidney_visium_cell,5,5,0,127269516,127269516,,,640,640,224x224x3,640,True,barcode;coords;img,,640,640,0,True,True,True,0,True,,
NCBI695,kidney_visium_cell,5,5,0,141994849,141994849,,,671,671,224x224x3,673,False,barcode;coords;img,,671,673,0,True,True,True,2,True,,
NCBI696,kidney_visium_cell,5,5,0,135584794,135584794,,,645,645,224x224x3,645,True,barcode;coords;img,,645,645,0,True,True,True,0,True,,
NCBI697,kidney_visium_cell,5,5,0,66840231,66840231,,,303,303,224x224x3,317,False,barcode;coords;img,,303,317,0,True,True,True,14,True,,
NCBI698,kidney_visium_cell,5,5,0,88506677,88506677,,,405,405,224x224x3,407,False,barcode;coords;img,,405,407,0,True,True,True,2,True,,
NCBI699,kidney_visium_cell,5,5,0,158098782,158098782,,,787,787,224x224x3,787,True,barcode;coords;img,,787,787,0,True,True,True,0,True,,
NCBI700,kidney_visium_cell,5,5,0,126716781,126716781,,,601,601,224x224x3,601,True,barcode;coords;img,,601,601,0,True,True,True,0,True,,
NCBI701,kidney_visium_cell,5,5,0,177314868,177314868,,,903,903,224x224x3,904,False,barcode;coords;img,,903,904,0,True,True,True,1,True,,
NCBI702,kidney_visium_cell,5,5,0,102906567,102906567,,,458,458,224x224x3,461,False,barcode;coords;img,,458,461,0,True,True,True,3,True,,
NCBI703,kidney_visium_cell,5,5,0,95810999,95810999,,,450,450,224x224x3,453,False,barcode;coords;img,,450,453,0,True,True,True,3,True,,
NCBI704,kidney_visium_cell,5,5,0,110247043,110247043,,,524,524,224x224x3,534,False,barcode;coords;img,,524,534,0,True,True,True,10,True,,
NCBI705,kidney_visium_cell,5,5,0,110414234,110414234,,,551,551,224x224x3,560,False,barcode;coords;img,,551,560,0,True,True,True,9,True,,
NCBI706,kidney_visium_cell,5,5,0,135420996,135420996,,,664,664,224x224x3,673,False,barcode;coords;img,,664,673,0,True,True,True,9,True,,
NCBI707,kidney_visium_cell,5,5,0,132252121,132252121,,,673,673,224x224x3,673,True,barcode;coords;img,,673,673,0,True,True,True,0,True,,
NCBI708,kidney_visium_cell,5,5,0,241890823,241890823,,,1276,1276,224x224x3,1322,False,barcode;coords;img,,1276,1322,0,True,True,True,46,True,,
NCBI709,kidney_visium_cell,5,5,0,199341265,199341265,,,1029,1029,224x224x3,1034,False,barcode;coords;img,,1029,1034,0,True,True,True,5,True,,
NCBI710,kidney_visium_cell,5,5,0,187672150,187672150,,,951,951,224x224x3,956,False,barcode;coords;img,,951,956,0,True,True,True,5,True,,
NCBI711,kidney_visium_cell,5,5,0,503692604,503692604,,,2622,2622,224x224x3,2627,False,barcode;coords;img,,2622,2627,0,True,True,True,5,True,,
NCBI712,kidney_visium_cell,5,5,0,781008938,781008938,,,4159,4159,224x224x3,4166,False,barcode;coords;img,,4159,4166,0,True,True,True,7,True,,
NCBI713,kidney_visium_cell,5,5,0,671955692,671955692,,,3622,3622,224x224x3,3627,False,barcode;coords;img,,3622,3627,0,True,True,True,5,True,,
NCBI714,kidney_visium_cell,5,5,0,597881635,597881635,,,3003,3003,224x224x3,3007,False,barcode;coords;img,,3003,3007,0,True,True,True,4,True,,
NCBI759,platform_pair_multitech,5,5,0,144691419,144691419,,,449,449,224x224x3,462,False,barcode;coords;img,,449,462,0,True,True,True,13,True,,
NCBI760,platform_pair_multitech,5,5,0,190150842,190150842,,,614,614,224x224x3,621,False,barcode;coords;img,,614,621,0,True,True,True,7,True,,
NCBI761,platform_pair_multitech,5,5,0,179649604,179649604,,,598,598,224x224x3,608,False,barcode;coords;img,,598,608,0,True,True,True,10,True,,
NCBI762,platform_pair_multitech,5,5,0,353990581,353990581,,,1090,1090,224x224x3,1182,False,barcode;coords;img,,1090,1182,0,True,True,True,92,True,,
NCBI763,platform_pair_multitech,5,5,0,330747821,330747821,,,981,981,224x224x3,1071,False,barcode;coords;img,,981,1071,0,True,True,True,90,True,,
NCBI764,platform_pair_multitech,5,5,0,323565616,323565616,,,964,964,224x224x3,1145,False,barcode;coords;img,,964,1145,0,True,True,True,181,True,,
NCBI765,platform_pair_multitech,5,5,0,169474255,169474255,,,515,515,224x224x3,521,False,barcode;coords;img,,515,521,0,True,True,True,6,True,,
NCBI766,platform_pair_multitech,5,5,0,171369106,171369106,,,520,520,224x224x3,521,False,barcode;coords;img,,520,521,0,True,True,True,1,True,,
NCBI767,platform_pair_multitech,5,5,0,190428375,190428375,,,590,590,224x224x3,590,True,barcode;coords;img,,590,590,0,True,True,True,0,True,,
NCBI768,platform_pair_multitech,5,5,0,201547333,201547333,,,635,635,224x224x3,638,False,barcode;coords;img,,635,638,0,True,True,True,3,True,,
NCBI769,platform_pair_multitech,5,5,0,206871045,206871045,,,645,645,224x224x3,646,False,barcode;coords;img,,645,646,0,True,True,True,1,True,,
NCBI770,platform_pair_multitech,5,5,0,209921696,209921696,,,664,664,224x224x3,666,False,barcode;coords;img,,664,666,0,True,True,True,2,True,,
NCBI776,platform_pair_multitech,5,5,0,1054633480,1054633480,,,4973,4973,224x224x3,4992,False,barcode;coords;img,,4973,4992,0,True,True,True,19,True,,
NCBI783,institution_breast_xenium,5,5,0,598844915,598844915,,,3501,3501,224x224x3,3869,False,barcode;coords;img,,3501,3869,0,True,True,True,368,True,,
NCBI784,institution_breast_xenium,5,5,0,502372494,502372494,,,2901,2901,224x224x3,4180,False,barcode;coords;img,,2901,4180,0,True,True,True,1279,True,,
NCBI785,institution_breast_xenium,5,5,0,721476099,721476099,,,4074,4074,224x224x3,4180,False,barcode;coords;img,,4074,4180,0,True,True,True,106,True,,
NCBI885,platform_pair_multitech,5,5,0,2566828642,2566828642,,,15473,15473,224x224x3,23209,False,barcode;coords;img,,15473,23209,0,True,True,True,7736,True,,
NCBI886,platform_pair_multitech,5,5,0,2594444099,2594444099,,,15640,15640,224x224x3,23411,False,barcode;coords;img,,15640,23411,0,True,True,True,7771,True,,
NCBI887,platform_pair_multitech,5,5,0,3035274938,3035274938,,,15660,15660,224x224x3,23044,False,barcode;coords;img,,15660,23044,0,True,True,True,7384,True,,
NCBI888,platform_pair_multitech,5,5,0,3007365221,3007365221,,,15527,15527,224x224x3,22736,False,barcode;coords;img,,15527,22736,0,True,True,True,7209,True,,
TENX147,platform_pair_multitech,5,5,0,1013697092,1013697092,,,3417,3417,224x224x3,3997,False,barcode;coords;img,,3417,3997,0,True,True,True,580,True,,
TENX148,platform_pair_multitech,5,5,0,958855211,958855211,,,3535,3535,224x224x3,4379,False,barcode;coords;img,,3535,4379,0,True,True,True,844,True,,
TENX149,platform_pair_multitech,5,5,0,1042593829,1042593829,,,3620,3620,224x224x3,4009,False,barcode;coords;img,,3620,4009,0,True,True,True,389,True,,
TENX152,platform_pair_multitech,5,5,0,1042064355,1042064355,,,4096,4096,224x224x3,4269,False,barcode;coords;img,,4096,4269,0,True,True,True,173,True,,
TENX153,platform_pair_multitech,5,5,0,573583206,573583206,,,1899,1899,224x224x3,2018,False,barcode;coords;img,,1899,2018,0,True,True,True,119,True,,
TENX154,platform_pair_multitech,5,5,0,904237714,904237714,,,2123,2123,224x224x3,2220,False,barcode;coords;img,,2123,2220,0,True,True,True,97,True,,
TENX155,platform_pair_multitech,5,5,0,778089187,778089187,,,2117,2117,224x224x3,2281,False,barcode;coords;img,,2117,2281,0,True,True,True,164,True,,
TENX156,platform_pair_multitech,5,5,0,841172332,841172332,,,2037,2037,224x224x3,2179,False,barcode;coords;img,,2037,2179,0,True,True,True,142,True,,
TENX191,institution_breast_xenium,5,5,0,810618300,810618300,,,4949,4949,224x224x3,6111,False,barcode;coords;img,,4949,6111,0,True,True,True,1162,True,,
TENX192,institution_breast_xenium,5,5,0,1068601899,1068601899,,,6347,6347,224x224x3,7972,False,barcode;coords;img,,6347,7972,0,True,True,True,1625,True,,
TENX193,institution_breast_xenium,5,5,0,1308760041,1308760041,,,8021,8021,224x224x3,8987,False,barcode;coords;img,,8021,8987,0,True,True,True,966,True,,
TENX195,institution_breast_xenium,5,5,0,1051574753,1051574753,,,6254,6254,224x224x3,6824,False,barcode;coords;img,,6254,6824,0,True,True,True,570,True,,
TENX196,institution_breast_xenium,5,5,0,1499121524,1499121524,,,9103,9103,224x224x3,10020,False,barcode;coords;img,,9103,10020,0,True,True,True,917,True,,
TENX197,institution_breast_xenium,5,5,0,1489799684,1489799684,,,9119,9119,224x224x3,10083,False,barcode;coords;img,,9119,10083,0,True,True,True,964,True,,
TENX198,institution_breast_xenium,5,5,0,1211539913,1211539913,,,7221,7221,224x224x3,8307,False,barcode;coords;img,,7221,8307,0,True,True,True,1086,True,,
TENX199,institution_breast_xenium,5,5,0,383457504,383457504,,,2259,2259,224x224x3,3285,False,barcode;coords;img,,2259,3285,0,True,True,True,1026,True,,
TENX200,institution_breast_xenium,5,5,0,769743611,769743611,,,4657,4657,224x224x3,6410,False,barcode;coords;img,,4657,6410,0,True,True,True,1753,True,,
TENX201,institution_breast_xenium,5,5,0,930157991,930157991,,,5488,5488,224x224x3,6993,False,barcode;coords;img,,5488,6993,0,True,True,True,1505,True,,
TENX202,institution_breast_xenium,5,5,0,716549649,716549649,,,4291,4291,224x224x3,5599,False,barcode;coords;img,,4291,5599,0,True,True,True,1308,True,,
TENX71,kidney_visium_cell,5,5,0,1289100762,1289100762,,,5896,5896,224x224x3,5936,False,barcode;coords;img,,5896,5936,0,True,True,True,40,True,,
TENX95,institution_breast_xenium,5,5,0,1395799757,1395799757,,,7592,7592,224x224x3,11845,False,barcode;coords;img,,7592,11845,0,True,True,True,4253,True,,
TENX97,institution_breast_xenium,5,5,0,1418650712,1418650712,,,7718,7718,224x224x3,11845,False,barcode;coords;img,,7718,11845,0,True,True,True,4127,True,,
TENX98,institution_breast_xenium,5,5,0,3493850544,3493850544,,,20289,20289,224x224x3,26070,False,barcode;coords;img,,20289,26070,0,True,True,True,5781,True,,
TENX99,institution_breast_xenium,5,5,0,3531745935,3531745935,,,20549,20549,224x224x3,23060,False,barcode;coords;img,,20549,23060,0,True,True,True,2511,True,,
