probe,encoder,task,unit,n_classes,chance,n_folds,acc_blocked,acc_sd,n_slides_majority_correct,n_slides_scored,majority_vote_acc,px_values,all_resolution_uncertain,rule,n_spots,spots_per_slide,acc_random_split,acc_drop,confusion_within_subcluster_frac,confusion_within_subcluster_chance,confusion_off_diagonal_mass,subcluster_A,subcluster_B,nn_dist_random,nn_dist_blocked,verdict,acc_pooled_balanced,acc_mean_per_slide_recall,majority_class_baseline,held_out_slides,excluded_slides,note,morph_match_frac,acc_blocked_adjusted,acc_blocked_adjusted_planset,acc_drop_planset,n_slides_resolution_uncertain,n_slides_total,covariates,covariates_planset
probe2_2class,uni_v2,PRAD,PRAD patient 1,2,0.5,7.0,0.4888125,0.4431527671131029,5.0,7.0,0.7142857142857143,0.17:1;0.57:5;0.69:2,True,high accuracy => resolution is decodable independently of patient,,,,,,,,,,,,,0.4888125,0.6825,0.7142857142857143,MEND154;MEND156;MEND157;MEND158;MEND159;MEND160;MEND161,MEND162,"decision 1.1: nominal pixel-size groups, not R0's bins; the single 0.17 slide is excluded from BOTH training and evaluation; 2 classes over 7 slides, chance 0.5. PRAD carries no embedded pixel size, so these labels rest on the spot-spacing estimate alone - for Visium the more reliable of the two sources, being derived from the known 100um pitch, so a caveat and not a blocker.",,,,,,,,
probe3_composition_adjusted,uni_v2,IDC,"IDC, single-slide patients",4,0.25,,1.0,,,,,,False,large drop => composition explains separability; no drop => it does not,2104.0,,,0.01952367140065614,,,,,,,,composition explains little,,,,,,,0.6464993246285456,0.9804763285993439,0.9822426329471701,0.01775736705282993,2.0,4.0,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic;neo_area_mean,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic
probe3_composition_adjusted,uni_v2,PAAD,"PAAD, single-slide patients",3,0.3333333333333333,,0.9980842911877396,,,,,,False,large drop => composition explains separability; no drop => it does not,1849.0,,,0.2029139442932547,,,,,,,,composition explains most,,,,,,,0.7481178179896976,0.7951703468944848,0.7971109350419695,0.20097335614577005,0.0,3.0,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic;neo_area_mean,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic
probe3_composition_adjusted,uni_v2,LUNG,"LUNG, single-slide patients",2,0.5,,1.0,,,,,,False,large drop => composition explains separability; no drop => it does not,1344.0,,,0.1567986847374745,,,,,,,,composition explains most,,,,,,,0.823857087975413,0.8432013152625255,0.8522015892755517,0.14779841072444833,0.0,2.0,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic;neo_area_mean,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic
probe3_composition_adjusted,uni_v2,SKCM,"SKCM, single-slide patients",2,0.5,,0.9873949579831933,,,,,,False,large drop => composition explains separability; no drop => it does not,1059.0,,,0.2734986677597868,,,,,,,,composition explains most,,,,,,,0.6882003955174687,0.7138962902234065,0.7012912482065997,0.2861037097765936,0.0,2.0,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic;neo_area_mean,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic
probe3_composition_adjusted,uni_v2,PRAD,PRAD patient 2 (adjusted counterpart to probe 1),15,0.06666666666666667,,0.9108205591640236,,,,,,True,large drop => composition explains separability; no drop => it does not,4953.0,,,0.023362727227101643,,,,,,,,composition explains little,,,,,,,0.42092397946712296,0.887457831936922,0.8906599129369818,0.020160646227041834,15.0,15.0,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic;neo_area_mean,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic
probe1b_scan_subcluster,resnet50,PRAD,PRAD patient 2,2,0.5,15.0,0.9909375,,15.0,15.0,1.0,cut at 0.3452,True,decision 2.1: high accuracy means part of the slide signature is a scan-session effect rather than per-slide,,,,,,,,,,,,,,,,,,,,,,,,,,
probe1_slide_within_patient,resnet50,PRAD,PRAD patient 2,15,0.06666666666666667,,0.871248977389449,,,,,0.3412;0.3413;0.3414;0.3416;0.3417;0.3418;0.3484;0.3486;0.3487;0.3492,True,blocked>0.8 => technical origin; near chance => round 1's 0.98 was biology+resolution,12000.0,800.0,0.9016666666666666,0.030417689277217663,0.9447852760736196,0.4666666666666667,489.0,MEND139;MEND140;MEND141;MEND142;MEND143;MEND144;MEND145;MEND146,MEND147;MEND148;MEND149;MEND150;MEND151;MEND152;MEND153,293.0,778.8074216390082,technical,,,,,,,,,,,,,,
probe2_2class,resnet50,PRAD,PRAD patient 1,2,0.5,7.0,0.4905,0.41328424727736607,5.0,7.0,0.7142857142857143,0.17:1;0.57:5;0.69:2,True,high accuracy => resolution is decodable independently of patient,,,,,,,,,,,,,0.4905,0.6685714285714285,0.7142857142857143,MEND154;MEND156;MEND157;MEND158;MEND159;MEND160;MEND161,MEND162,"decision 1.1: nominal pixel-size groups, not R0's bins; the single 0.17 slide is excluded from BOTH training and evaluation; 2 classes over 7 slides, chance 0.5. PRAD carries no embedded pixel size, so these labels rest on the spot-spacing estimate alone - for Visium the more reliable of the two sources, being derived from the known 100um pitch, so a caveat and not a blocker.",,,,,,,,
probe3_composition_adjusted,resnet50,IDC,"IDC, single-slide patients",4,0.25,,0.9943820224719101,,,,,,False,large drop => composition explains separability; no drop => it does not,2104.0,,,0.051328381254797995,,,,,,,,partial,,,,,,,0.6464993246285456,0.9430536412171121,0.9511087654407147,0.043273257031195445,2.0,4.0,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic;neo_area_mean,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic
probe3_composition_adjusted,resnet50,PAAD,"PAAD, single-slide patients",3,0.3333333333333333,,0.9721906446044377,,,,,,False,large drop => composition explains separability; no drop => it does not,1849.0,,,0.24774650636719608,,,,,,,,composition explains most,,,,,,,0.7481178179896976,0.7244441382372416,0.7262756400687435,0.24591500453569426,0.0,3.0,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic;neo_area_mean,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic
probe3_composition_adjusted,resnet50,LUNG,"LUNG, single-slide patients",2,0.5,,0.9865944396433615,,,,,,False,large drop => composition explains separability; no drop => it does not,1344.0,,,0.21683915435364542,,,,,,,,composition explains most,,,,,,,0.823857087975413,0.769755285289716,0.7741605716333284,0.21243386801003306,0.0,2.0,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic;neo_area_mean,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic
probe3_composition_adjusted,resnet50,SKCM,"SKCM, single-slide patients",2,0.5,,1.0,,,,,,False,large drop => composition explains separability; no drop => it does not,1059.0,,,0.30332035253125644,,,,,,,,composition explains most,,,,,,,0.6882003955174687,0.6966796474687436,0.6966796474687436,0.30332035253125644,0.0,2.0,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic;neo_area_mean,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic
probe3_composition_adjusted,resnet50,PRAD,PRAD patient 2 (adjusted counterpart to probe 1),15,0.06666666666666667,,0.7977270327106865,,,,,,True,large drop => composition explains separability; no drop => it does not,4953.0,,,0.002025782625646011,,,,,,,,composition explains little,,,,,,,0.42092397946712296,0.7957012500850404,0.798564004384876,-0.0008369716741895017,15.0,15.0,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic;neo_area_mean,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic
