task,design,fold,repeat,n_genes,n_selected,n_off_panel,genes_off_panel,n_common_genes,n_selection_samples,n_selection_spots,selection_material,seconds,genes
BREAST_XENIUM,pool,breastXen_10x_Avaden_block,-1,50,50,0,,90,16,93495,all_spots_of_samples,1.7,ADH1B;ANKRD30A;APOC1;AQP1;BANK1;C15orf48;CD3E;CD68;CEACAM6;CXCR4;DSP;DST;EGFR;ERBB2;ESR1;FASN;FOXA1;GPR183;IL2RG;IL7R;KIT;KRT23;KRT5;KRT6B;LDHB;LYPD3;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;MYLK;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;S100A14;S100A8;SCGB2A1;SERHL2;SERPINA3;SFRP1;STC1;TACSTD2;TOP2A;TPD52
BREAST_XENIUM,pool,breastXen_biomarker_S3-Top,-1,50,50,0,,90,17,125214,all_spots_of_samples,1.5,ADH1B;ADIPOQ;ANKRD30A;APOC1;AQP1;AQP3;C15orf48;CD68;CD8A;CEACAM6;CYTIP;DSP;DST;EGFR;EPCAM;ERBB2;ESR1;GATA3;GPR183;IL7R;KRT14;KRT23;KRT5;KRT6B;LDHB;LYPD3;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;MYLK;NDUFA4L2;OPRPN;PGR;PIGR;PTN;S100A8;SCGB2A1;SERHL2;SERPINA3;SFRP1;STC1;TACSTD2;TFAP2A;TOP2A;TRAC;VWF
BREAST_XENIUM,pool,breastXen_biomarker_S4-Bottom,-1,50,50,0,,90,17,130042,all_spots_of_samples,1.5,ADH1B;ADIPOQ;AGR3;ANKRD30A;APOC1;AQP1;AQP3;C15orf48;CCL5;CD68;CEACAM6;CPA3;DSP;EGFR;EPCAM;ERBB2;ESR1;FOXA1;GPR183;IL2RG;IL7R;KIT;KRT14;KRT23;KRT6B;LDHB;LPL;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;SCGB2A1;SERHL2;SERPINA3;SFRP1;SFRP4;STC1;TACSTD2;TFAP2A;TOP2A;TRAC
BREAST_XENIUM,pool,breastXen_biomarker_S4-Middle,-1,50,50,0,,90,17,128845,all_spots_of_samples,1.6,ACTG2;ADH1B;ADIPOQ;AGR3;ANKRD30A;AQP1;AQP3;C15orf48;CD8A;CEACAM6;CYTIP;DSP;EGFR;EPCAM;ERBB2;ESR1;FOXA1;GATA3;GPR183;IL7R;KIT;KRT14;KRT23;KRT5;KRT6B;LDHB;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;SCGB2A1;SERHL2;SERPINA3;SFRP1;SFRP4;STC1;TACSTD2;TENT5C;TFAP2A;TOP2A;TRAC
BREAST_XENIUM,pool,breastXen_biomarker_S4-Top,-1,50,50,0,,90,17,129676,all_spots_of_samples,1.5,ACTG2;ADH1B;ADIPOQ;ANKRD30A;APOC1;AQP1;AQP3;C15orf48;CD68;CD8A;CEACAM6;CYTIP;DSP;DST;EGFR;EPCAM;ERBB2;ESR1;GATA3;GPR183;IL2RG;IL7R;KIT;KRT14;KRT23;KRT6B;LDHB;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;SCGB2A1;SERHL2;SERPINA3;SFRP1;STC1;TACSTD2;TENT5C;TFAP2A;TOP2A;TRAC
BREAST_XENIUM,random,0,0,50,50,0,,90,18,79927,random_training_spots,1.8,ACTG2;ADH1B;ADIPOQ;ANKRD30A;APOC1;AQP1;AQP3;C15orf48;CD68;CD8A;CEACAM6;CYTIP;DSP;DST;EGFR;EPCAM;ERBB2;ESR1;GPR183;IL2RG;IL7R;KIT;KRT14;KRT23;KRT6B;LDHB;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;S100A14;SCGB2A1;SERHL2;SERPINA3;SFRP1;STC1;TACSTD2;TFAP2A;TOP2A;TPD52;TRAC
BREAST_XENIUM,random,0,1,50,50,0,,90,18,79927,random_training_spots,1.9,ACTG2;ADH1B;ADIPOQ;AGR3;ANKRD30A;APOC1;AQP1;AQP3;C15orf48;CD68;CD8A;CEACAM6;CYTIP;DSP;DST;EGFR;ERBB2;ESR1;GPR183;IL2RG;IL7R;KIT;KRT14;KRT23;KRT6B;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;S100A14;SCGB2A1;SERHL2;SERPINA3;SFRP1;SFRP4;STC1;TACSTD2;TFAP2A;TOP2A;TPD52;TRAC
BREAST_XENIUM,random,0,2,50,50,0,,90,18,79927,random_training_spots,1.7,ACTG2;ADH1B;ADIPOQ;ANKRD30A;APOC1;AQP1;AQP3;C15orf48;CD68;CD8A;CEACAM6;CYTIP;DSP;DST;EGFR;EPCAM;ERBB2;ESR1;GPR183;IL2RG;IL7R;KIT;KRT14;KRT23;KRT6B;LDHB;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;S100A14;SCGB2A1;SERHL2;SERPINA3;SFRP1;STC1;TACSTD2;TFAP2A;TOP2A;TPD52;TRAC
BREAST_XENIUM,random,0,3,50,50,0,,90,18,79927,random_training_spots,1.7,ACTG2;ADH1B;ADIPOQ;ANKRD30A;APOC1;AQP1;AQP3;C15orf48;CD68;CD8A;CEACAM6;CYTIP;DSP;DST;EGFR;EPCAM;ERBB2;ESR1;GPR183;IL2RG;IL7R;KIT;KRT14;KRT23;KRT6B;LDHB;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;S100A14;SCGB2A1;SERHL2;SERPINA3;SFRP1;STC1;TACSTD2;TFAP2A;TOP2A;TPD52;TRAC
BREAST_XENIUM,random,0,4,50,50,0,,90,18,79927,random_training_spots,1.8,ACTG2;ADH1B;ADIPOQ;AGR3;ANKRD30A;APOC1;AQP1;AQP3;BANK1;C15orf48;CD68;CEACAM6;CYTIP;DSP;DST;EGFR;ERBB2;ESR1;GPR183;IL2RG;IL7R;KIT;KRT14;KRT23;KRT6B;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;S100A14;SCGB2A1;SERHL2;SERPINA3;SFRP1;SFRP4;STC1;TACSTD2;TFAP2A;TOP2A;TPD52;TRAC
BREAST_XENIUM,random,1,0,50,50,0,,90,18,104955,random_training_spots,1.8,ACTG2;ADH1B;ADIPOQ;AGR3;ANKRD30A;APOC1;AQP1;AQP3;C15orf48;CD68;CD8A;CEACAM6;CYTIP;DSP;DST;EGFR;EPCAM;ERBB2;ESR1;GPR183;IL2RG;IL7R;KIT;KRT14;KRT23;KRT6B;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;SCGB2A1;SERHL2;SERPINA3;SFRP1;SFRP4;STC1;TACSTD2;TFAP2A;TOP2A;TPD52;TRAC
BREAST_XENIUM,random,1,1,50,50,0,,90,18,104955,random_training_spots,1.9,ACTG2;ADH1B;ADIPOQ;AGR3;ANKRD30A;APOC1;AQP1;AQP3;C15orf48;CD68;CD8A;CEACAM6;CYTIP;DSP;DST;EGFR;EPCAM;ERBB2;ESR1;GPR183;IL2RG;KIT;KRT14;KRT23;KRT6B;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;S100A14;SCGB2A1;SERHL2;SERPINA3;SFRP1;SFRP4;STC1;TACSTD2;TFAP2A;TOP2A;TPD52;TRAC
BREAST_XENIUM,random,1,2,50,50,0,,90,18,104955,random_training_spots,1.9,ACTG2;ADH1B;ADIPOQ;ANKRD30A;APOC1;AQP1;AQP3;C15orf48;CD68;CD8A;CEACAM6;CYTIP;DSP;DST;EGFR;EPCAM;ERBB2;ESR1;GPR183;IL2RG;IL7R;KIT;KRT14;KRT23;KRT6B;LDHB;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;SCGB2A1;SERHL2;SERPINA3;SFRP1;STC1;TACSTD2;TENT5C;TFAP2A;TOP2A;TPD52;TRAC
BREAST_XENIUM,random,1,3,50,50,0,,90,18,104955,random_training_spots,1.9,ACTG2;ADH1B;ADIPOQ;ANKRD30A;APOC1;AQP1;AQP3;C15orf48;CD68;CD8A;CEACAM6;CYTIP;DSP;DST;EGFR;EPCAM;ERBB2;ESR1;GPR183;IL2RG;IL7R;KIT;KRT14;KRT23;KRT6B;LDHB;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;S100A14;SCGB2A1;SERHL2;SERPINA3;SFRP1;STC1;TACSTD2;TFAP2A;TOP2A;TPD52;TRAC
BREAST_XENIUM,random,1,4,50,50,0,,90,18,104955,random_training_spots,1.9,ACTG2;ADH1B;ADIPOQ;AGR3;ANKRD30A;APOC1;AQP1;AQP3;C15orf48;CD68;CD8A;CEACAM6;CYTIP;DSP;DST;EGFR;ERBB2;ESR1;GPR183;IL2RG;IL7R;KIT;KRT14;KRT23;KRT6B;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;S100A14;SCGB2A1;SERHL2;SERPINA3;SFRP1;SFRP4;STC1;TACSTD2;TFAP2A;TOP2A;TPD52;TRAC
BREAST_XENIUM,random,2,0,50,50,0,,90,18,113964,random_training_spots,2.0,ACTG2;ADH1B;ADIPOQ;AGR3;ANKRD30A;APOC1;AQP1;AQP3;C15orf48;CD68;CD8A;CEACAM6;CYTIP;DSP;DST;EGFR;ERBB2;ESR1;GPR183;IL2RG;IL7R;KIT;KRT14;KRT23;KRT6B;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;S100A14;SCGB2A1;SERHL2;SERPINA3;SFRP1;SFRP4;STC1;TACSTD2;TFAP2A;TOP2A;TPD52;TRAC
BREAST_XENIUM,random,2,1,50,50,0,,90,18,113964,random_training_spots,1.9,ACTG2;ADH1B;ADIPOQ;AGR3;ANKRD30A;APOC1;AQP1;AQP3;C15orf48;CD68;CD8A;CEACAM6;CYTIP;DSP;DST;EGFR;EPCAM;ERBB2;ESR1;GPR183;IL2RG;KIT;KRT14;KRT23;KRT6B;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;S100A14;SCGB2A1;SERHL2;SERPINA3;SFRP1;SFRP4;STC1;TACSTD2;TFAP2A;TOP2A;TPD52;TRAC
BREAST_XENIUM,random,2,2,50,50,0,,90,18,113964,random_training_spots,2.1,ACTG2;ADH1B;ADIPOQ;ANKRD30A;APOC1;AQP1;AQP3;C15orf48;CD68;CD8A;CEACAM6;CYTIP;DSP;DST;EGFR;EPCAM;ERBB2;ESR1;GPR183;IL2RG;IL7R;KIT;KRT14;KRT23;KRT6B;LDHB;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;S100A14;SCGB2A1;SERHL2;SERPINA3;SFRP1;STC1;TACSTD2;TFAP2A;TOP2A;TPD52;TRAC
BREAST_XENIUM,random,2,3,50,50,0,,90,18,113964,random_training_spots,2.0,ACTG2;ADH1B;ADIPOQ;AGR3;ANKRD30A;APOC1;AQP1;AQP3;C15orf48;CD68;CD8A;CEACAM6;CYTIP;DSP;DST;EGFR;ERBB2;ESR1;GPR183;IL2RG;IL7R;KIT;KRT14;KRT23;KRT6B;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;S100A14;SCGB2A1;SERHL2;SERPINA3;SFRP1;SFRP4;STC1;TACSTD2;TFAP2A;TOP2A;TPD52;TRAC
BREAST_XENIUM,random,2,4,50,50,0,,90,18,113964,random_training_spots,1.9,ACTG2;ADH1B;ADIPOQ;AGR3;ANKRD30A;APOC1;AQP1;AQP3;BANK1;C15orf48;CD68;CD8A;CEACAM6;CYTIP;DSP;DST;EGFR;ERBB2;ESR1;GPR183;IL2RG;KIT;KRT14;KRT23;KRT6B;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;S100A14;SCGB2A1;SERHL2;SERPINA3;SFRP1;SFRP4;STC1;TACSTD2;TFAP2A;TOP2A;TPD52;TRAC
BREAST_XENIUM,random,3,0,50,50,0,,90,18,119090,random_training_spots,2.0,ACTG2;ADH1B;ADIPOQ;AGR3;ANKRD30A;APOC1;AQP1;AQP3;BANK1;C15orf48;CD68;CD8A;CEACAM6;CYTIP;DSP;DST;EGFR;EPCAM;ERBB2;ESR1;GPR183;IL2RG;KIT;KRT14;KRT23;KRT6B;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;SCGB2A1;SERHL2;SERPINA3;SFRP1;SFRP4;STC1;TACSTD2;TFAP2A;TOP2A;TPD52;TRAC
BREAST_XENIUM,random,3,1,50,50,0,,90,18,119090,random_training_spots,2.0,ACTG2;ADH1B;ADIPOQ;AGR3;ANKRD30A;APOC1;AQP1;AQP3;C15orf48;CD68;CD8A;CEACAM6;CYTIP;DSP;DST;EGFR;EPCAM;ERBB2;ESR1;GPR183;IL2RG;KIT;KRT14;KRT23;KRT6B;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;S100A14;SCGB2A1;SERHL2;SERPINA3;SFRP1;SFRP4;STC1;TACSTD2;TFAP2A;TOP2A;TPD52;TRAC
BREAST_XENIUM,random,3,2,50,50,0,,90,18,119090,random_training_spots,2.1,ACTG2;ADH1B;ADIPOQ;AGR3;ANKRD30A;APOC1;AQP1;AQP3;C15orf48;CD68;CD8A;CEACAM6;CYTIP;DSP;DST;EGFR;ERBB2;ESR1;GPR183;IL2RG;IL7R;KIT;KRT14;KRT23;KRT6B;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;S100A14;SCGB2A1;SERHL2;SERPINA3;SFRP1;SFRP4;STC1;TACSTD2;TFAP2A;TOP2A;TPD52;TRAC
BREAST_XENIUM,random,3,3,50,50,0,,90,18,119090,random_training_spots,1.9,ACTG2;ADH1B;ADIPOQ;AGR3;ANKRD30A;APOC1;AQP1;AQP3;C15orf48;CD68;CD8A;CEACAM6;CYTIP;DSP;DST;EGFR;EPCAM;ERBB2;ESR1;GPR183;IL2RG;KIT;KRT14;KRT23;KRT6B;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;S100A14;SCGB2A1;SERHL2;SERPINA3;SFRP1;SFRP4;STC1;TACSTD2;TFAP2A;TOP2A;TPD52;TRAC
BREAST_XENIUM,random,3,4,50,50,0,,90,18,119090,random_training_spots,1.9,ACTG2;ADH1B;ADIPOQ;AGR3;ANKRD30A;APOC1;AQP1;AQP3;C15orf48;CD68;CD8A;CEACAM6;CYTIP;DSP;DST;EGFR;EPCAM;ERBB2;ESR1;GPR183;IL2RG;IL7R;KIT;KRT14;KRT23;KRT6B;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;SCGB2A1;SERHL2;SERPINA3;SFRP1;SFRP4;STC1;TACSTD2;TFAP2A;TOP2A;TPD52;TRAC
BREAST_XENIUM,random,4,0,50,50,0,,90,18,119396,random_training_spots,1.9,ACTG2;ADH1B;ADIPOQ;AGR3;ANKRD30A;APOC1;AQP1;AQP3;C15orf48;CD68;CD8A;CEACAM6;CYTIP;DSP;DST;EGFR;ERBB2;ESR1;GPR183;IL2RG;IL7R;KIT;KRT14;KRT23;KRT6B;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;S100A14;SCGB2A1;SERHL2;SERPINA3;SFRP1;SFRP4;STC1;TACSTD2;TFAP2A;TOP2A;TPD52;TRAC
BREAST_XENIUM,random,4,1,50,50,0,,90,18,119396,random_training_spots,2.1,ACTG2;ADH1B;ADIPOQ;ANKRD30A;APOC1;AQP1;AQP3;C15orf48;CD68;CD8A;CEACAM6;CYTIP;DSP;DST;EGFR;EPCAM;ERBB2;ESR1;GPR183;IL2RG;IL7R;KIT;KRT14;KRT23;KRT6B;LDHB;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;S100A14;SCGB2A1;SERHL2;SERPINA3;SFRP1;STC1;TACSTD2;TFAP2A;TOP2A;TPD52;TRAC
BREAST_XENIUM,random,4,2,50,50,0,,90,18,119396,random_training_spots,1.9,ACTG2;ADH1B;ADIPOQ;AGR3;ANKRD30A;APOC1;AQP1;AQP3;C15orf48;CD68;CD8A;CEACAM6;CYTIP;DSP;DST;EGFR;ERBB2;ESR1;GPR183;IL2RG;IL7R;KIT;KRT14;KRT23;KRT6B;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;S100A14;SCGB2A1;SERHL2;SERPINA3;SFRP1;SFRP4;STC1;TACSTD2;TFAP2A;TOP2A;TPD52;TRAC
BREAST_XENIUM,random,4,3,50,50,0,,90,18,119396,random_training_spots,2.0,ACTG2;ADH1B;ADIPOQ;AGR3;ANKRD30A;APOC1;AQP1;AQP3;C15orf48;CD68;CD8A;CEACAM6;CYTIP;DSP;DST;EGFR;ERBB2;ESR1;GPR183;IL2RG;IL7R;KIT;KRT14;KRT23;KRT6B;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;S100A14;SCGB2A1;SERHL2;SERPINA3;SFRP1;SFRP4;STC1;TACSTD2;TFAP2A;TOP2A;TPD52;TRAC
BREAST_XENIUM,random,4,4,50,50,0,,90,18,119396,random_training_spots,2.0,ACTG2;ADH1B;ADIPOQ;AGR3;ANKRD30A;APOC1;AQP1;AQP3;C15orf48;CD68;CD8A;CEACAM6;CYTIP;DSP;DST;EGFR;EPCAM;ERBB2;ESR1;GPR183;IL2RG;KIT;KRT14;KRT23;KRT6B;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;S100A14;SCGB2A1;SERHL2;SERPINA3;SFRP1;SFRP4;STC1;TACSTD2;TFAP2A;TOP2A;TPD52;TRAC
