task,design,fold,repeat,n_genes,n_selected,n_off_panel,genes_off_panel,n_common_genes,n_selection_samples,n_selection_spots,selection_material,seconds,genes
INDIANA_KIDNEY,pool,kidVis_atlas_30-10631,-1,50,50,0,,3619,25,30785,all_spots_of_samples,12.6,ACTA2;ACY1;AKR1A1;AKR1C3;AQP2;ARG2;BHMT2;BICDL1;BOLA3;CD68;CDC42EP3;CLDN10;CLDN5;COL4A1;CRIP1;DEPP1;FAM102A;FHL1;FN1;G0S2;GPNMB;HLA-DMB;IGFBP3;MAL2;MRPL34;MRPS12;MT1X;NDUFS4;NQO2;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTPRB;RDH10;RGCC;S100A2;SLC9A3R2;SMIM5;SPARCL1;TCIM;TFRC;TGFBR3;TIMM10;TMEM101;TNFSF10;TPD52L1;TPM2;VAMP5
INDIANA_KIDNEY,pool,kidVis_atlas_30-10929,-1,50,50,0,,3617,25,30923,all_spots_of_samples,13.7,ACTA2;ACY1;AKR1C3;AQP2;ARG2;BICDL1;BOLA3;CD68;CDC42EP3;CLDN10;CLDN5;CRIP1;DEPP1;FAM102A;FHL1;FN1;G0S2;GPNMB;HLA-DMB;IGFBP3;LAPTM5;MAL2;MRPL34;MRPS12;MT1F;MT1X;NDUFS4;PDLIM2;PDZK1;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTPRB;RDH10;RGCC;S100A2;SLC9A3R2;SMIM5;SPARCL1;TCIM;TFRC;TGFBR3;THY1;TIMM10;TMEM101;TPD52L1;VAMP5;XBP1
INDIANA_KIDNEY,pool,kidVis_atlas_31-10042,-1,50,50,0,,3617,25,30824,all_spots_of_samples,12.5,ACTA2;ACY1;AKR1C3;AQP2;BHMT2;BICDL1;BOLA3;CD68;CDC42EP3;CLDN10;CLDN5;CRIP1;DEPP1;EMCN;FAM102A;FHL1;FN1;G0S2;GPNMB;HLA-DMB;IGFBP3;MAL2;MRPL34;MSRB1;MT1F;MT1X;NDUFS4;NQO2;PDLIM2;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTPRB;RDH10;RGCC;S100A2;SLC9A3R2;SMIM5;SPARCL1;TCIM;TFRC;TGFBR3;THY1;TIMM10;TMEM101;TNFAIP2;TNFSF10;TPD52L1
INDIANA_KIDNEY,pool,kidVis_atlas_31-10221,-1,50,50,0,,3617,25,30901,all_spots_of_samples,12.4,ACTA2;ACY1;ADGRF5;AKR1C3;AQP2;BHMT2;BICDL1;BOLA3;CD68;CDC42EP3;CLDN10;CLDN5;CLU;CRIP1;DEPP1;EMCN;FAM102A;FHL1;FN1;G0S2;GPNMB;HLA-DMB;IGFBP3;MAL2;MRPL34;MSRB1;MT1F;MT1X;NQO2;PDLIM2;PFKFB3;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTPRB;RDH10;RGCC;S100A2;SLC9A3R2;SMIM5;SPARCL1;TCIM;TFRC;TGFBR3;TIMM10;TMEM101;TNFSF10;TPD52L1
INDIANA_KIDNEY,pool,kidVis_atlas_32-10003,-1,50,50,0,,3617,25,31068,all_spots_of_samples,11.5,ACTA2;ACY1;AKR1A1;AKR1C3;AQP2;BHMT2;BICDL1;BOLA3;CD68;CDC42EP3;CLDN10;CLDN5;CRIP1;DEPP1;FAM102A;FHL1;FN1;G0S2;GPNMB;HLA-DMB;IGFBP3;MAL2;MRPL34;MT1F;MT1X;NDUFS4;NQO2;PDLIM2;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTBP3;PTPRB;RDH10;RGCC;S100A2;SLC9A3R2;SMIM5;SPARCL1;TCIM;TFRC;TGFBR3;THY1;TIMM10;TMEM101;TNFSF10;TPD52L1;TWSG1
INDIANA_KIDNEY,pool,kidVis_atlas_32-10074,-1,50,50,0,,3617,25,31122,all_spots_of_samples,12.2,ACTA2;ACY1;ADGRF5;AKR1C3;AQP2;BHMT2;BICDL1;BOLA3;CD68;CDC42EP3;CLDN10;CLDN5;CRIP1;DEPP1;FAM102A;FHL1;FN1;G0S2;GPNMB;HLA-DMB;IGFBP3;MAL2;MRPL34;MT1F;MT1X;NDUFS4;NQO2;PDLIM2;PFKFB3;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTBP3;PTPRB;RDH10;RGCC;S100A2;SLC9A3R2;SMIM5;SPARCL1;TCIM;TFRC;TGFBR3;TIMM10;TMEM101;TNFSF10;TPD52L1;TWSG1
INDIANA_KIDNEY,pool,kidVis_atlas_33-10331,-1,50,50,0,,3617,25,30754,all_spots_of_samples,11.8,ACTA2;ACY1;AKR1C3;AQP2;BHMT2;BICDL1;BOLA3;CD68;CDC42EP3;CLDN10;CLDN5;DEPP1;EMCN;FAM102A;FHL1;FN1;G0S2;GPNMB;HLA-DMB;IGFBP3;MAL2;MRPL34;MSRB1;MT1F;MT1X;NDUFS4;NQO2;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTBP3;PTPRB;RDH10;RGCC;S100A2;SLC9A3R2;SMIM5;SPARCL1;TCIM;TFRC;TGFBR3;TIMM10;TMEM101;TNFAIP2;TNFSF10;TPD52L1;TWSG1;VAMP5
INDIANA_KIDNEY,pool,kidVis_atlas_IU-13437,-1,50,50,0,,3634,25,30149,all_spots_of_samples,12.5,ACTA2;ACY1;AKR1C3;APOL1;AQP2;ARG2;BHMT2;BICDL1;BOLA3;CD68;CDC42EP3;CLDN10;CLDN5;CLU;CRIP1;DDIT4;DEPP1;FAM102A;FHL1;FN1;G0S2;GPNMB;HLA-DMB;IGFBP3;MAL2;MRPL34;MSRB1;MT1F;MT1X;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTPRB;RDH10;RGCC;S100A2;SLC9A3R2;SMIM5;SPARCL1;TCIM;TFRC;TGFBR3;TIMM10;TMEM101;TNFSF10;TPD52L1;TPM2;VAMP5
INDIANA_KIDNEY,pool,kidVis_atlas_IU-F52,-1,50,50,0,,3710,25,27803,all_spots_of_samples,11.3,ACTA2;ACY1;AKR1C3;APOL1;AQP2;ARG2;BHMT2;BICDL1;BOLA3;CD68;CLDN10;CLDN5;DEFB1;DEPP1;FAM102A;FHL1;FN1;G0S2;GPNMB;HLA-DMB;IER3;LAPTM5;MAL2;MRPL34;MRPS12;MRPS36;MSRB1;MT1F;MT1X;NRDC;PLAT;PLIN2;PLPP3;PROM2;PTPRB;RDH10;RGCC;S100A2;SLC9A3R2;SMIM5;SPARCL1;TBX3;TCIM;TFRC;TGFBR3;TIMM10;TNFSF10;TPM2;TYMP;VAMP5
INDIANA_KIDNEY,pool,kidVis_atlas_IU-F59,-1,50,50,0,,3697,25,28422,all_spots_of_samples,11.6,ACTA2;ACY1;AQP2;ARG2;ASS1;BHMT2;CLDN10;CLDN5;DEPP1;DPP4;ERMP1;FAM102A;FHL1;FN1;FXYD4;GPNMB;IER2;IFI30;KCNJ15;KLF2;LAPTM5;LGMN;MAL2;MSRB1;MT1F;MT1X;NDUFA12;NPY1R;NQO2;OCIAD2;ODC1;PDLIM7;PERP;PFKFB3;PLAT;PLIN2;PODXL;PROM2;PTPRB;RDH10;RGCC;S100A2;SLC3A2;SMIM5;TCIM;TFRC;TGFBR3;THY1;TNFSF10;TTYH3
INDIANA_KIDNEY,pool,kidVis_atlas_IU-M32,-1,50,50,0,,3633,25,28803,all_spots_of_samples,13.0,ACTA2;ACY1;ADGRF5;AKR1C3;APOL1;AQP2;ARG2;BHMT2;BICDL1;BOLA3;CD68;CDC42EP3;CLDN10;CLDN5;COL3A1;CXCL12;DEPP1;EMCN;FAM102A;FHL1;FN1;G0S2;GPNMB;HLA-DMB;MAL2;MRPL34;MSRB1;MT1F;MT1X;NES;NQO2;NRDC;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTPRB;RDH10;RGCC;S100A2;SLC9A3R2;SMIM5;SPARCL1;TCIM;TFRC;TGFBR3;TIMM10;TNFSF10;VAMP5
INDIANA_KIDNEY,pool,kidVis_atlas_IU-M61,-1,50,50,0,,3630,25,27266,all_spots_of_samples,12.8,ACTA2;ACY1;ADGRF5;AQP2;BHMT2;BICDL1;BOLA3;CD68;CDC42EP3;CLDN10;CLDN5;DEFB1;DEPP1;EMCN;FAM102A;FHL1;FN1;G0S2;GPNMB;HIBADH;HLA-DMB;HLA-DRA;IGFBP3;MAL2;MPC1;MRPL34;MRPS12;MRPS36;MSRB1;MT1F;MT1X;NRDC;PLAT;PLIN2;PLPP3;PODXL;PROM2;RDH10;RGCC;S100A2;SLC9A3R2;SMIM5;SPARCL1;TCIM;TFRC;TGFBR3;TIMM10;TMEM101;TNFSF10;TPM2
INDIANA_KIDNEY,pool,kidVis_papilla_20-0034,-1,50,50,0,,3951,25,29034,all_spots_of_samples,11.6,ACTA2;ACY1;ALDH6A1;AQP2;ARG2;BHMT2;BICDL1;BOLA3;CD68;CDC42EP3;CLDN10;CLDN5;DEPP1;EFNB1;FAM102A;FECH;FHL1;FN1;GPNMB;HLA-DMB;IGFBP3;ITGA2;MAL2;MCAM;MRPS12;MSRB1;MT-ATP8;MT1F;MT1X;PFKFB3;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTPRB;RDH10;RGCC;S100A2;SLC16A4;SLC9A3R2;SMIM5;SPARCL1;TCIM;TFRC;TGFBR3;TIMM10;TPD52L1;UCHL1;VAMP5
INDIANA_KIDNEY,pool,kidVis_papilla_KRP428,-1,50,50,0,,3620,25,30620,all_spots_of_samples,11.5,ACTA2;ACY1;AKR1C3;ANK2;AQP2;ARG2;BHMT2;BICDL1;BOLA3;CDC42EP3;CLDN10;CLDN5;CRIP1;FAM102A;FHL1;FN1;G0S2;GATA3;IGFBP3;MAL2;MRPL34;MRPS12;MRPS36;MSRB1;MT1F;MT1X;NES;NRDC;PFKFB3;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTBP3;PTPRB;RDH10;S100A2;SLC9A3R2;SMIM5;SPARCL1;TFRC;TGFBR3;TIMM10;TMEM101;TNFAIP2;TNFSF10;TPD52L1;TWSG1;VAMP5
INDIANA_KIDNEY,pool,kidVis_papilla_M50,-1,50,50,0,,3627,25,28992,all_spots_of_samples,12.2,ACTA2;ACY1;AKR1C3;APOE;APOL1;AQP2;AQP3;BHMT2;BICDL1;BOLA3;CD68;CDC42EP3;CLDN10;CLDN5;DEPP1;FHL1;FN1;G0S2;GATA3;GPNMB;HLA-DMB;IGFBP3;IGFBP6;METAP2;MRPL34;MRPS36;MSRB1;MT1F;MT1X;NRDC;PFKFB3;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTPRB;RDH10;SLC9A3R2;SMIM5;SPARCL1;SPNS2;SPTBN2;TCIM;TFRC;TGFBR3;TIMM10;TNFAIP2;TNFSF10;XBP1
INDIANA_KIDNEY,random,0,0,50,50,0,,3583,26,23267,random_training_spots,11.3,ACTA2;ACY1;AKR1C3;APOL1;AQP2;BHMT2;BICDL1;BOLA3;BTG2;CD68;CDC42EP3;CLDN10;CLDN5;DEPP1;FAM102A;FHL1;FN1;G0S2;GPNMB;HLA-DMB;IGFBP3;MAL2;MRPL34;MRPS12;MRPS36;MT1F;MT1X;NDUFA12;NRDC;PFKFB3;PLAT;PLIN2;PLPP3;PODXL;PTPRB;RAMP2;RDH10;RGCC;S100A2;SLC9A3R2;SMIM5;SPARCL1;TCIM;TFRC;TGFBR3;TIMM10;TMEM101;TNFSF10;TPD52L1;VAMP5
INDIANA_KIDNEY,random,0,1,50,50,0,,3617,26,23267,random_training_spots,11.7,ACTA2;ACY1;ADGRF5;AKR1C3;AQP2;BHMT2;BICDL1;BOLA3;CDC42EP3;CLDN10;CLDN5;CLU;CRIP1;DEPP1;FAM102A;FHL1;FN1;G0S2;GPNMB;HLA-DMB;IGFBP3;MRPL34;MSRB1;MT1F;MT1X;NDUFS4;NQO2;PDLIM2;PFKFB3;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTPRB;RDH10;S100A2;SLC9A3R2;SMIM5;SPARCL1;TCIM;TFRC;TGFBR3;TIMM10;TMEM101;TNFSF10;TPD52L1;TPM2;TWSG1;VAMP5
INDIANA_KIDNEY,random,0,2,50,50,0,,3592,26,23267,random_training_spots,10.7,ACTA2;ACY1;ADGRF5;AKR1C3;APOL1;AQP2;BHMT2;BICDL1;BOLA3;CD68;CDC42EP3;CLDN10;CLDN5;CRIP1;DEPP1;FAM102A;FHL1;FN1;G0S2;GPNMB;HLA-DMB;IGFBP3;MAL2;MRPL34;MRPS12;MT1F;MT1X;NDUFS4;NQO2;PDLIM2;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTPRB;RDH10;RGCC;S100A2;SLC9A3R2;SMIM5;SPARCL1;TCIM;TFRC;TGFBR3;TIMM10;TMEM101;TNFSF10;TPD52L1;TPM2
INDIANA_KIDNEY,random,0,3,50,50,0,,3649,26,23267,random_training_spots,11.3,ACTA2;ACY1;AKR1C3;APOL1;AQP2;ARG2;BHMT2;BICDL1;BOLA3;BTG2;CD68;CDC42EP3;CLDN10;CLDN5;CRIP1;DEPP1;FAM102A;FHL1;FN1;G0S2;GPNMB;HLA-DMB;IGFBP3;JUNB;LAPTM5;MAL2;MRPL34;MT1F;MT1X;PFKFB3;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTPRB;RDH10;RGCC;S100A2;SLC9A3R2;SMIM5;SPARCL1;TCIM;TFRC;TGFBR3;TIMM10;TMEM101;TNFSF10;TPD52L1;VAMP5
INDIANA_KIDNEY,random,0,4,50,50,0,,3582,26,23267,random_training_spots,11.4,ACTA2;ACY1;ADGRF5;AKR1C3;APOL1;AQP2;BHMT2;BICDL1;CD68;CDC42EP3;CLDN10;CLDN5;CLU;COL3A1;CRIP1;DEPP1;EMCN;FAM102A;FHL1;FN1;GATA3;GPNMB;HLA-DMB;IGFBP3;MAL2;MT1F;MT1X;NDUFS4;NQO2;PDLIM2;PLAT;PLIN2;PLPP3;PODXL;PTBP3;PTPRB;RDH10;RGCC;S100A2;SLC9A3R2;SMIM5;SPARCL1;TCIM;TFRC;TGFBR3;TIMM10;TMEM101;TNFSF10;TPD52L1;XBP1
INDIANA_KIDNEY,random,1,0,50,50,0,,3621,26,26082,random_training_spots,12.2,ACTA2;ACY1;ADGRF5;AKR1C3;AQP2;BHMT2;BICDL1;BOLA3;CD68;CDC42EP3;CLDN10;CLDN5;CLU;COX7A1;CRIP1;DEPP1;EMCN;FAM102A;FHL1;FN1;GPNMB;HLA-DMB;IGFBP3;JUNB;MAL2;MT1F;MT1X;NDUFS4;NQO2;PDLIM2;PFKFB3;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTBP3;PTPRB;RDH10;S100A2;SLC9A3R2;SMIM5;TCIM;TFRC;TGFBR3;TIMM10;TMEM101;TPD52L1;TWSG1;ZFP36
INDIANA_KIDNEY,random,1,1,50,50,0,,3600,26,26082,random_training_spots,11.9,ACTA2;ACY1;AKR1C3;APOL1;AQP2;ARG2;BHMT2;BICDL1;BOLA3;CDC42EP3;CLDN10;CLDN5;DEPP1;FAM102A;FHL1;FN1;G0S2;GPNMB;IGFBP3;LAPTM5;MAL2;MRPL34;MRPS12;MRPS36;MSRB1;MT1F;MT1X;NDUFA12;PERP;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTPRB;RDH10;RGCC;S100A2;SLC9A3R2;SMIM5;SPARCL1;TCIM;TFRC;TGFBR3;TIMM10;TMEM101;TNFSF10;TPD52L1;VAMP5;ZFP36
INDIANA_KIDNEY,random,1,2,50,50,0,,3616,26,26082,random_training_spots,11.6,ACTA2;ACY1;ADGRF5;AKR1C3;AQP2;BHMT2;BICDL1;BOLA3;CDC42EP3;CLDN10;CLDN5;CLU;COX7A1;CRIP1;DEPP1;FAM102A;FHL1;FN1;G0S2;GPNMB;HLA-DMB;IGFBP3;MAL2;MRPL34;MT1F;MT1X;NDUFS4;NQO2;PDLIM2;PFKFB3;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTBP3;PTPRB;RDH10;S100A2;SLC9A3R2;SMIM5;SPARCL1;TCIM;TGFBR3;TIMM10;TMEM101;TNFSF10;TPD52L1;TWSG1;VAMP5
INDIANA_KIDNEY,random,1,3,50,50,0,,3643,26,26082,random_training_spots,11.8,ACTA2;ACY1;AKR1C3;APOL1;AQP2;BHMT2;BICDL1;BOLA3;BTG2;CD34;CD68;CDC42EP3;CLDN10;CLDN5;CLU;DEPP1;FAM102A;FHL1;FN1;G0S2;GPNMB;HLA-DMB;IGFBP3;MAL2;MRPL34;MRPS36;MSRB1;MT1F;NQO2;PFKFB3;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTPRB;RDH10;RGCC;S100A2;SLC9A3R2;SMIM5;SPARCL1;TCIM;TGFBR3;TIMM10;TMEM101;TNFSF10;TPD52L1;VAMP5;ZFP36
INDIANA_KIDNEY,random,1,4,50,50,0,,3609,26,26082,random_training_spots,11.3,ACTA2;ACY1;ADGRF5;AKR1C3;APOL1;AQP2;BHMT2;BICDL1;BOLA3;CD68;CDC42EP3;CLDN10;CLDN5;CLU;CRIP1;DEPP1;EMCN;FAM102A;FHL1;FN1;G0S2;GPNMB;HLA-DMB;IGFBP3;MT1F;MT1X;NDUFS4;NQO2;NRDC;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTBP3;PTPRB;RDH10;RGCC;S100A2;SLC9A3R2;SMIM5;SPARCL1;TCIM;TFRC;TGFBR3;TIMM10;TMEM101;TNFSF10;TPD52L1;TWSG1
INDIANA_KIDNEY,random,2,0,50,50,0,,3611,26,27591,random_training_spots,11.7,ACTA2;ACY1;AKR1C3;APOL1;AQP2;ARG2;BHMT2;BICDL1;BOLA3;BTG2;CD68;CDC42EP3;CLDN10;CLDN5;CRIP1;DEPP1;FAM102A;FHL1;FN1;G0S2;GPNMB;HLA-DMB;IGFBP3;MAL2;MRPL34;MRPS36;MSRB1;MT1F;MT1X;NES;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTPRB;RDH10;RGCC;S100A2;SLC9A3R2;SMIM5;SPARCL1;TCIM;TGFBR3;TIMM10;TMEM101;TNFSF10;TPD52L1;TPM2;ZFP36
INDIANA_KIDNEY,random,2,1,50,50,0,,3631,26,27591,random_training_spots,11.7,ACTA2;ACY1;APOL1;AQP2;BHMT2;BICDL1;BOLA3;CAPS;CDC42EP3;CLDN10;CLDN5;DEPP1;DPP4;FAM102A;FHL1;FN1;G0S2;GPNMB;HLA-DMB;JUNB;LAPTM5;MAL2;MRPL34;MRPS12;MRPS36;MSRB1;MT1F;MT1X;NDUFA12;NRDC;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTPRB;RAMP2;RDH10;RGCC;S100A2;SLC9A3R2;SMIM5;SPARCL1;TCIM;TGFBR3;TIMM10;TNFSF10;TPM2;TTYH3;VAMP5
INDIANA_KIDNEY,random,2,2,50,50,0,,3619,26,27591,random_training_spots,13.7,ACTA2;ACY1;AKR1C3;APOL1;AQP2;BHMT2;BICDL1;BOLA3;BTG2;CDC42EP3;CLDN10;CLDN5;CLU;DEPP1;FAM102A;FHL1;FN1;G0S2;GPNMB;HLA-DMB;IGFBP3;JUNB;LAPTM5;MAL2;MRPL34;MRPS12;MSRB1;MT1F;MT1X;NRDC;PFKFB3;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTPRB;RDH10;RGCC;S100A2;SLC9A3R2;SMIM5;SPARCL1;TCIM;TGFBR3;TIMM10;TMEM101;TNFSF10;TPD52L1;ZFP36
INDIANA_KIDNEY,random,2,3,50,50,0,,3613,26,27591,random_training_spots,12.3,ACTA2;ACY1;ADGRF5;AKR1C3;AQP2;BHMT2;BICDL1;BOLA3;CD34;CDC42EP3;CLDN10;CLDN5;CRIP1;DEPP1;FAM102A;FHL1;FN1;G0S2;GPNMB;HLA-DMB;IGFBP3;MAL2;MRPL34;MRPS12;MSRB1;MT1F;MT1X;NQO2;PFKFB3;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTPRB;RAMP2;RDH10;RGCC;S100A2;SLC9A3R2;SMIM5;SPARCL1;TCIM;TFRC;TGFBR3;TIMM10;TMEM101;TNFSF10;TPD52L1;VAMP5
