task,sample_id,population,n_patched_spots,n_nuclei,half_width_px,half_width_source,nucleus_spot_pairs,spots_with_nuclei,mean_nuclei_per_spot,classes_present,dead_class_present,patch_attrs
KIDNEY_POP54,INT2,cordeliers_ccRCC,2541,94534,245.05599999999993,112_over_pixel_size_um_estimated,525835,2541,206.94018103109013,connective|epithelial|inflammatory|neoplastic,False,"{""downsample"": ""1.0940000000000003"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4570383912248628""}"
KIDNEY_POP54,INT20,cordeliers_ccRCC,4860,23989,245.01784823093485,112_over_pixel_size_um_estimated,101389,4152,20.8619341563786,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""1.0938296796023883"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4571095567472187""}"
KIDNEY_POP54,INT21,cordeliers_ccRCC,4960,170183,244.8961782802112,112_over_pixel_size_um_estimated,701111,4960,141.35302419354838,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""1.0932865101795142"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4573366590957951""}"
KIDNEY_POP54,INT22,cordeliers_ccRCC,3826,16805,244.80643362841496,112_over_pixel_size_um_estimated,58078,3362,15.179822268687923,connective|epithelial|inflammatory|neoplastic,False,"{""downsample"": ""1.0928858644125676"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4575043161243126""}"
KIDNEY_POP54,INT23,cordeliers_ccRCC,4755,3687,244.7910187027138,112_over_pixel_size_um_estimated,17982,3098,3.781703470031546,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""1.0928170477799735"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4575331259845696""}"
KIDNEY_POP54,INT24,cordeliers_ccRCC,4483,219747,244.87976354932144,112_over_pixel_size_um_estimated,805220,4483,179.6163283515503,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""1.0932132301308992"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4573673151944301""}"
KIDNEY_POP54,INT3,cordeliers_ccRCC,1973,73671,244.7200000000001,112_over_pixel_size_um_estimated,402686,1973,204.09832742017232,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""1.0925"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4576659038901602""}"
KIDNEY_POP54,INT4,cordeliers_ccRCC,1255,44373,244.16114168948135,112_over_pixel_size_um_estimated,202140,1254,161.06772908366534,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""1.090005096828043"", ""patch_size_src"": ""244"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4587134513912085""}"
KIDNEY_POP54,INT5,cordeliers_ccRCC,1158,34706,245.2806392685732,112_over_pixel_size_um_estimated,191338,1152,165.2314335060449,connective|epithelial|inflammatory|neoplastic,False,"{""downsample"": ""1.0950028538775596"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4566198144867198""}"
KIDNEY_POP54,INT6,cordeliers_ccRCC,1667,68689,245.00001777777712,112_over_pixel_size_um_estimated,352733,1667,211.5974805038992,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""1.0937500793650765"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4571428239714969""}"
KIDNEY_POP54,INT7,cordeliers_ccRCC,2361,73790,244.72016018301375,112_over_pixel_size_um_estimated,387649,2361,164.18847945785683,connective|epithelial|inflammatory|neoplastic,False,"{""downsample"": ""1.092500715102741"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4576656043222626""}"
KIDNEY_POP54,INT8,cordeliers_ccRCC,1924,43637,245.05599999999993,112_over_pixel_size_um_estimated,220693,1920,114.70530145530144,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""1.0940000000000003"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4570383912248628""}"
KIDNEY_POP54,INT9,cordeliers_ccRCC,1691,56530,244.7825069195656,112_over_pixel_size_um_estimated,283422,1690,167.60615020697813,connective|epithelial|inflammatory|neoplastic,False,"{""downsample"": ""1.0927790487480606"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.457549035711129""}"
KIDNEY_POP54,NCBI562,indiana_nontumour,2433,74049,147.4671392397491,112_over_pixel_size_um_estimated,379274,2433,155.88738183312782,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""0.6583354430345943"", ""patch_size_src"": ""147"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.7594912370132347""}"
KIDNEY_POP54,NCBI563,indiana_nontumour,1344,60250,147.6881501650473,112_over_pixel_size_um_estimated,118231,1344,87.96949404761905,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""0.6593220989511038"", ""patch_size_src"": ""148"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.7583546809600881""}"
KIDNEY_POP54,NCBI564,indiana_nontumour,198,28441,147.6807800629453,112_over_pixel_size_um_estimated,19571,198,98.84343434343434,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""0.659289196709577"", ""patch_size_src"": ""148"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.7583925271268394""}"
KIDNEY_POP54,NCBI565,indiana_nontumour,1017,21401,147.77966408152852,112_over_pixel_size_um_estimated,94226,1013,92.65093411996068,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""0.6597306432211092"", ""patch_size_src"": ""148"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.7578850628474213""}"
KIDNEY_POP54,NCBI566,indiana_nontumour,900,30796,147.78855285696372,112_over_pixel_size_um_estimated,151513,900,168.34777777777776,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""0.6597703252543021"", ""patch_size_src"": ""148"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.7578394796814782""}"
KIDNEY_POP54,NCBI567,indiana_nontumour,805,31169,148.00034594554165,112_over_pixel_size_um_estimated,162726,805,202.144099378882,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""0.6607158301140251"", ""patch_size_src"": ""148"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.7567549878647692""}"
KIDNEY_POP54,NCBI568,indiana_nontumour,2391,72511,147.6175295823637,112_over_pixel_size_um_estimated,381444,2391,159.5332496863237,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""0.6590068284926949"", ""patch_size_src"": ""148"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.7587174796710662""}"
KIDNEY_POP54,NCBI692,indiana_nontumour,357,15512,147.47422765426583,112_over_pixel_size_um_estimated,47367,357,132.68067226890756,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""0.6583670877422582"", ""patch_size_src"": ""147"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.7594547317282411""}"
KIDNEY_POP54,NCBI693,indiana_nontumour,502,20736,147.83999999999992,112_over_pixel_size_um_estimated,98001,502,195.22111553784865,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""0.66"", ""patch_size_src"": ""148"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.7575757575757576""}"
KIDNEY_POP54,NCBI694,indiana_nontumour,640,15977,147.57163515534185,112_over_pixel_size_um_estimated,82702,640,129.221875,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""0.658801942923668"", ""patch_size_src"": ""148"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.758953438693687""}"
KIDNEY_POP54,NCBI695,indiana_nontumour,671,18400,147.84152726483845,112_over_pixel_size_um_estimated,94428,671,140.72727272727272,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""0.6600068181466006"", ""patch_size_src"": ""148"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.7575679315011866""}"
KIDNEY_POP54,NCBI696,indiana_nontumour,645,18905,147.96528165354522,112_over_pixel_size_um_estimated,100202,645,155.35193798449612,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""0.6605592935133935"", ""patch_size_src"": ""148"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.75693432052192""}"
KIDNEY_POP54,NCBI697,indiana_nontumour,303,8769,147.94269410990154,112_over_pixel_size_um_estimated,43907,303,144.9075907590759,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""0.6604584558477744"", ""patch_size_src"": ""148"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.7570498879572864""}"
KIDNEY_POP54,NCBI698,indiana_nontumour,405,14331,147.70106152845236,112_over_pixel_size_um_estimated,72185,405,178.23456790123456,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""0.6593797393194608"", ""patch_size_src"": ""148"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.75828838859387""}"
KIDNEY_POP54,NCBI699,indiana_nontumour,787,23145,147.66774885556765,112_over_pixel_size_um_estimated,113876,787,144.69631512071155,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""0.6592310216766414"", ""patch_size_src"": ""148"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.7584594528460379""}"
KIDNEY_POP54,NCBI700,indiana_nontumour,601,21838,147.56026565440982,112_over_pixel_size_um_estimated,112058,601,186.45257903494175,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""0.6587511859571867"", ""patch_size_src"": ""148"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.7590119162722779""}"
KIDNEY_POP54,NCBI701,indiana_nontumour,903,33943,147.7504067919949,112_over_pixel_size_um_estimated,172266,903,190.77076411960132,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""0.6596000303214061"", ""patch_size_src"": ""148"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.7580351379856105""}"
KIDNEY_POP54,NCBI702,indiana_nontumour,458,25659,147.71639426889104,112_over_pixel_size_um_estimated,81262,458,177.42794759825327,connective|epithelial|inflammatory|neoplastic,False,"{""downsample"": ""0.6594481887004066"", ""patch_size_src"": ""148"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.7582096798011749""}"
KIDNEY_POP54,NCBI703,indiana_nontumour,450,19311,147.83999999999992,112_over_pixel_size_um_estimated,85471,449,189.93555555555557,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""0.66"", ""patch_size_src"": ""148"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.7575757575757576""}"
KIDNEY_POP54,NCBI704,indiana_nontumour,524,22208,147.98059594394144,112_over_pixel_size_um_estimated,89423,524,170.65458015267177,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""0.6606276608271864"", ""patch_size_src"": ""148"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.756855986583939""}"
KIDNEY_POP54,NCBI705,indiana_nontumour,551,17905,147.71980149284803,112_over_pixel_size_um_estimated,92413,551,167.71869328493648,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""0.6594633995216429"", ""patch_size_src"": ""148"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.7581921913523731""}"
KIDNEY_POP54,NCBI706,indiana_nontumour,664,21819,147.7580909908302,112_over_pixel_size_um_estimated,103442,664,155.78614457831324,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""0.6596343347804917"", ""patch_size_src"": ""148"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.7579957161665734""}"
KIDNEY_POP54,NCBI707,indiana_nontumour,673,26908,148.00553503163317,112_over_pixel_size_um_estimated,127145,673,188.9227340267459,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""0.660738995676934"", ""patch_size_src"": ""148"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.7567284559733679""}"
KIDNEY_POP54,NCBI708,indiana_nontumour,1276,37246,147.9153451103404,112_over_pixel_size_um_estimated,189949,1274,148.8628526645768,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""0.6603363620997341"", ""patch_size_src"": ""148"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.7571898636781149""}"
KIDNEY_POP54,NCBI709,indiana_nontumour,1029,27587,147.84188550986184,112_over_pixel_size_um_estimated,148879,1029,144.6831875607386,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""0.6600084174547406"", ""patch_size_src"": ""148"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.7575660957904177""}"
KIDNEY_POP54,NCBI710,indiana_nontumour,951,33397,148.027725931477,112_over_pixel_size_um_estimated,176575,951,185.67297581493165,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""0.6608380621940935"", ""patch_size_src"": ""148"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.7566150144861753""}"
KIDNEY_POP54,NCBI711,indiana_nontumour,2622,92677,147.8934198821721,112_over_pixel_size_um_estimated,454492,2622,173.33790999237223,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""0.6602384816168394"", ""patch_size_src"": ""148"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.7573021172221953""}"
KIDNEY_POP54,NCBI712,indiana_nontumour,4159,136475,147.7580909908302,112_over_pixel_size_um_estimated,687148,4159,165.2195239240202,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""0.6596343347804917"", ""patch_size_src"": ""148"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.7579957161665734""}"
KIDNEY_POP54,NCBI713,indiana_nontumour,3622,114931,147.84008658006132,112_over_pixel_size_um_estimated,641464,3622,177.10215350635008,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""0.6600003865181305"", ""patch_size_src"": ""148"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.7575753139142514""}"
KIDNEY_POP54,NCBI714,indiana_nontumour,3003,113310,147.91496819757245,112_over_pixel_size_um_estimated,625578,3003,208.3176823176823,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""0.6603346794534487"", ""patch_size_src"": ""148"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.7571917931280607""}"
