encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,n_units_in_pool,n_cal_units,n_cal_spots,n_cal_slides,n_pool_spots,n_train_natural,n_train_matched,n_match_target,n_train_buffer_dropped,n_blocks_total,n_test,n_test_slides,test_slides,cal_slides,cal_shares_donor_with_test,cal_shares_session_with_test,cal_shares_resolution_group_with_test,cal_shares_exact_session_with_test,cal_status,size_match
resnet50,CCRCC,shipped,random,2,0,0,spot,63464,12693,12693,24,63464,50771,44679,44679,0,,10756,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task
resnet50,CCRCC,shipped,random,2,1,0,spot,63464,12693,12693,24,63464,50771,44679,44679,0,,10756,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task
resnet50,CCRCC,shipped,random,2,2,0,spot,63464,12693,12693,24,63464,50771,44679,44679,0,,10756,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task
resnet50,CCRCC,shipped,random,2,3,0,spot,63464,12693,12693,24,63464,50771,44679,44679,0,,10756,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task
resnet50,CCRCC,shipped,random,2,4,0,spot,63464,12693,12693,24,63464,50771,44679,44679,0,,10756,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task
resnet50,CCRCC,shipped,random,3,0,0,spot,67098,13420,13420,24,67098,53678,44679,44679,0,,7122,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task
resnet50,CCRCC,shipped,random,3,1,0,spot,67098,13420,13420,24,67098,53678,44679,44679,0,,7122,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task
resnet50,CCRCC,shipped,random,3,2,0,spot,67098,13420,13420,24,67098,53678,44679,44679,0,,7122,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task
resnet50,CCRCC,shipped,random,3,3,0,spot,67098,13420,13420,24,67098,53678,44679,44679,0,,7122,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task
resnet50,CCRCC,shipped,random,3,4,0,spot,67098,13420,13420,24,67098,53678,44679,44679,0,,7122,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task
resnet50,CCRCC,shipped,random,4,0,0,spot,59472,11895,11895,24,59472,47577,44679,44679,0,,14748,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task
resnet50,CCRCC,shipped,random,4,1,0,spot,59472,11895,11895,24,59472,47577,44679,44679,0,,14748,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task
resnet50,CCRCC,shipped,random,4,2,0,spot,59472,11895,11895,24,59472,47577,44679,44679,0,,14748,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task
resnet50,CCRCC,shipped,random,4,3,0,spot,59472,11895,11895,24,59472,47577,44679,44679,0,,14748,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task
resnet50,CCRCC,shipped,random,4,4,0,spot,59472,11895,11895,24,59472,47577,44679,44679,0,,14748,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task
resnet50,CCRCC,shipped,random,5,0,0,spot,57566,11514,11514,24,57566,46052,44679,44679,0,,16654,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task
resnet50,CCRCC,shipped,random,5,1,0,spot,57566,11514,11514,24,57566,46052,44679,44679,0,,16654,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task
resnet50,CCRCC,shipped,random,5,2,0,spot,57566,11514,11514,24,57566,46052,44679,44679,0,,16654,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task
resnet50,CCRCC,shipped,random,5,3,0,spot,57566,11514,11514,24,57566,46052,44679,44679,0,,16654,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task
resnet50,CCRCC,shipped,random,5,4,0,spot,57566,11514,11514,24,57566,46052,44679,44679,0,,16654,24,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9,True,True,True,,ok,task
resnet50,COAD,shipped,random,0,0,0,spot,5079,1016,1016,4,5079,4063,4063,4063,0,,10572,4,TENX111;TENX147;TENX148;TENX149,TENX111;TENX147;TENX148;TENX149,True,True,True,,ok,task
resnet50,COAD,shipped,random,0,1,0,spot,5079,1016,1016,4,5079,4063,4063,4063,0,,10572,4,TENX111;TENX147;TENX148;TENX149,TENX111;TENX147;TENX148;TENX149,True,True,True,,ok,task
resnet50,COAD,shipped,random,0,2,0,spot,5079,1016,1016,4,5079,4063,4063,4063,0,,10572,4,TENX111;TENX147;TENX148;TENX149,TENX111;TENX147;TENX148;TENX149,True,True,True,,ok,task
resnet50,COAD,shipped,random,0,3,0,spot,5079,1016,1016,4,5079,4063,4063,4063,0,,10572,4,TENX111;TENX147;TENX148;TENX149,TENX111;TENX147;TENX148;TENX149,True,True,True,,ok,task
resnet50,COAD,shipped,random,0,4,0,spot,5079,1016,1016,4,5079,4063,4063,4063,0,,10572,4,TENX111;TENX147;TENX148;TENX149,TENX111;TENX147;TENX148;TENX149,True,True,True,,ok,task
resnet50,COAD,shipped,random,1,0,0,spot,10572,2115,2115,4,10572,8457,4063,4063,0,,5079,4,TENX111;TENX147;TENX148;TENX149,TENX111;TENX147;TENX148;TENX149,True,True,True,,ok,task
resnet50,COAD,shipped,random,1,1,0,spot,10572,2115,2115,4,10572,8457,4063,4063,0,,5079,4,TENX111;TENX147;TENX148;TENX149,TENX111;TENX147;TENX148;TENX149,True,True,True,,ok,task
resnet50,COAD,shipped,random,1,2,0,spot,10572,2115,2115,4,10572,8457,4063,4063,0,,5079,4,TENX111;TENX147;TENX148;TENX149,TENX111;TENX147;TENX148;TENX149,True,True,True,,ok,task
resnet50,COAD,shipped,random,1,3,0,spot,10572,2115,2115,4,10572,8457,4063,4063,0,,5079,4,TENX111;TENX147;TENX148;TENX149,TENX111;TENX147;TENX148;TENX149,True,True,True,,ok,task
resnet50,COAD,shipped,random,1,4,0,spot,10572,2115,2115,4,10572,8457,4063,4063,0,,5079,4,TENX111;TENX147;TENX148;TENX149,TENX111;TENX147;TENX148;TENX149,True,True,True,,ok,task
resnet50,HCC,shipped,random,0,0,0,spot,1941,389,389,2,1941,1552,1552,1552,0,,2255,2,NCBI642;NCBI643,NCBI642;NCBI643,True,True,True,,ok,task
resnet50,HCC,shipped,random,0,1,0,spot,1941,389,389,2,1941,1552,1552,1552,0,,2255,2,NCBI642;NCBI643,NCBI642;NCBI643,True,True,True,,ok,task
resnet50,HCC,shipped,random,0,2,0,spot,1941,389,389,2,1941,1552,1552,1552,0,,2255,2,NCBI642;NCBI643,NCBI642;NCBI643,True,True,True,,ok,task
resnet50,HCC,shipped,random,0,3,0,spot,1941,389,389,2,1941,1552,1552,1552,0,,2255,2,NCBI642;NCBI643,NCBI642;NCBI643,True,True,True,,ok,task
resnet50,HCC,shipped,random,0,4,0,spot,1941,389,389,2,1941,1552,1552,1552,0,,2255,2,NCBI642;NCBI643,NCBI642;NCBI643,True,True,True,,ok,task
resnet50,HCC,shipped,random,1,0,0,spot,2255,451,451,2,2255,1804,1552,1552,0,,1941,2,NCBI642;NCBI643,NCBI642;NCBI643,True,True,True,,ok,task
resnet50,HCC,shipped,random,1,1,0,spot,2255,451,451,2,2255,1804,1552,1552,0,,1941,2,NCBI642;NCBI643,NCBI642;NCBI643,True,True,True,,ok,task
resnet50,HCC,shipped,random,1,2,0,spot,2255,451,451,2,2255,1804,1552,1552,0,,1941,2,NCBI642;NCBI643,NCBI642;NCBI643,True,True,True,,ok,task
resnet50,HCC,shipped,random,1,3,0,spot,2255,451,451,2,2255,1804,1552,1552,0,,1941,2,NCBI642;NCBI643,NCBI642;NCBI643,True,True,True,,ok,task
resnet50,HCC,shipped,random,1,4,0,spot,2255,451,451,2,2255,1804,1552,1552,0,,1941,2,NCBI642;NCBI643,NCBI642;NCBI643,True,True,True,,ok,task
resnet50,IDC,shipped,random,0,0,0,spot,14775,2955,2955,4,14775,11820,11820,11820,0,,20761,4,NCBI783;NCBI785;TENX95;TENX99,NCBI783;NCBI785;TENX95;TENX99,True,True,True,,ok,task
resnet50,IDC,shipped,random,0,1,0,spot,14775,2955,2955,4,14775,11820,11820,11820,0,,20761,4,NCBI783;NCBI785;TENX95;TENX99,NCBI783;NCBI785;TENX95;TENX99,True,True,True,,ok,task
resnet50,IDC,shipped,random,0,2,0,spot,14775,2955,2955,4,14775,11820,11820,11820,0,,20761,4,NCBI783;NCBI785;TENX95;TENX99,NCBI783;NCBI785;TENX95;TENX99,True,True,True,,ok,task
resnet50,IDC,shipped,random,0,3,0,spot,14775,2955,2955,4,14775,11820,11820,11820,0,,20761,4,NCBI783;NCBI785;TENX95;TENX99,NCBI783;NCBI785;TENX95;TENX99,True,True,True,,ok,task
resnet50,IDC,shipped,random,0,4,0,spot,14775,2955,2955,4,14775,11820,11820,11820,0,,20761,4,NCBI783;NCBI785;TENX95;TENX99,NCBI783;NCBI785;TENX95;TENX99,True,True,True,,ok,task
resnet50,IDC,shipped,random,1,0,0,spot,27776,5556,5556,4,27776,22220,11820,11820,0,,7760,4,NCBI783;NCBI785;TENX95;TENX99,NCBI783;NCBI785;TENX95;TENX99,True,True,True,,ok,task
resnet50,IDC,shipped,random,1,1,0,spot,27776,5556,5556,4,27776,22220,11820,11820,0,,7760,4,NCBI783;NCBI785;TENX95;TENX99,NCBI783;NCBI785;TENX95;TENX99,True,True,True,,ok,task
resnet50,IDC,shipped,random,1,2,0,spot,27776,5556,5556,4,27776,22220,11820,11820,0,,7760,4,NCBI783;NCBI785;TENX95;TENX99,NCBI783;NCBI785;TENX95;TENX99,True,True,True,,ok,task
resnet50,IDC,shipped,random,1,3,0,spot,27776,5556,5556,4,27776,22220,11820,11820,0,,7760,4,NCBI783;NCBI785;TENX95;TENX99,NCBI783;NCBI785;TENX95;TENX99,True,True,True,,ok,task
resnet50,IDC,shipped,random,1,4,0,spot,27776,5556,5556,4,27776,22220,11820,11820,0,,7760,4,NCBI783;NCBI785;TENX95;TENX99,NCBI783;NCBI785;TENX95;TENX99,True,True,True,,ok,task
resnet50,IDC,shipped,random,2,0,0,spot,31526,6306,6306,4,31526,25220,11820,11820,0,,4010,4,NCBI783;NCBI785;TENX95;TENX99,NCBI783;NCBI785;TENX95;TENX99,True,True,True,,ok,task
resnet50,IDC,shipped,random,2,1,0,spot,31526,6306,6306,4,31526,25220,11820,11820,0,,4010,4,NCBI783;NCBI785;TENX95;TENX99,NCBI783;NCBI785;TENX95;TENX99,True,True,True,,ok,task
resnet50,IDC,shipped,random,2,2,0,spot,31526,6306,6306,4,31526,25220,11820,11820,0,,4010,4,NCBI783;NCBI785;TENX95;TENX99,NCBI783;NCBI785;TENX95;TENX99,True,True,True,,ok,task
resnet50,IDC,shipped,random,2,3,0,spot,31526,6306,6306,4,31526,25220,11820,11820,0,,4010,4,NCBI783;NCBI785;TENX95;TENX99,NCBI783;NCBI785;TENX95;TENX99,True,True,True,,ok,task
resnet50,IDC,shipped,random,2,4,0,spot,31526,6306,6306,4,31526,25220,11820,11820,0,,4010,4,NCBI783;NCBI785;TENX95;TENX99,NCBI783;NCBI785;TENX95;TENX99,True,True,True,,ok,task
resnet50,IDC,shipped,random,3,0,0,spot,32531,6507,6507,4,32531,26024,11820,11820,0,,3005,4,NCBI783;NCBI785;TENX95;TENX99,NCBI783;NCBI785;TENX95;TENX99,True,True,True,,ok,task
resnet50,IDC,shipped,random,3,1,0,spot,32531,6507,6507,4,32531,26024,11820,11820,0,,3005,4,NCBI783;NCBI785;TENX95;TENX99,NCBI783;NCBI785;TENX95;TENX99,True,True,True,,ok,task
resnet50,IDC,shipped,random,3,2,0,spot,32531,6507,6507,4,32531,26024,11820,11820,0,,3005,4,NCBI783;NCBI785;TENX95;TENX99,NCBI783;NCBI785;TENX95;TENX99,True,True,True,,ok,task
resnet50,IDC,shipped,random,3,3,0,spot,32531,6507,6507,4,32531,26024,11820,11820,0,,3005,4,NCBI783;NCBI785;TENX95;TENX99,NCBI783;NCBI785;TENX95;TENX99,True,True,True,,ok,task
resnet50,IDC,shipped,random,3,4,0,spot,32531,6507,6507,4,32531,26024,11820,11820,0,,3005,4,NCBI783;NCBI785;TENX95;TENX99,NCBI783;NCBI785;TENX95;TENX99,True,True,True,,ok,task
resnet50,LUNG,shipped,random,0,0,0,spot,1944,389,389,2,1944,1555,1555,1555,0,,3262,2,TENX118;TENX141,TENX118;TENX141,True,True,True,,ok,task
resnet50,LUNG,shipped,random,0,1,0,spot,1944,389,389,2,1944,1555,1555,1555,0,,3262,2,TENX118;TENX141,TENX118;TENX141,True,True,True,,ok,task
resnet50,LUNG,shipped,random,0,2,0,spot,1944,389,389,2,1944,1555,1555,1555,0,,3262,2,TENX118;TENX141,TENX118;TENX141,True,True,True,,ok,task
resnet50,LUNG,shipped,random,0,3,0,spot,1944,389,389,2,1944,1555,1555,1555,0,,3262,2,TENX118;TENX141,TENX118;TENX141,True,True,True,,ok,task
resnet50,LUNG,shipped,random,0,4,0,spot,1944,389,389,2,1944,1555,1555,1555,0,,3262,2,TENX118;TENX141,TENX118;TENX141,True,True,True,,ok,task
resnet50,LUNG,shipped,random,1,0,0,spot,3262,653,653,2,3262,2609,1555,1555,0,,1944,2,TENX118;TENX141,TENX118;TENX141,True,True,True,,ok,task
resnet50,LUNG,shipped,random,1,1,0,spot,3262,653,653,2,3262,2609,1555,1555,0,,1944,2,TENX118;TENX141,TENX118;TENX141,True,True,True,,ok,task
resnet50,LUNG,shipped,random,1,2,0,spot,3262,653,653,2,3262,2609,1555,1555,0,,1944,2,TENX118;TENX141,TENX118;TENX141,True,True,True,,ok,task
resnet50,LUNG,shipped,random,1,3,0,spot,3262,653,653,2,3262,2609,1555,1555,0,,1944,2,TENX118;TENX141,TENX118;TENX141,True,True,True,,ok,task
resnet50,LUNG,shipped,random,1,4,0,spot,3262,653,653,2,3262,2609,1555,1555,0,,1944,2,TENX118;TENX141,TENX118;TENX141,True,True,True,,ok,task
resnet50,LYMPH_IDC,shipped,random,0,0,0,spot,14972,2995,2995,4,14972,11977,11977,11977,0,,4992,4,NCBI681;NCBI682;NCBI683;NCBI684,NCBI681;NCBI682;NCBI683;NCBI684,True,True,True,,ok,task
resnet50,LYMPH_IDC,shipped,random,0,1,0,spot,14972,2995,2995,4,14972,11977,11977,11977,0,,4992,4,NCBI681;NCBI682;NCBI683;NCBI684,NCBI681;NCBI682;NCBI683;NCBI684,True,True,True,,ok,task
resnet50,LYMPH_IDC,shipped,random,0,2,0,spot,14972,2995,2995,4,14972,11977,11977,11977,0,,4992,4,NCBI681;NCBI682;NCBI683;NCBI684,NCBI681;NCBI682;NCBI683;NCBI684,True,True,True,,ok,task
resnet50,LYMPH_IDC,shipped,random,0,3,0,spot,14972,2995,2995,4,14972,11977,11977,11977,0,,4992,4,NCBI681;NCBI682;NCBI683;NCBI684,NCBI681;NCBI682;NCBI683;NCBI684,True,True,True,,ok,task
resnet50,LYMPH_IDC,shipped,random,0,4,0,spot,14972,2995,2995,4,14972,11977,11977,11977,0,,4992,4,NCBI681;NCBI682;NCBI683;NCBI684,NCBI681;NCBI682;NCBI683;NCBI684,True,True,True,,ok,task
resnet50,LYMPH_IDC,shipped,random,1,0,0,spot,14972,2995,2995,4,14972,11977,11977,11977,0,,4992,4,NCBI681;NCBI682;NCBI683;NCBI684,NCBI681;NCBI682;NCBI683;NCBI684,True,True,True,,ok,task
