task,sample_id,n_spots_adata,n_patches,n_vars,X_dtype,X_int,X_max,img_shape,bc_example,technology,cohort_src,retention_pct
COAD,TENX111,6138,5079,541,uint16,True,2961.0,"(5079, 224, 224, 3)",,Xenium (pseudo-Visium 55um),TENX,82.7
COAD,TENX147,3997,3417,541,uint16,True,2124.0,"(3417, 224, 224, 3)",,Xenium (pseudo-Visium 55um),TENX,85.5
COAD,TENX148,4379,3535,541,uint16,True,1885.0,"(3535, 224, 224, 3)",,Xenium (pseudo-Visium 55um),TENX,80.7
COAD,TENX149,4009,3620,541,uint16,True,2026.0,"(3620, 224, 224, 3)",,Xenium (pseudo-Visium 55um),TENX,90.3
HCC,NCBI642,1987,1941,36601,float32,True,5307.0,"(1941, 224, 224, 3)",,Visium,NCBI,97.7
HCC,NCBI643,2261,2255,36601,float32,True,5863.0,"(2255, 224, 224, 3)",,Visium,NCBI,99.7
IDC,NCBI783,3869,3005,541,uint16,True,624.0,"(3005, 224, 224, 3)",,Xenium (pseudo-Visium 55um),NCBI,77.7
IDC,NCBI785,4180,4010,541,uint16,True,2167.0,"(4010, 224, 224, 3)",,Xenium (pseudo-Visium 55um),NCBI,95.9
IDC,TENX95,11845,7760,541,uint16,True,24.0,"(7760, 224, 224, 3)",,Xenium (pseudo-Visium 55um),TENX,65.5
IDC,TENX99,25080,20761,541,uint16,True,498.0,"(20761, 224, 224, 3)",,Xenium (pseudo-Visium 55um),TENX,82.8
LUNG,TENX118,3115,1944,541,uint16,True,1442.0,"(1944, 224, 224, 3)",,Xenium (pseudo-Visium 55um),TENX,62.4
LUNG,TENX141,4390,3262,541,uint16,True,890.0,"(3262, 224, 224, 3)",,Xenium (pseudo-Visium 55um),TENX,74.3
LYMPH_IDC,NCBI681,4992,4992,33931,float32,True,7425.0,"(4992, 224, 224, 3)",,Visium,NCBI,100.0
LYMPH_IDC,NCBI682,4988,4988,33931,float32,True,8834.0,"(4988, 224, 224, 3)",,Visium,NCBI,100.0
LYMPH_IDC,NCBI683,4992,4992,33931,float32,True,2229.0,"(4992, 224, 224, 3)",,Visium,NCBI,100.0
LYMPH_IDC,NCBI684,4992,4992,33931,float32,True,4421.0,"(4992, 224, 224, 3)",,Visium,NCBI,100.0
PAAD,TENX116,3090,2010,538,uint16,True,4681.0,"(2010, 224, 224, 3)",,Xenium (pseudo-Visium 55um),TENX,65.0
PAAD,TENX126,2190,1951,541,uint16,True,938.0,"(1951, 224, 224, 3)",,Xenium (pseudo-Visium 55um),TENX,89.1
PAAD,TENX140,4513,3610,541,uint16,True,532.0,"(3610, 224, 224, 3)",,Xenium (pseudo-Visium 55um),TENX,80.0
PRAD,MEND139,3749,3749,33538,float32,True,1446.0,"(3749, 224, 224, 3)",,Visium,MEND,100.0
PRAD,MEND140,1935,1935,33538,float32,True,1605.0,"(1935, 224, 224, 3)",,Visium,MEND,100.0
PRAD,MEND141,1794,1794,33538,float32,True,3898.0,"(1794, 224, 224, 3)",,Visium,MEND,100.0
PRAD,MEND142,2997,2997,33538,float32,True,3105.0,"(2997, 224, 224, 3)",,Visium,MEND,100.0
PRAD,MEND143,3816,3816,33538,float32,True,1247.0,"(3816, 224, 224, 3)",,Visium,MEND,100.0
PRAD,MEND144,4074,4074,33538,float32,True,671.0,"(4074, 224, 224, 3)",,Visium,MEND,100.0
PRAD,MEND145,1418,1418,33538,float32,True,1716.0,"(1418, 224, 224, 3)",,Visium,MEND,100.0
PRAD,MEND146,1964,1964,33538,float32,True,925.0,"(1964, 224, 224, 3)",,Visium,MEND,100.0
PRAD,MEND147,2335,2335,33538,float32,True,1839.0,"(2335, 224, 224, 3)",,Visium,MEND,100.0
PRAD,MEND148,1633,1633,33538,float32,True,1146.0,"(1633, 224, 224, 3)",,Visium,MEND,100.0
PRAD,MEND149,1851,1851,33538,float32,True,1281.0,"(1851, 224, 224, 3)",,Visium,MEND,100.0
PRAD,MEND150,1751,1751,33538,float32,True,2068.0,"(1751, 224, 224, 3)",,Visium,MEND,100.0
PRAD,MEND151,2600,2600,33538,float32,True,716.0,"(2600, 224, 224, 3)",,Visium,MEND,100.0
PRAD,MEND152,3082,3082,33538,float32,True,513.0,"(3082, 224, 224, 3)",,Visium,MEND,100.0
PRAD,MEND153,1820,1820,33538,float32,True,900.0,"(1820, 224, 224, 3)",,Visium,MEND,100.0
PRAD,MEND154,2736,2736,33538,float32,True,4018.0,"(2736, 224, 224, 3)",,Visium,MEND,100.0
PRAD,MEND156,3554,3554,33538,float32,True,5975.0,"(3554, 224, 224, 3)",,Visium,MEND,100.0
PRAD,MEND157,3190,3190,33538,float32,True,6244.0,"(3190, 224, 224, 3)",,Visium,MEND,100.0
PRAD,MEND158,3092,3092,33538,float32,True,4740.0,"(3092, 224, 224, 3)",,Visium,MEND,100.0
PRAD,MEND159,3856,3856,33538,float32,True,1439.0,"(3856, 224, 224, 3)",,Visium,MEND,100.0
PRAD,MEND160,4079,4079,33538,float32,True,966.0,"(4079, 224, 224, 3)",,Visium,MEND,100.0
PRAD,MEND161,2775,2775,33538,float32,True,14177.0,"(2775, 224, 224, 3)",,Visium,MEND,100.0
PRAD,MEND162,2609,2609,33538,float32,True,895.0,"(2609, 224, 224, 3)",,Visium,MEND,100.0
READ,ZEN36,1691,1691,36601,float32,True,3733.0,"(1691, 224, 224, 3)",,Visium,ZEN,100.0
READ,ZEN40,2128,2128,36601,float32,True,2294.0,"(2128, 224, 224, 3)",,Visium,ZEN,100.0
READ,ZEN48,2385,2385,36601,float32,True,2104.0,"(2385, 224, 224, 3)",,Visium,ZEN,100.0
READ,ZEN49,2203,2203,36601,float32,True,1840.0,"(2203, 224, 224, 3)",,Visium,ZEN,100.0
SKCM,TENX115,3886,1741,541,uint16,True,3131.0,"(1741, 224, 224, 3)",,Xenium (pseudo-Visium 55um),TENX,44.8
SKCM,TENX117,1830,1293,541,uint16,True,3212.0,"(1293, 224, 224, 3)",,Xenium (pseudo-Visium 55um),TENX,70.7
