sample_id,row_origin,column,value,citation,note
INT6,benchmark_r2,citation,"H1 reading item (docs/round3_execution_plan.md section 13.4 item 4), read 2026-09-24 via ncbi.nlm.nih.gov/geo/query/acc.cgi (series and all 24 per-sample records) and ebi.ac.uk/europepmc: GSE175540 lists exactly 24 samples, GSM5924030 to GSM5924053, with 24 distinct titles; this sample's hest_subseries string matches the title of GSM5924048 ('ccRCC tumor frozen_b_13') and of no other sample, so the HEST-id-to-GSM correspondence is one-to-one over all 24 (INT_k to GSM5924054-k), which closes D3's note that it had not been individually re-derived. No series or sample record carries a donor, patient, participant, subject or individual field; per-sample characteristics are only 'disease state: renal cell cancer' and 'tissue: ccRCC tumor'. The count of 24 distinct samples is therefore corroborated and the count of 24 distinct donors is not sourced. Meylan et al. 2022 Immunity (doi:10.1016/j.immuni.2022.02.001, PMID 35231421) was not reachable: Europe PMC reports isOpenAccess=N, inEPMC=N, hasSuppl=N and no PMCID, and Unpaywall reports no OA location, so no patient table and no per-sample donor mapping was read.",GEO GSE175540; Europe PMC REST (DOI 10.1016/j.immuni.2022.02.001),"H1 item 4 reading record. Sets only the citation cell; donor_id, row_origin, sample_id and donor_label_status are untouched, and no status is chosen between the two row origins."
INT6,expansion_d3,citation,"GEO series GSE175540 'Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer', series and per-sample records, read 2026-09-22 via ncbi.nlm.nih.gov/geo/query/acc.cgi | H1 reading item (docs/round3_execution_plan.md section 13.4 item 4), read 2026-09-24 via ncbi.nlm.nih.gov/geo/query/acc.cgi (series and all 24 per-sample records) and ebi.ac.uk/europepmc: GSE175540 lists exactly 24 samples, GSM5924030 to GSM5924053, with 24 distinct titles; this sample's hest_subseries string matches the title of GSM5924048 ('ccRCC tumor frozen_b_13') and of no other sample, so the HEST-id-to-GSM correspondence is one-to-one over all 24 (INT_k to GSM5924054-k), which closes D3's note that it had not been individually re-derived. No series or sample record carries a donor, patient, participant, subject or individual field; per-sample characteristics are only 'disease state: renal cell cancer' and 'tissue: ccRCC tumor'. The count of 24 distinct samples is therefore corroborated and the count of 24 distinct donors is not sourced. Meylan et al. 2022 Immunity (doi:10.1016/j.immuni.2022.02.001, PMID 35231421) was not reachable: Europe PMC reports isOpenAccess=N, inEPMC=N, hasSuppl=N and no PMCID, and Unpaywall reports no OA location, so no patient table and no per-sample donor mapping was read.",GEO GSE175540; Europe PMC REST (DOI 10.1016/j.immuni.2022.02.001),"H1 item 4 reading record. Sets only the citation cell; donor_id, row_origin, sample_id and donor_label_status are untouched, and no status is chosen between the two row origins. D3's own citation string is preserved as the first clause."
INT7,benchmark_r2,citation,"H1 reading item (docs/round3_execution_plan.md section 13.4 item 4), read 2026-09-24 via ncbi.nlm.nih.gov/geo/query/acc.cgi (series and all 24 per-sample records) and ebi.ac.uk/europepmc: GSE175540 lists exactly 24 samples, GSM5924030 to GSM5924053, with 24 distinct titles; this sample's hest_subseries string matches the title of GSM5924047 ('ccRCC tumor frozen_b_7') and of no other sample, so the HEST-id-to-GSM correspondence is one-to-one over all 24 (INT_k to GSM5924054-k), which closes D3's note that it had not been individually re-derived. No series or sample record carries a donor, patient, participant, subject or individual field; per-sample characteristics are only 'disease state: renal cell cancer' and 'tissue: ccRCC tumor'. The count of 24 distinct samples is therefore corroborated and the count of 24 distinct donors is not sourced. Meylan et al. 2022 Immunity (doi:10.1016/j.immuni.2022.02.001, PMID 35231421) was not reachable: Europe PMC reports isOpenAccess=N, inEPMC=N, hasSuppl=N and no PMCID, and Unpaywall reports no OA location, so no patient table and no per-sample donor mapping was read.",GEO GSE175540; Europe PMC REST (DOI 10.1016/j.immuni.2022.02.001),"H1 item 4 reading record. Sets only the citation cell; donor_id, row_origin, sample_id and donor_label_status are untouched, and no status is chosen between the two row origins."
INT7,expansion_d3,citation,"GEO series GSE175540 'Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer', series and per-sample records, read 2026-09-22 via ncbi.nlm.nih.gov/geo/query/acc.cgi | H1 reading item (docs/round3_execution_plan.md section 13.4 item 4), read 2026-09-24 via ncbi.nlm.nih.gov/geo/query/acc.cgi (series and all 24 per-sample records) and ebi.ac.uk/europepmc: GSE175540 lists exactly 24 samples, GSM5924030 to GSM5924053, with 24 distinct titles; this sample's hest_subseries string matches the title of GSM5924047 ('ccRCC tumor frozen_b_7') and of no other sample, so the HEST-id-to-GSM correspondence is one-to-one over all 24 (INT_k to GSM5924054-k), which closes D3's note that it had not been individually re-derived. No series or sample record carries a donor, patient, participant, subject or individual field; per-sample characteristics are only 'disease state: renal cell cancer' and 'tissue: ccRCC tumor'. The count of 24 distinct samples is therefore corroborated and the count of 24 distinct donors is not sourced. Meylan et al. 2022 Immunity (doi:10.1016/j.immuni.2022.02.001, PMID 35231421) was not reachable: Europe PMC reports isOpenAccess=N, inEPMC=N, hasSuppl=N and no PMCID, and Unpaywall reports no OA location, so no patient table and no per-sample donor mapping was read.",GEO GSE175540; Europe PMC REST (DOI 10.1016/j.immuni.2022.02.001),"H1 item 4 reading record. Sets only the citation cell; donor_id, row_origin, sample_id and donor_label_status are untouched, and no status is chosen between the two row origins. D3's own citation string is preserved as the first clause."
INT8,benchmark_r2,citation,"H1 reading item (docs/round3_execution_plan.md section 13.4 item 4), read 2026-09-24 via ncbi.nlm.nih.gov/geo/query/acc.cgi (series and all 24 per-sample records) and ebi.ac.uk/europepmc: GSE175540 lists exactly 24 samples, GSM5924030 to GSM5924053, with 24 distinct titles; this sample's hest_subseries string matches the title of GSM5924046 ('ccRCC tumor frozen_b_1') and of no other sample, so the HEST-id-to-GSM correspondence is one-to-one over all 24 (INT_k to GSM5924054-k), which closes D3's note that it had not been individually re-derived. No series or sample record carries a donor, patient, participant, subject or individual field; per-sample characteristics are only 'disease state: renal cell cancer' and 'tissue: ccRCC tumor'. The count of 24 distinct samples is therefore corroborated and the count of 24 distinct donors is not sourced. Meylan et al. 2022 Immunity (doi:10.1016/j.immuni.2022.02.001, PMID 35231421) was not reachable: Europe PMC reports isOpenAccess=N, inEPMC=N, hasSuppl=N and no PMCID, and Unpaywall reports no OA location, so no patient table and no per-sample donor mapping was read.",GEO GSE175540; Europe PMC REST (DOI 10.1016/j.immuni.2022.02.001),"H1 item 4 reading record. Sets only the citation cell; donor_id, row_origin, sample_id and donor_label_status are untouched, and no status is chosen between the two row origins."
INT8,expansion_d3,citation,"GEO series GSE175540 'Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer', series and per-sample records, read 2026-09-22 via ncbi.nlm.nih.gov/geo/query/acc.cgi | H1 reading item (docs/round3_execution_plan.md section 13.4 item 4), read 2026-09-24 via ncbi.nlm.nih.gov/geo/query/acc.cgi (series and all 24 per-sample records) and ebi.ac.uk/europepmc: GSE175540 lists exactly 24 samples, GSM5924030 to GSM5924053, with 24 distinct titles; this sample's hest_subseries string matches the title of GSM5924046 ('ccRCC tumor frozen_b_1') and of no other sample, so the HEST-id-to-GSM correspondence is one-to-one over all 24 (INT_k to GSM5924054-k), which closes D3's note that it had not been individually re-derived. No series or sample record carries a donor, patient, participant, subject or individual field; per-sample characteristics are only 'disease state: renal cell cancer' and 'tissue: ccRCC tumor'. The count of 24 distinct samples is therefore corroborated and the count of 24 distinct donors is not sourced. Meylan et al. 2022 Immunity (doi:10.1016/j.immuni.2022.02.001, PMID 35231421) was not reachable: Europe PMC reports isOpenAccess=N, inEPMC=N, hasSuppl=N and no PMCID, and Unpaywall reports no OA location, so no patient table and no per-sample donor mapping was read.",GEO GSE175540; Europe PMC REST (DOI 10.1016/j.immuni.2022.02.001),"H1 item 4 reading record. Sets only the citation cell; donor_id, row_origin, sample_id and donor_label_status are untouched, and no status is chosen between the two row origins. D3's own citation string is preserved as the first clause."
INT9,benchmark_r2,citation,"H1 reading item (docs/round3_execution_plan.md section 13.4 item 4), read 2026-09-24 via ncbi.nlm.nih.gov/geo/query/acc.cgi (series and all 24 per-sample records) and ebi.ac.uk/europepmc: GSE175540 lists exactly 24 samples, GSM5924030 to GSM5924053, with 24 distinct titles; this sample's hest_subseries string matches the title of GSM5924045 ('ccRCC tumor frozen_a_17') and of no other sample, so the HEST-id-to-GSM correspondence is one-to-one over all 24 (INT_k to GSM5924054-k), which closes D3's note that it had not been individually re-derived. No series or sample record carries a donor, patient, participant, subject or individual field; per-sample characteristics are only 'disease state: renal cell cancer' and 'tissue: ccRCC tumor'. The count of 24 distinct samples is therefore corroborated and the count of 24 distinct donors is not sourced. Meylan et al. 2022 Immunity (doi:10.1016/j.immuni.2022.02.001, PMID 35231421) was not reachable: Europe PMC reports isOpenAccess=N, inEPMC=N, hasSuppl=N and no PMCID, and Unpaywall reports no OA location, so no patient table and no per-sample donor mapping was read.",GEO GSE175540; Europe PMC REST (DOI 10.1016/j.immuni.2022.02.001),"H1 item 4 reading record. Sets only the citation cell; donor_id, row_origin, sample_id and donor_label_status are untouched, and no status is chosen between the two row origins."
INT9,expansion_d3,citation,"GEO series GSE175540 'Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer', series and per-sample records, read 2026-09-22 via ncbi.nlm.nih.gov/geo/query/acc.cgi | H1 reading item (docs/round3_execution_plan.md section 13.4 item 4), read 2026-09-24 via ncbi.nlm.nih.gov/geo/query/acc.cgi (series and all 24 per-sample records) and ebi.ac.uk/europepmc: GSE175540 lists exactly 24 samples, GSM5924030 to GSM5924053, with 24 distinct titles; this sample's hest_subseries string matches the title of GSM5924045 ('ccRCC tumor frozen_a_17') and of no other sample, so the HEST-id-to-GSM correspondence is one-to-one over all 24 (INT_k to GSM5924054-k), which closes D3's note that it had not been individually re-derived. No series or sample record carries a donor, patient, participant, subject or individual field; per-sample characteristics are only 'disease state: renal cell cancer' and 'tissue: ccRCC tumor'. The count of 24 distinct samples is therefore corroborated and the count of 24 distinct donors is not sourced. Meylan et al. 2022 Immunity (doi:10.1016/j.immuni.2022.02.001, PMID 35231421) was not reachable: Europe PMC reports isOpenAccess=N, inEPMC=N, hasSuppl=N and no PMCID, and Unpaywall reports no OA location, so no patient table and no per-sample donor mapping was read.",GEO GSE175540; Europe PMC REST (DOI 10.1016/j.immuni.2022.02.001),"H1 item 4 reading record. Sets only the citation cell; donor_id, row_origin, sample_id and donor_label_status are untouched, and no status is chosen between the two row origins. D3's own citation string is preserved as the first clause."
INT10,benchmark_r2,citation,"H1 reading item (docs/round3_execution_plan.md section 13.4 item 4), read 2026-09-24 via ncbi.nlm.nih.gov/geo/query/acc.cgi (series and all 24 per-sample records) and ebi.ac.uk/europepmc: GSE175540 lists exactly 24 samples, GSM5924030 to GSM5924053, with 24 distinct titles; this sample's hest_subseries string matches the title of GSM5924044 ('ccRCC tumor frozen_a_15') and of no other sample, so the HEST-id-to-GSM correspondence is one-to-one over all 24 (INT_k to GSM5924054-k), which closes D3's note that it had not been individually re-derived. No series or sample record carries a donor, patient, participant, subject or individual field; per-sample characteristics are only 'disease state: renal cell cancer' and 'tissue: ccRCC tumor'. The count of 24 distinct samples is therefore corroborated and the count of 24 distinct donors is not sourced. Meylan et al. 2022 Immunity (doi:10.1016/j.immuni.2022.02.001, PMID 35231421) was not reachable: Europe PMC reports isOpenAccess=N, inEPMC=N, hasSuppl=N and no PMCID, and Unpaywall reports no OA location, so no patient table and no per-sample donor mapping was read.",GEO GSE175540; Europe PMC REST (DOI 10.1016/j.immuni.2022.02.001),"H1 item 4 reading record. Sets only the citation cell; donor_id, row_origin, sample_id and donor_label_status are untouched, and no status is chosen between the two row origins."
INT10,expansion_d3,citation,"GEO series GSE175540 'Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer', series and per-sample records, read 2026-09-22 via ncbi.nlm.nih.gov/geo/query/acc.cgi | H1 reading item (docs/round3_execution_plan.md section 13.4 item 4), read 2026-09-24 via ncbi.nlm.nih.gov/geo/query/acc.cgi (series and all 24 per-sample records) and ebi.ac.uk/europepmc: GSE175540 lists exactly 24 samples, GSM5924030 to GSM5924053, with 24 distinct titles; this sample's hest_subseries string matches the title of GSM5924044 ('ccRCC tumor frozen_a_15') and of no other sample, so the HEST-id-to-GSM correspondence is one-to-one over all 24 (INT_k to GSM5924054-k), which closes D3's note that it had not been individually re-derived. No series or sample record carries a donor, patient, participant, subject or individual field; per-sample characteristics are only 'disease state: renal cell cancer' and 'tissue: ccRCC tumor'. The count of 24 distinct samples is therefore corroborated and the count of 24 distinct donors is not sourced. Meylan et al. 2022 Immunity (doi:10.1016/j.immuni.2022.02.001, PMID 35231421) was not reachable: Europe PMC reports isOpenAccess=N, inEPMC=N, hasSuppl=N and no PMCID, and Unpaywall reports no OA location, so no patient table and no per-sample donor mapping was read.",GEO GSE175540; Europe PMC REST (DOI 10.1016/j.immuni.2022.02.001),"H1 item 4 reading record. Sets only the citation cell; donor_id, row_origin, sample_id and donor_label_status are untouched, and no status is chosen between the two row origins. D3's own citation string is preserved as the first clause."
INT11,benchmark_r2,citation,"H1 reading item (docs/round3_execution_plan.md section 13.4 item 4), read 2026-09-24 via ncbi.nlm.nih.gov/geo/query/acc.cgi (series and all 24 per-sample records) and ebi.ac.uk/europepmc: GSE175540 lists exactly 24 samples, GSM5924030 to GSM5924053, with 24 distinct titles; this sample's hest_subseries string matches the title of GSM5924043 ('ccRCC tumor frozen_a_3') and of no other sample, so the HEST-id-to-GSM correspondence is one-to-one over all 24 (INT_k to GSM5924054-k), which closes D3's note that it had not been individually re-derived. No series or sample record carries a donor, patient, participant, subject or individual field; per-sample characteristics are only 'disease state: renal cell cancer' and 'tissue: ccRCC tumor'. The count of 24 distinct samples is therefore corroborated and the count of 24 distinct donors is not sourced. Meylan et al. 2022 Immunity (doi:10.1016/j.immuni.2022.02.001, PMID 35231421) was not reachable: Europe PMC reports isOpenAccess=N, inEPMC=N, hasSuppl=N and no PMCID, and Unpaywall reports no OA location, so no patient table and no per-sample donor mapping was read.",GEO GSE175540; Europe PMC REST (DOI 10.1016/j.immuni.2022.02.001),"H1 item 4 reading record. Sets only the citation cell; donor_id, row_origin, sample_id and donor_label_status are untouched, and no status is chosen between the two row origins."
