task,sample_id,n_spots,n_patch_spots,n_nuclei,factor,patch_px,nucleus_spot_pairs,spots_with_nuclei,mean_nuclei_per_spot,classes,pairs_per_nucleus,patch_frac,nuclei_per_patch_spot
IDC,NCBI785,4180,4010,178322,1.3739630864005898,307.76773135373213,164720,4039,39.4066985645933,connective|dead|epithelial|inflammatory|neoplastic,0.924,0.959,41.08
IDC,TENX95,11845,7760,497508,2.3529411764705883,527.0588235294118,623319,7700,52.622963275643734,connective|dead|epithelial|inflammatory|neoplastic,1.253,0.655,80.32
IDC,TENX99,25080,20761,710379,2.3529411764705883,527.0588235294118,891471,20476,35.545095693779906,connective|epithelial|inflammatory|neoplastic,1.255,0.828,42.94
LYMPH_IDC,NCBI681,4992,4992,157163,1.8255376793913487,408.9204401836621,192176,4875,38.49679487179487,connective|dead|epithelial|inflammatory|neoplastic,1.223,1.0,38.5
LYMPH_IDC,NCBI682,4988,4988,470509,1.8256440289433424,408.94426248330865,552266,4897,110.71892542101044,connective|dead|epithelial|inflammatory|neoplastic,1.174,1.0,110.72
LYMPH_IDC,NCBI683,4992,4992,191259,1.8286668371105657,409.62137151276664,233436,4755,46.76201923076923,connective|dead|epithelial|inflammatory|neoplastic,1.221,1.0,46.76
LYMPH_IDC,NCBI684,4992,4992,296458,1.8283193229182155,409.5435283336803,368952,3946,73.90865384615384,connective|dead|epithelial|inflammatory|neoplastic,1.245,1.0,73.91
PRAD,MEND139,3749,3749,208521,1.4629703095524789,327.7053493397553,294714,3744,78.61136303014138,connective|epithelial|inflammatory|neoplastic,1.413,1.0,78.61
PRAD,MEND140,1935,1935,92292,1.4633529717012954,327.79106566109016,129849,1934,67.10542635658915,connective|epithelial|inflammatory|neoplastic,1.407,1.0,67.11
PRAD,MEND141,1794,1794,57741,1.465229613636359,328.2114334545444,70141,1792,39.09754738015607,connective|epithelial|inflammatory|neoplastic,1.215,1.0,39.1
PRAD,MEND142,2997,2997,172672,1.465007444187528,328.1616674980063,215619,2997,71.94494494494495,connective|epithelial|inflammatory|neoplastic,1.249,1.0,71.94
PRAD,MEND143,3816,3816,151573,1.4635971943597372,327.84577153658114,195263,3816,51.16954926624738,connective|epithelial|inflammatory|neoplastic,1.288,1.0,51.17
PRAD,MEND144,4074,4074,128042,1.4647888287534048,328.1126976407627,174916,4074,42.934707903780065,connective|epithelial|inflammatory|neoplastic,1.366,1.0,42.93
PRAD,MEND145,1418,1418,64003,1.4645060020718277,328.0493444640894,79116,1411,55.79407616361072,connective|epithelial|inflammatory|neoplastic,1.236,1.0,55.79
PRAD,MEND146,1964,1964,49572,1.4649311746779623,328.14458312786354,70036,1961,35.65987780040733,connective|epithelial|inflammatory|neoplastic,1.413,1.0,35.66
PRAD,MEND147,2335,2335,113158,1.4351429008731265,321.47200979558033,156508,2314,67.0269807280514,connective|epithelial|inflammatory|neoplastic,1.383,1.0,67.03
PRAD,MEND148,1633,1633,69578,1.4339300515507205,321.2003315473613,93097,1628,57.00979791794243,connective|epithelial|inflammatory|neoplastic,1.338,1.0,57.01
PRAD,MEND149,1851,1851,101063,1.434260292864333,321.2743056016106,136985,1850,74.00594273365748,connective|epithelial|inflammatory|neoplastic,1.355,1.0,74.01
PRAD,MEND150,1751,1751,103956,1.4352244564193026,321.4902782379238,132747,1751,75.81210736721873,connective|epithelial|inflammatory|neoplastic,1.277,1.0,75.81
PRAD,MEND151,2600,2600,123929,1.4341375671140495,321.2468150335471,168978,2600,64.99153846153847,connective|epithelial|inflammatory|neoplastic,1.364,1.0,64.99
PRAD,MEND152,3082,3082,163558,1.431650501450358,320.6897123248802,230485,3080,74.78423101881894,connective|epithelial|inflammatory|neoplastic,1.409,1.0,74.78
PRAD,MEND153,1820,1820,99507,1.4343603086019965,321.2967091268472,131003,1777,71.97967032967033,connective|epithelial|inflammatory|neoplastic,1.317,1.0,71.98
PRAD,MEND154,2736,2736,139574,0.8726530526315788,195.47428378947365,171201,2727,62.5734649122807,connective|epithelial|inflammatory|neoplastic,1.227,1.0,62.57
PRAD,MEND156,3554,3554,258879,0.8726530526315788,195.47428378947365,257715,3553,72.51406865503658,connective|dead|epithelial|inflammatory|neoplastic,0.996,1.0,72.51
PRAD,MEND157,3190,3190,145230,0.872653758894407,195.4744419923472,191622,3188,60.06959247648903,connective|epithelial|inflammatory|neoplastic,1.319,1.0,60.07
PRAD,MEND158,3092,3092,137685,0.8715428070175435,195.22558877192975,180017,3090,58.22024579560155,connective|dead|epithelial|inflammatory|neoplastic,1.307,1.0,58.22
PRAD,MEND159,3856,3856,294647,0.7272044592926746,162.89379888155912,407617,3854,105.70980290456431,connective|dead|epithelial|inflammatory|neoplastic,1.383,1.0,105.71
PRAD,MEND160,4079,4079,220480,0.8726537588944063,195.474441992347,267358,4076,65.54498651630301,connective|epithelial|inflammatory|neoplastic,1.213,1.0,65.54
PRAD,MEND161,2775,2775,138072,0.7272020914830338,162.89326849219958,185237,2764,66.75207207207207,connective|dead|epithelial|inflammatory|neoplastic,1.342,1.0,66.75
PRAD,MEND162,2609,2609,61368,2.9115735531254807,652.1924759001076,83035,2484,31.826370256803372,connective|epithelial|inflammatory|neoplastic,1.353,1.0,31.83
