task,sample_id,n_spots,area_median,area_q25,area_q75,pixel_size_um
PRAD,MEND148,464,255.95190572459796,220.3393414327913,299.4456170592645,0.3486920435618712
PRAD,MEND149,561,293.794677734375,252.6181640625,344.83154296875,0.3486117565183791
PRAD,MEND150,1042,330.37038922991076,280.7498866489955,378.1850100878047,0.3483775640553357
PRAD,MEND151,830,329.12685546875,256.1697998046875,413.5180257161458,0.3486415888303953
PRAD,MEND152,2674,304.37398726851853,273.9759226747202,337.07682171989893,0.3492472495860312
PRAD,MEND153,1382,319.7763671875,282.2743225097656,358.6113660657728,0.3485874483569101
PRAD,MEND154,875,131.49609375,110.39754231770834,153.43603515625,0.5729653938552056
PRAD,MEND156,1674,134.25467166385135,118.93594473379629,149.7532837627924,0.5729653938552056
PRAD,MEND157,1073,128.2517578125,104.19677734375,156.343017578125,0.5729649301384618
PRAD,MEND158,1690,149.87726814516128,125.73613281249999,182.64681834094915,0.5736952860766773
PRAD,MEND159,2881,84.83234797297297,77.23142149390245,94.35686383928571,0.6875645406332241
PRAD,MEND160,2082,138.0134765625,121.49114278126885,157.23287259615384,0.5729649301384623
PRAD,MEND161,870,99.66796875,81.14878627232143,116.58432904411765,0.6875667793808392
PRAD,MEND162,604,1058.6094991048176,879.2268191437837,1303.0020373114226,0.171728445418549
READ,ZEN36,1422,199.4484365699405,170.4161104424055,228.82434874695616,0.459363338
READ,ZEN40,1902,198.00988135399757,168.05709838867188,237.20084228515626,0.4598401833465827
READ,ZEN48,2000,230.16360841731435,188.59749164003313,273.60663445441276,0.4591296732864132
READ,ZEN49,1483,224.05653211805554,176.3987878870081,262.13166288199676,0.4596361645691399
SKCM,TENX115,1476,628.5414465862772,529.1400438581194,689.5862983628406,0.2736897890251921
SKCM,TENX117,619,1936.9454152960527,1631.0670417906747,2271.411783854167,0.1368527629551209
