id,hest_version_added,organ,species,st_technology,oncotree_code,disease_state,tissue,preservation_method,dataset_title,subseries,study_link,download_page_link1,download_source_prefix,license,data_publication_date,patient,patient_label,patient_label_status,donor_key_provisional,lab_provisional,lab_basis,pixel_size_um_estimated,pixel_size_um_embedded,px_pct_diff,resolution_uncertain,magnification,spots_under_tissue,nb_genes,inter_spot_dist,spot_diameter,fullres_px_width,fullres_px_height,in_benchmark,benchmark_task,duplicate_of,is_duplicate_of_other_id,nfiles_patches,nfiles_st,nfiles_cellvit_seg,nfiles_metadata,bytes_patches,bytes_st,bytes_cellvit_seg,bytes_metadata,bytes_four_components,bytes_wsis,bytes_transcripts,bytes_other_components,bytes_all_components
INT19,v1_0_0,Kidney,Homo sapiens,Visium,SCCRCC,Cancer,Kidney,,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_20,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),INT,Internal,3/3/22,Patient 6,Patient 6,labelled,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 6,Sorbonne Université,pmid-in-link last-author affiliation (pmid=35231421),0.45725462779329,0.45766590389016,0.0899446548752913,False,40x,4948,17943,100.0,55.0,16989,16751,True,CCRCC,,False,1,1,2,1,766217136,101596765,92299387,1006,960114294,986443885,0,988919364,1949033658
INT2,v1_0_0,Kidney,Homo sapiens,Visium,SCCRCC,Cancer,Kidney,,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_c_23,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),INT,Internal,3/3/22,Patient 23,Patient 23,labelled,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 23,Sorbonne Université,pmid-in-link last-author affiliation (pmid=35231421),0.457038391224863,0.45766590389016,0.1372997711669794,False,40x,2580,36601,100.0,55.0,19200,19200,True,CCRCC,,False,1,1,2,1,393484400,48491639,43232361,1006,485209406,471147075,0,472515172,957724578
INT20,v1_0_0,Kidney,Homo sapiens,Visium,SCCRCC,Cancer,Kidney,,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_10,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),INT,Internal,3/3/22,Patient 5,Patient 5,labelled,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 5,Sorbonne Université,pmid-in-link last-author affiliation (pmid=35231421),0.457109556747219,0.45766590389016,0.12170980342217266,False,40x,4860,17943,100.0,55.0,17214,16781,True,CCRCC,,False,1,1,2,1,752596504,106244053,8980004,1006,867821567,1030510891,0,1032679998,1900501565
INT21,v1_0_0,Kidney,Homo sapiens,Visium,SCCRCC,Cancer,Kidney,,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_7,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),INT,Internal,3/3/22,Patient 4,Patient 4,labelled,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 4,Sorbonne Université,pmid-in-link last-author affiliation (pmid=35231421),0.457336659095795,0.45766590389016,0.07199177844520976,False,40x,4975,17943,100.0,55.0,17128,16878,True,CCRCC,,False,1,1,2,1,768073008,190886677,88881733,1005,1047842423,977178799,0,979590403,2027432826
INT22,v1_0_0,Kidney,Homo sapiens,Visium,SCCRCC,Cancer,Kidney,,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_4,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),INT,Internal,3/3/22,Patient 3,Patient 3,labelled,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 3,Sorbonne Université,pmid-in-link last-author affiliation (pmid=35231421),0.457504316124313,0.45766590389016,0.035319397031230056,False,40x,3829,17943,100.0,55.0,17127,16927,True,CCRCC,,False,1,1,2,1,592475024,147139557,7029806,1004,746645391,985106297,0,987189826,1733835217
INT23,v1_0_0,Kidney,Homo sapiens,Visium,SCCRCC,Cancer,Kidney,,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_3,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),INT,Internal,3/3/22,Patient 2,Patient 2,labelled,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 2,Sorbonne Université,pmid-in-link last-author affiliation (pmid=35231421),0.45753312598457,0.45766590389016,0.02902039175944663,False,40x,4755,17943,100.0,55.0,17184,17020,True,CCRCC,,False,1,1,2,1,736335816,213319261,1746297,1005,951402379,959142149,0,961318768,1912721147
INT24,v1_0_0,Kidney,Homo sapiens,Visium,SCCRCC,Cancer,Kidney,,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_2,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),INT,Internal,3/3/22,Patient 1,Patient 1,labelled,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 1,Sorbonne Université,pmid-in-link last-author affiliation (pmid=35231421),0.45736731519443,0.45766590389016,0.06528422250790485,False,40x,4510,17943,100.0,55.0,23040,23296,True,CCRCC,,False,1,1,2,1,694214864,118568605,95246684,1005,908031158,1011566845,0,1013482582,1921513740
INT25,v1_0_0,Prostate,Homo sapiens,Visium,PRAD,Cancer,Prostate,,Prostate ST Internal,Sample_6884-AS-S3-D,None (internal),None (internal),INT,Internal,None (internal),,,missing,,unresolved: None (internal),study_link only,0.616011232423841,0.264583333333333,-57.04894336223908,True,20x,3808,17943,100.0,55.0,14315,13998,False,,,False,1,1,2,1,570956032,140032629,75320324,1801,786310786,493229733,0,494789191,1281099977
INT26,v1_0_0,Prostate,Homo sapiens,Visium,PRAD,Cancer,Prostate,,Prostate ST Internal,Sample_6884-AS-S3-C,None (internal),None (internal),INT,Internal,None (internal),,,missing,,unresolved: None (internal),study_link only,0.614604483155954,0.264583333333333,-56.95063401185835,True,20x,3894,17943,100.0,55.0,13840,13760,False,,,False,1,1,2,1,601621536,128853245,80332133,1801,810808715,490675893,0,492309591,1303118306
INT27,v1_0_0,Prostate,Homo sapiens,Visium,PRAD,Cancer,Prostate,,Prostate ST Internal,Sample_6884-AS-S3-B,None (internal),None (internal),INT,Internal,None (internal),,,missing,,unresolved: None (internal),study_link only,0.614908700126033,0.264583333333333,-56.971932047944115,True,20x,4176,17943,100.0,55.0,15213,13920,False,,,False,1,1,2,1,644814176,207779885,80859076,1800,933454937,548085487,0,549682487,1483137424
INT28,v1_0_0,Prostate,Homo sapiens,Visium,PRAD,Cancer,Prostate,,Prostate ST Internal,Sample_6884-AS-S3-A,None (internal),None (internal),INT,Internal,None (internal),,,missing,,unresolved: None (internal),study_link only,0.61598926,0.264583333333333,-57.04741129198697,True,20x,3990,17943,100.0,55.0,14528,13580,False,,,False,1,1,2,1,617562008,166946325,78313644,1799,862823776,498128317,0,499682513,1362506289
INT3,v1_0_0,Kidney,Homo sapiens,Visium,SCCRCC,Cancer,Kidney,,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_c_5,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),INT,Internal,3/3/22,Patient 22,Patient 22,labelled,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 22,Sorbonne Université,pmid-in-link last-author affiliation (pmid=35231421),0.45766590389016,0.45766590389016,0.0,False,40x,2007,36601,100.0,55.0,21120,19456,True,CCRCC,,False,1,1,2,1,305530752,43287891,35295540,1005,384115188,396063295,0,397342609,781457797
INT35,v1_0_0,Prostate,Homo sapiens,Visium,PRAD,Cancer,Prostate,,Prostate ST Internal,Sample_6884-AS-S1-B,None (internal),None (internal),INT,Internal,None (internal),,,missing,,unresolved: None (internal),study_link only,0.614702523579458,0.264583333333333,-56.957500061550945,True,20x,3998,17943,100.0,55.0,14912,14902,False,,,False,1,1,2,1,602240160,96434293,8752903,1799,707429155,514100545,0,515745924,1223175079
INT4,v1_0_0,Kidney,Homo sapiens,Visium,SCCRCC,Cancer,Kidney,,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_c_2,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),INT,Internal,3/3/22,Patient 21,Patient 21,labelled,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 21,Sorbonne Université,pmid-in-link last-author affiliation (pmid=35231421),0.458713451391209,0.45766590389016,-0.22836642306258154,False,40x,1349,36601,100.0,55.0,19200,19456,True,CCRCC,,False,1,1,2,1,194345992,19937643,22433822,1005,236718462,409619929,0,410971598,647690060
INT5,v1_0_0,Kidney,Homo sapiens,Visium,SCCRCC,Cancer,Kidney,,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_b_18,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),INT,Internal,3/3/22,Patient 20,Patient 20,labelled,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 20,Sorbonne Université,pmid-in-link last-author affiliation (pmid=35231421),0.45661981448672,0.45766590389016,0.22909417643556937,False,40x,1186,36601,100.0,55.0,21120,19456,True,CCRCC,,False,1,1,2,1,179333456,81168311,17356460,1006,277859233,321791949,0,322838025,600697258
INT6,v1_0_0,Kidney,Homo sapiens,Visium,SCCRCC,Cancer,Kidney,,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_b_13,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),INT,Internal,3/3/22,Patient 19,Patient 19,labelled,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 19,Sorbonne Université,pmid-in-link last-author affiliation (pmid=35231421),0.457142823971497,0.45766590389016,0.11442374051037824,False,40x,1678,36601,100.0,55.0,23040,20480,True,CCRCC,,False,1,1,2,1,258151496,54471271,29452892,1007,342076666,386222471,0,387345918,729422584
INT7,v1_0_0,Kidney,Homo sapiens,Visium,SCCRCC,Cancer,Kidney,,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_b_7,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),INT,Internal,3/3/22,Patient 18,Patient 18,labelled,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 18,Sorbonne Université,pmid-in-link last-author affiliation (pmid=35231421),0.457665604322263,0.45766590389016,6.545562833637282e-05,False,40x,2374,36601,100.0,55.0,21120,19200,True,CCRCC,,False,1,1,2,1,365613608,93131975,37405352,1005,496151940,473890389,0,475331739,971483679
INT8,v1_0_0,Kidney,Homo sapiens,Visium,SCCRCC,Cancer,Kidney,,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_b_1,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),INT,Internal,3/3/22,Patient 17,Patient 17,labelled,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 17,Sorbonne Université,pmid-in-link last-author affiliation (pmid=35231421),0.457038391224863,0.45766590389016,0.1372997711669794,False,40x,1949,36601,100.0,55.0,19200,19712,True,CCRCC,,False,1,1,2,1,297941704,87508499,22471989,1005,407923197,436314075,0,437532266,845455463
INT9,v1_0_0,Kidney,Homo sapiens,Visium,SCCRCC,Cancer,Kidney,,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_a_17,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),INT,Internal,3/3/22,Patient 16,Patient 16,labelled,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 16,Sorbonne Université,pmid-in-link last-author affiliation (pmid=35231421),0.457549035711129,0.45766590389016,0.025542219502083817,False,40x,1696,36601,100.0,55.0,19200,18944,True,CCRCC,,False,1,1,2,1,261863240,60022959,32449675,1005,354336879,385612795,0,386850195,741187074
MEND1,v1_0_0,Prostate,Homo sapiens,Spatial Transcriptomics,,Cancer,prostate,Fresh Frozen,"Prostate needle biopsies pre- and post-ADT: Count matrices, histological-, and Androgen receptor immunohistochemistry images",Patient3_Biopsy4_rep2_Chip2_D2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9482614/,https://data.mendeley.com/datasets/mdt8n2xgf4/1,MEND,CC BY 4.0,20-Jul-22,,,missing,,KTH Royal Institute of Technology,pmcid-in-link last-author affiliation (pmid=36115838),0.269899388789708,,,True,40x,176,25835,200.0,100.0,32768,29184,False,,,False,1,1,2,1,27110336,41503251,7352229,1150,75966966,463171813,0,464104854,540071820
MEND10,v1_0_0,Prostate,Homo sapiens,Spatial Transcriptomics,,Cancer,prostate,Fresh Frozen,"Prostate needle biopsies pre- and post-ADT: Count matrices, histological-, and Androgen receptor immunohistochemistry images",Patient2_Biopsy4_rep1_Chip2_E1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9482614/,https://data.mendeley.com/datasets/mdt8n2xgf4/1,MEND,CC BY 4.0,20-Jul-22,,,missing,,KTH Royal Institute of Technology,pmcid-in-link last-author affiliation (pmid=36115838),0.273784301107851,,,True,40x,129,22185,200.0,100.0,32768,28672,False,,,False,1,1,2,1,19686848,27600905,14453577,1115,61742445,806990931,0,807900687,869643132
MEND11,v1_0_0,Prostate,Homo sapiens,Spatial Transcriptomics,,Cancer,prostate,Fresh Frozen,"Prostate needle biopsies pre- and post-ADT: Count matrices, histological-, and Androgen receptor immunohistochemistry images",Patient2_Biopsy3_rep2_Chip3_E1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9482614/,https://data.mendeley.com/datasets/mdt8n2xgf4/1,MEND,CC BY 4.0,20-Jul-22,,,missing,,KTH Royal Institute of Technology,pmcid-in-link last-author affiliation (pmid=36115838),0.270248335,,,True,40x,216,22232,200.0,100.0,32768,29184,False,,,False,1,1,2,1,33462136,43191968,21126754,1114,97781972,669015993,0,670001205,767783177
MEND12,v1_0_0,Prostate,Homo sapiens,Spatial Transcriptomics,,Cancer,prostate,Fresh Frozen,"Prostate needle biopsies pre- and post-ADT: Count matrices, histological-, and Androgen receptor immunohistochemistry images",Patient2_Biopsy3_rep1_Chip3_D2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9482614/,https://data.mendeley.com/datasets/mdt8n2xgf4/1,MEND,CC BY 4.0,20-Jul-22,,,missing,,KTH Royal Institute of Technology,pmcid-in-link last-author affiliation (pmid=36115838),0.275416821313334,,,True,40x,190,23966,200.0,100.0,32768,29184,False,,,False,1,1,2,1,29286424,41370438,21683030,1116,92341008,757707117,0,758690181,851031189
MEND123,v1_0_0,Brain,Mus musculus,Visium,,Healthy,Olfactory bulb,Fresh Frozen,Ex-ST,modif MOB2 D1,https://www.biorxiv.org/content/10.1101/2022.10.25.513696v1.full,https://data.mendeley.com/datasets/nrbsxrk9mp/1,MEND,CC BY 4.0,15-Aug-23,,,missing,,unresolved: https://www.biorxiv.org/content/10.1101/2022.10.25.513696v1.full,study_link only,0.172061511990537,,,True,40x,1490,32285,100.0,55.0,44544,47104,False,,,False,1,1,2,1,225939432,92625243,26520996,932,345086603,620187171,0,621281220,966367823
MEND124,v1_0_0,Brain,Mus musculus,Visium,,Healthy,Olfactory bulb,Fresh Frozen,Ex-ST,modif MOB1 C1,https://www.biorxiv.org/content/10.1101/2022.10.25.513696v1.full,https://data.mendeley.com/datasets/nrbsxrk9mp/1,MEND,CC BY 4.0,15-Aug-23,,,missing,,unresolved: https://www.biorxiv.org/content/10.1101/2022.10.25.513696v1.full,study_link only,0.172117039586919,,,True,40x,1448,32285,100.0,55.0,44544,47104,False,,,False,1,1,2,1,220051600,94921315,23569192,931,338543038,701801937,0,702913965,1041457003
MEND129,v1_0_0,Brain,Mus musculus,Visium,,Healthy,Hippocampus,Fresh Frozen,Ex-ST,HC2 B1,https://www.biorxiv.org/content/10.1101/2022.10.25.513696v1.full,https://data.mendeley.com/datasets/nrbsxrk9mp/1,MEND,CC BY 4.0,15-Aug-23,,,missing,,unresolved: https://www.biorxiv.org/content/10.1101/2022.10.25.513696v1.full,study_link only,0.174241937947694,,,True,40x,4575,32285,100.0,55.0,44544,47104,False,,,False,1,1,2,1,707216872,167350391,54030204,922,928598389,1356154341,0,1358003462,2286601851
MEND13,v1_0_0,Prostate,Homo sapiens,Spatial Transcriptomics,,Cancer,prostate,Fresh Frozen,"Prostate needle biopsies pre- and post-ADT: Count matrices, histological-, and Androgen receptor immunohistochemistry images",Patient2_Biopsy2_rep2_Chip3_C2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9482614/,https://data.mendeley.com/datasets/mdt8n2xgf4/1,MEND,CC BY 4.0,20-Jul-22,,,missing,,KTH Royal Institute of Technology,pmcid-in-link last-author affiliation (pmid=36115838),0.28031186470529,,,True,40x,183,22113,200.0,100.0,32768,29184,False,,,False,1,1,2,1,28358488,37128785,16656684,1115,82145072,666562243,0,667465606,749610678
MEND130,v1_0_0,Brain,Mus musculus,Visium,,Healthy,Hippocampus,Fresh Frozen,Ex-ST,HC1 A1,https://www.biorxiv.org/content/10.1101/2022.10.25.513696v1.full,https://data.mendeley.com/datasets/nrbsxrk9mp/1,MEND,CC BY 4.0,15-Aug-23,,,missing,,unresolved: https://www.biorxiv.org/content/10.1101/2022.10.25.513696v1.full,study_link only,0.172475417411157,,,True,40x,4557,32285,100.0,55.0,44544,47104,False,,,False,1,1,2,1,703814440,169141479,52594200,921,925551040,1523916761,0,1525768240,2451319280
MEND131,v1_0_0,Brain,Mus musculus,Visium,,Healthy,Olfactory bulb,Fresh Frozen,Ex-ST,MOB standard,https://www.biorxiv.org/content/10.1101/2022.10.25.513696v1.full,https://data.mendeley.com/datasets/nrbsxrk9mp/1,MEND,CC BY 4.0,15-Aug-23,,,missing,,unresolved: https://www.biorxiv.org/content/10.1101/2022.10.25.513696v1.full,study_link only,0.57369482058551,,,True,20x,1301,31053,100.0,55.0,15821,15821,False,,,False,1,1,2,1,200697792,22406727,22023577,1957,245130053,444923037,0,445950041,691080094
MEND139,v1_0_0,Prostate,Homo sapiens,Visium,,Cancer,Prostate,Fresh Frozen,Spatially resolved clonal copy number alterations in benign and malignant tissueJus,patient_2_V2_2,https://www.nature.com/articles/s41586-022-05023-2,https://data.mendeley.com/datasets/svw96g68dv/5,MEND,CC BY NC 3.0,25-Mar-24,patient 2,patient 2,labelled,Spatially resolved clonal copy number alterations in benign and malignant tissueJus | patient 2,KTH Royal Institute of Technology,doi-pubmed last-author affiliation (pmid=35948708),0.341770435623502,,,True,40x,3749,33538,100.0,55.0,24000,24258,True,PRAD,,False,1,1,2,1,579318360,95598782,96619465,1067,771537674,1106221399,0,1107935498,1879473172
MEND14,v1_0_0,Prostate,Homo sapiens,Spatial Transcriptomics,,Cancer,prostate,Fresh Frozen,"Prostate needle biopsies pre- and post-ADT: Count matrices, histological-, and Androgen receptor immunohistochemistry images",Patient2_Biopsy2_rep1_Chip2_C2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9482614/,https://data.mendeley.com/datasets/mdt8n2xgf4/1,MEND,CC BY 4.0,20-Jul-22,,,missing,,KTH Royal Institute of Technology,pmcid-in-link last-author affiliation (pmid=36115838),0.278798368926759,,,True,40x,161,29677,200.0,100.0,32768,28672,False,,,False,1,1,2,1,24945152,43649901,14037680,1115,82633848,815978091,0,816910334,899544182
