study_link,hest_dataset_title,pmid,doi,resolved_by,pub_title,journal,year,first_author,first_affil,last_author,last_affil
https://pubmed.ncbi.nlm.nih.gov/37598997/,Zika virus co-opts miRNA networks to persist in placental microenvironments detected by spatial transcriptomics [visium],37598997,,pmid-in-link,Zika virus co-opts microRNA networks to persist in placental niches detected by spatial transcriptomics.,American journal of obstetrics and gynecology,2024,Enrico R Barrozo,"Division of Maternal-Fetal Medicine, Department of Obstetrics & Gynecology, Baylor College of Medicine & Texas Children's Hospital, Houston, TX.",Kjersti M Aagaard,"Division of Maternal-Fetal Medicine, Department of Obstetrics & Gynecology, Baylor College of Medicine & Texas Children's Hospital, Houston, TX. Electronic address: aagaardt@bcm.edu."
https://pubmed.ncbi.nlm.nih.gov/38199298/,Single-cell and spatial transcriptomics characterisation of the immunological landscape in the healthy and PSC human liver,38199298,,pmid-in-link,"Single-cell, single-nucleus, and spatial transcriptomics characterization of the immunological landscape in the healthy ",Journal of hepatology,2024,Tallulah S Andrews,"Ajmera Transplant Centre, Toronto General Research Institute, University Health Network, Toronto, ON, M5G 2C4, Canada; Department of Biochemistry, Schulich School of Medicine and Dentistry, University of Western Ontario, London, ON, N6A 5C1, Canada; Department of Computer Science, University of Western Ontario, London, ON, N6A 3K7, Canada. Electronic address: tandrew6@uwo.ca.",Sonya MacParland,"Ajmera Transplant Centre, Toronto General Research Institute, University Health Network, Toronto, ON, M5G 2C4, Canada; Department of Immunology, University of Toronto, Toronto, ON, M5S 1A8, Canada; Department of Laboratory Medicine and Pathobiology, University of Toronto, Toronto, ON, M5G 1L7, Canada. Electronic address: s.macparland@utoronto.ca."
https://www.biorxiv.org/content/10.1101/2022.10.25.513696v1.full,Ex-ST,4388126,10.1101/2022.10.25.513696,title-search,[New pulvinic acid derivatives from Xerocomus chrysenteron (Bull. ex St. Amans) Quel. and studies on the question of the,"Zeitschrift fur Naturforschung. Teil B, Chemie, Biochemie, Biophysik, Biologie und verwandte Gebiete",1968,W Steglich,,A Prox,
https://www.biorxiv.org/content/10.1101/2022.11.09.515839v1.full,Identification of TREM1+CD163+ myeloid cells as a deleterious immune subset in HCC [Spatial Transcriptomics],,10.1101/2022.11.09.515839,crossref,"TREM1
                  <sup>+</sup>
                  regulatory myeloid cells expand in steatohepatitis-HCC and associ",,2022,Julie Giraud,,Maya Saleh,
https://www.biorxiv.org/content/10.1101/2023.01.23.525135v2,Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics: datasets,,10.1101/2023.01.23.525135,crossref,Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics,,2023,Alberto Valdeolivas,,Kerstin Hahn,
https://www.biorxiv.org/content/10.1101/2023.07.27.550727v1,Demo 10x Visium dataset for STQ,37546876,10.1101/2023.07.27.550727,doi-pubmed,Nextflow Pipeline for Visium and H&E Data from Patient-Derived Xenograft Samples.,bioRxiv : the preprint server for biology,2023,Sergii Domanskyi,,Jeffrey H Chuang,
https://www.biorxiv.org/content/10.1101/2023.12.15.571954v2,Image-based spatial transcriptomics identifies molecular niche dysregulation associated with distal lung remodeling in pulmonary fibrosis,38168317,10.1101/2023.12.15.571954,doi-pubmed,Image-based spatial transcriptomics identifies molecular niche dysregulation associated with distal lung remodeling in p,bioRxiv : the preprint server for biology,2023,Annika Vannan,"Translational Genomics Research Institute, Phoenix, AZ.",Nicholas E Banovich,"Translational Genomics Research Institute, Phoenix, AZ."
https://www.biorxiv.org/content/10.1101/2024.06.04.597233v1.full,Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spatial profiling,,10.1101/2024.06.04.597233,crossref,Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spa,,2024,Michelli F. Oliveira,,Sarah E. B. Taylor,
https://www.biorxiv.org/content/10.64898/2025.12.08.692193v1,Xenium v1 Human Breast FFPE with Biomarkers & Housekeeping Genes Custom Panel,,10.64898/2025.12.08.692193v1,unresolved,,,,,,,
https://www.cell.com/cell/fulltext/S0092-8674(21)01381-7?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867421013817%3Fshowall%3Dtrue,COLON MAP: Colon Molecular Atlas Project,,,unresolved,,,,,,,
https://www.cell.com/cell/fulltext/S0092-8674(23)01222-9?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867423012229%3Fshowall%3Dtrue#secsectitle0020,COLON MAP: Colon Molecular Atlas Project,,,unresolved,,,,,,,
https://www.nature.com/articles/s41467-022-34581-2,Single cell profiling of primary and paired metastatic lymph node tumors in breast cancer patients,36357424,10.1038/s41467-022-34581-2,doi-pubmed,Single cell profiling of primary and paired metastatic lymph node tumors in breast cancer patients.,Nature communications,2022,Tong Liu,"Department of Breast Surgery, Harbin Medical University Cancer Hospital, Harbin, China; Heilongjiang Academy of Medical Sciences, Harbin, China.",Hongquan Zhang,"Program for Cancer and Cell Biology, Department of Human Anatomy, Histology and Embryology, School of Basic Medical Sciences, Peking University Health Science Center, Beijing, 100191, China. Hongquan.Zhang@bjmu.edu.cn."
https://www.nature.com/articles/s41467-022-35319-w,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,,,unresolved,,,,,,,
https://www.nature.com/articles/s41467-023-36071-5,Spatially resolved transcriptomic profiling of degraded,36720873,10.1038/s41467-023-36071-5,doi-pubmed,Spatially resolved transcriptomic profiling of degraded and challenging fresh frozen samples.,Nature communications,2023,Reza Mirzazadeh,"Department of Gene Technology, KTH Royal Institute of Technology, Science for Life Laboratory, Stockholm, Sweden.",Joakim Lundeberg,"Department of Gene Technology, KTH Royal Institute of Technology, Science for Life Laboratory, Stockholm, Sweden. joakim.lundeberg@scilifelab.se."
https://www.nature.com/articles/s41467-023-38975-8,A Spatial Transcriptomic atlas of the human kidney papilla identifies significant immune injury in patients with stone disease,37468493,10.1038/s41467-023-38975-8,doi-pubmed,A spatially anchored transcriptomic atlas of the human kidney papilla identifies significant immune injury in patients w,Nature communications,2023,Victor Hugo Canela,"Department of Anatomy, Cell Biology and Physiology, Indiana University School of Medicine, Indianapolis, IN, USA.",Tarek M El-Achkar,"Department of Anatomy, Cell Biology and Physiology, Indiana University School of Medicine, Indianapolis, IN, USA. telachka@iu.edu."
https://www.nature.com/articles/s41467-023-39717-6,mousemodel_Heptablastoma spatial transcriptomics,37414763,10.1038/s41467-023-39717-6,doi-pubmed,Genome-wide mapping of cancer dependency genes and genetic modifiers of chemotherapy in high-risk hepatoblastoma.,Nature communications,2023,Jie Fang,"Department of Surgery, St. Jude Children's Research Hospital, Memphis, TN, USA.",Jun Yang,"Department of Surgery, St. Jude Children's Research Hospital, Memphis, TN, USA. Jun.Yang2@stjude.org."
https://www.nature.com/articles/s41467-023-40314-w,Schwann Cells Shape Tumor Cells and Cancer-Associated Fibroblasts in the Pancreatic Ductal Adenocarcinoma Microenvironment [ST],,,unresolved,,,,,,,
https://www.nature.com/articles/s41467-023-41387-3,Epithelial Plasticity and Innate Immune Activation Promote Lung Tissue Remodeling following Respiratory Viral Infection.,37726288,10.1038/s41467-023-41387-3,doi-pubmed,Epithelial plasticity and innate immune activation promote lung tissue remodeling following respiratory viral infection.,Nature communications,2023,Andrew K Beppu,"Department of Medicine, Women's Guild Lung Institute, Cedars-Sinai Medical Center, Los Angeles, CA, 90048, USA.",Barry R Stripp,"Department of Medicine, Women's Guild Lung Institute, Cedars-Sinai Medical Center, Los Angeles, CA, 90048, USA. barry.stripp@csmc.edu."
https://www.nature.com/articles/s41467-023-43458-x,"High resolution mapping of the tumor microenvironment using integrated single-cell, spatial and in situ analysis [Xenium]",38114474,10.1038/s41467-023-43458-x,doi-pubmed,"High resolution mapping of the tumor microenvironment using integrated single-cell, spatial and in situ analysis.",Nature communications,2023,Amanda Janesick,"10x Genomics Inc., Pleasanton, CA, 94566, USA.",Sarah E B Taylor,"10x Genomics Inc., Pleasanton, CA, 94566, USA. correspondence@10xgenomics.com."
https://www.nature.com/articles/s41586-022-05023-2,Spatially resolved clonal copy number alterations in benign and malignant tissueJus,35948708,10.1038/s41586-022-05023-2,doi-pubmed,Spatially resolved clonal copy number alterations in benign and malignant tissue.,Nature,2022,Andrew Erickson,"Nuffield Department of Surgical Sciences, University of Oxford, Oxford, UK.",Joakim Lundeberg,"Department of Gene Technology, KTH Royal Institute of Technology, Science for Life Laboratory, Solna, Sweden. joakim.lundeberg@scilifelab.se."
https://www.nature.com/articles/s41586-022-05242-7,A cellular hierarchy in melanoma uncouples growth and metastasis,36131018,10.1038/s41586-022-05242-7,doi-pubmed,A cellular hierarchy in melanoma uncouples growth and metastasis.,Nature,2022,Panagiotis Karras,"Laboratory for Molecular Cancer Biology, Center for Cancer Biology, VIB, Leuven, Belgium.",Jean-Christophe Marine,"Laboratory for Molecular Cancer Biology, Center for Cancer Biology, VIB, Leuven, Belgium. jeanchristophe.marine@kuleuven.vib.be."
https://www.nature.com/articles/s41586-022-05385-7,The neurons that restore walking after paralysis [spatial transcriptomics],36352232,10.1038/s41586-022-05385-7,doi-pubmed,The neurons that restore walking after paralysis.,Nature,2022,Claudia Kathe,"Defitech Center for Interventional Neurotherapies (NeuroRestore), EPFL/CHUV/UNIL, Lausanne, Switzerland.",Grégoire Courtine,"Defitech Center for Interventional Neurotherapies (NeuroRestore), EPFL/CHUV/UNIL, Lausanne, Switzerland. gregoire.courtine@epfl.ch."
https://www.nature.com/articles/s41586-023-06311-1#data-availability,Spatially resolved multiomics of human cardiac niches,37438528,10.1038/s41586-023-06311-1,doi-pubmed,Spatially resolved multiomics of human cardiac niches.,Nature,2023,Kazumasa Kanemaru,"Wellcome Sanger Institute, Wellcome Genome Campus, Hinxton, Cambridge, UK.",Sarah A Teichmann,"Wellcome Sanger Institute, Wellcome Genome Campus, Hinxton, Cambridge, UK. st9@sanger.ac.uk."
https://www.nature.com/articles/s41586-024-07376-2,Multimodal decoding of human liver regeneration [st_human],38693268,10.1038/s41586-024-07376-2,doi-pubmed,Multimodal decoding of human liver regeneration.,Nature,2024,K P Matchett,"Centre for Inflammation Research, Institute for Regeneration and Repair, University of Edinburgh, Edinburgh, UK.",N C Henderson,"Centre for Inflammation Research, Institute for Regeneration and Repair, University of Edinburgh, Edinburgh, UK. Neil.Henderson@ed.ac.uk."
https://www.nature.com/articles/s41587-022-01517-6,Spatial Total RNA-Sequencing of regenerating mouse hindlimb muscle and Type 1-Lang reovirus-infected mouse heart,36329320,10.1038/s41587-022-01517-6,doi-pubmed,Spatial mapping of the total transcriptome by in situ polyadenylation.,Nature biotechnology,2023,David W McKellar,"Meinig School of Biomedical Engineering, Cornell University, Ithaca, NY, USA.",Iwijn De Vlaminck,"Meinig School of Biomedical Engineering, Cornell University, Ithaca, NY, USA. vlaminck@cornell.edu."
https://www.nature.com/articles/s41587-023-01937-y,Spatial Multimodal Analysis: MALDI-MSI and Spatial Transcriptomics within the same tissue section,,,unresolved,,,,,,,
https://www.nature.com/articles/s41588-022-01243-4,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,36543915,10.1038/s41588-022-01243-4,doi-pubmed,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche.,Nature genetics,2023,Elo Madissoon,"Wellcome Sanger Institute, Wellcome Genome Campus, Cambridge, UK.",Kerstin B Meyer,"Wellcome Sanger Institute, Wellcome Genome Campus, Cambridge, UK. km16@sanger.ac.uk."
https://www.nature.com/articles/s41588-022-01254-1,A single-cell transcriptomic analysis of endometriosis,36624343,10.1038/s41588-022-01254-1,doi-pubmed,Single-cell transcriptomic analysis of endometriosis.,Nature genetics,2023,Marcos A S Fonseca,"Women's Cancer Research Program at the Samuel Oschin Comprehensive Cancer Center, Cedars-Sinai Medical Center, Los Angeles, CA, USA.",Kate Lawrenson,"Women's Cancer Research Program at the Samuel Oschin Comprehensive Cancer Center, Cedars-Sinai Medical Center, Los Angeles, CA, USA. kate.lawrenson@cshs.org."
https://www.nature.com/articles/s41593-020-00787-0#data-availability,spatialLIBD,33558695,10.1038/s41593-020-00787-0,doi-pubmed,Transcriptome-scale spatial gene expression in the human dorsolateral prefrontal cortex.,Nature neuroscience,2021,Kristen R Maynard,"Lieber Institute for Brain Development, Johns Hopkins Medical Campus, Baltimore, MD, USA.",Andrew E Jaffe,"Lieber Institute for Brain Development, Johns Hopkins Medical Campus, Baltimore, MD, USA. andrew.jaffe@libd.org."
https://www.nature.com/articles/s44161-022-00138-1,spatialRNAseq_heart_raw_suppdata,36970396,10.1038/s44161-022-00138-1,doi-pubmed,Spatiotemporal transcriptomics reveals pathogenesis of viral myocarditis.,Nature cardiovascular research,2022,Madhav Mantri,"Nancy E. and Peter C. Meinig School of Biomedical Engineering, Cornell University, Ithaca, NY, USA.",Iwijn De Vlaminck,"Nancy E. and Peter C. Meinig School of Biomedical Engineering, Cornell University, Ithaca, NY, USA. vlaminck@cornell.edu."
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10040725/,Spatiotemporally Deciphering the Unknown Role of Persistent HPV Infection in Precancer to Cervical Cancer Progression: Integrating Single-Cell RNA-Sequencing Landscape and Spatial Transcriptomics Atlas [Spatial Transcriptomics],36967539,,pmcid-in-link,Spatiotemporally deciphering the mysterious mechanism of persistent HPV-induced malignant transition and immune remodell,Clinical and translational medicine,2023,Chenyan Guo,"Department of Gynecology, Obstetrics and Gynecology Hospital, Fudan University, Shanghai, China.",Junjun Qiu,"Department of Gynecology, Obstetrics and Gynecology Hospital, Fudan University, Shanghai, China."
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10081210/,Distinct mesenchymal cell states mediate prostate cancer progression [Spatial Transcriptomics],37034687,,pmcid-in-link,Distinct mesenchymal cell states mediate prostate cancer progression.,bioRxiv : the preprint server for biology,2023,Hubert Pakula,"Department of Pathology and Laboratory Medicine, Weill Cornell Medicine, New York, NY 10021, USA.",Massimo Loda,"Department of Pathology and Laboratory Medicine, Weill Cornell Medicine, New York, NY 10021, USA."
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10203427/,Single-nucleus Ribonucleic Acid-sequencing and Spatial Transcriptomics Reveal the Cardioprotection of Shexiang Baoxin Pill (MUSKARDIA) in Mice with Myocardial Ischemia-Reperfusion Injury,37229263,,pmcid-in-link,Single-nucleus ribonucleic acid-sequencing and spatial transcriptomics reveal the cardioprotection of Shexiang Baoxin Pi,Frontiers in pharmacology,2023,Wenyong Lin,"Branch of National Clinical Research Center for Chinese Medicine Cardiology, Shuguang Hospital Affiliated to Shanghai University of Traditional Chinese Medicine, Shanghai, China.",Xiaolong Wang,"Branch of National Clinical Research Center for Chinese Medicine Cardiology, Shuguang Hospital Affiliated to Shanghai University of Traditional Chinese Medicine, Shanghai, China."
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10296284/,Spatial transcriptomics of adenoid cystic carcinoma of the lacrimal gland,37370820,,pmcid-in-link,Spatial Transcriptomics Identifies Expression Signatures Specific to Lacrimal Gland Adenoid Cystic Carcinoma Cells.,Cancers,2023,Acadia H M Moeyersoms,"Dr. Nasser Ibrahim Al-Rashid Orbital Vision Research Center, Bascom Palmer Eye Institute, Miller School of Medicine, University of Miami, Miami, FL 33136, USA.",Daniel Pelaez,"Dr. Nasser Ibrahim Al-Rashid Orbital Vision Research Center, Bascom Palmer Eye Institute, Miller School of Medicine, University of Miami, Miami, FL 33136, USA."
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10312719/,GENE EXPRESSION WITHIN A HUMAN CHOROIDAL NEOVASCULAR MEMBRANE USING SPATIAL TRANSCRIPTOMICS,37398429,,pmcid-in-link,GENE EXPRESSION WITHIN A HUMAN CHOROIDAL NEOVASCULAR MEMBRANE USING SPATIAL TRANSCRIPTOMICS.,bioRxiv : the preprint server for biology,2023,Andrew P Voigt,"Department of Ophthalmology and Visual Sciences, the University of Iowa Carver College of Medicine, Iowa City, IA, 52242.",Robert F Mullins,"Department of Ophthalmology and Visual Sciences, the University of Iowa Carver College of Medicine, Iowa City, IA, 52242."
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10356613/,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],37468583,,pmcid-in-link,An atlas of healthy and injured cell states and niches in the human kidney.,Nature,2023,Blue B Lake,"Department of Bioengineering, University of California, San Diego, La Jolla, CA, USA.",Sanjay Jain,"Department of Medicine, Washington University School of Medicine, St Louis, MO, USA. sanjayjain@wustl.edu."
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7391009/,Human squamous cell carcinoma,32579974,,pmcid-in-link,Multimodal Analysis of Composition and Spatial Architecture in Human Squamous Cell Carcinoma.,Cell,2020,Andrew L Ji,"Program in Epithelial Biology, Stanford University School of Medicine, Stanford, CA 94305, USA; Stanford Cancer Institute, Stanford University School of Medicine, Stanford, CA 94305, USA.",Paul A Khavari,"Program in Epithelial Biology, Stanford University School of Medicine, Stanford, CA 94305, USA; Stanford Cancer Institute, Stanford University School of Medicine, Stanford, CA 94305, USA; Veterans Affairs Palo Alto Healthcare System, Palo Alto, CA, USA. Electronic address: khavari@stanford.edu."
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8589952/,Spatial RNA sequencing of regenerating mouse hindlimb muscle,34773081,,pmcid-in-link,Large-scale integration of single-cell transcriptomic data captures transitional progenitor states in mouse skeletal mus,Communications biology,2021,David W McKellar,"Meinig School of Biomedical Engineering, Cornell University, Ithaca, NY, 14853, USA.",Benjamin D Cosgrove,"Meinig School of Biomedical Engineering, Cornell University, Ithaca, NY, 14853, USA. bdc68@cornell.edu."
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9482614/,"Prostate needle biopsies pre- and post-ADT: Count matrices, histological-, and Androgen receptor immunohistochemistry images",36115838,,pmcid-in-link,Spatio-temporal analysis of prostate tumors in situ suggests pre-existence of treatment-resistant clones.,Nature communications,2022,Maja Marklund,"Department of Gene Technology, KTH Royal Institute of Technology, Science for Life Laboratory, Solna, Sweden.",Joakim Lundeberg,"Department of Gene Technology, KTH Royal Institute of Technology, Science for Life Laboratory, Solna, Sweden. joakim.lundeberg@scilifelab.se."
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9628215/,Visium spatial transcriptomics analysis of lacrimal gland during chronic inflammation progression.,36341342,,pmcid-in-link,Spatial transcriptomics of the lacrimal gland features macrophage activity and epithelium metabolism as key alterations ,Frontiers in immunology,2022,Olivier Mauduit,"Department of Molecular Medicine, The Scripps Research Institute, La Jolla, CA, United States.",Helen P Makarenkova,"Department of Molecular Medicine, The Scripps Research Institute, La Jolla, CA, United States."
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9701619/,10X Visium Spatial transcriptomics of murine colon in steady state and during recovery after DSS colitis,36452860,,pmcid-in-link,Assessment of spatial transcriptomics for oncology discovery.,Cell reports methods,2022,Anna Lyubetskaya,"Research and Early Development, Bristol Myers Squibb Company, 100 Binney Street, Cambridge, MA 02142, USA.",Eugene Drokhlyansky,"Research and Early Development, Bristol Myers Squibb Company, 100 Binney Street, Cambridge, MA 02142, USA."
https://www.science.org/doi/10.1126/sciadv.abb3446,Molecular Atlas of the Adult Mouse Brain,32637622,10.1126/sciadv.abb3446,doi-pubmed,Molecular atlas of the adult mouse brain.,Science advances,2020,Cantin Ortiz,"Department of Neuroscience, Karolinska Institutet, Stockholm, Sweden.",Konstantinos Meletis,"Department of Neuroscience, Karolinska Institutet, Stockholm, Sweden."
https://www.science.org/doi/10.1126/science.aaf2403,Integrating spatial gene expression and breast tumour morphology via deep learning,27365449,10.1126/science.aaf2403,doi-pubmed,Visualization and analysis of gene expression in tissue sections by spatial transcriptomics.,"Science (New York, N.Y.)",2016,Patrik L Ståhl,"Department of Cell and Molecular Biology, Karolinska Institute, SE-171 77 Stockholm, Sweden. Science for Life Laboratory, Division of Gene Technology, KTH Royal Institute of Technology, SE-106 91 Stockholm, Sweden.",Jonas Frisén,"Department of Cell and Molecular Biology, Karolinska Institute, SE-171 77 Stockholm, Sweden."
https://www.science.org/doi/10.1126/science.aav9776?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,Spatiotemporal dynamics of molecular pathology in amyotrophic lateral sclerosis,30948552,10.1126/science.aav9776,doi-pubmed,Spatiotemporal dynamics of molecular pathology in amyotrophic lateral sclerosis.,"Science (New York, N.Y.)",2019,Silas Maniatis,"Center for Genomics of Neurodegenerative Disease, New York Genome Center, New York, NY, USA.",Hemali Phatnani,"Center for Genomics of Neurodegenerative Disease, New York Genome Center, New York, NY, USA. hphatnani@nygenome.org rb133@nyu.edu joakim.lundeberg@scilifelab.se."
"https://www.sciencedirect.com/science/article/abs/pii/S0889159123004166#:~:text=These%20data%20suggest%20binge%20drinking,heightened%20neuroinflammatory%20responses%20to%20ethanol.",A novel model of binge ethanol exposure reveals enhanced neurodegeneration with advanced age,,,unresolved,,,,,,,
https://www.sciencedirect.com/science/article/pii/S0022202X22016669?via%3Dihub,Spatial sequencing of Foreign body granuloma,,,unresolved,,,,,,,
https://www.sciencedirect.com/science/article/pii/S0092867419312826?via%3Dihub,A spatiotemporal organ-wide gene expression and cell atlas of the developing human heart,,,unresolved,,,,,,,
https://www.sciencedirect.com/science/article/pii/S2211124724004698?via%3Dihub#app2,Batf3-dendritic cells and 4-1BB-4-1BB ligand axis are required at the effector phase within the tumor microenvironment for PD-1-PD-L1 blockade efficacy,,,unresolved,,,,,,,
