set_name,sample_id,organ,st_technology,dataset_title,subseries,lab_provisional,patient_label,donor_key_provisional,resolution_uncertain,pixel_size_um_estimated,spots_under_tissue,in_benchmark,benchmark_task,bytes_four_components
institution_kidney_visium,INT19,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_20,Sorbonne Université,Patient 6,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 6,False,0.45725462779329,4948,True,CCRCC,960114294
institution_kidney_visium,INT2,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_c_23,Sorbonne Université,Patient 23,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 23,False,0.457038391224863,2580,True,CCRCC,485209406
institution_kidney_visium,INT20,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_10,Sorbonne Université,Patient 5,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 5,False,0.457109556747219,4860,True,CCRCC,867821567
institution_kidney_visium,INT21,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_7,Sorbonne Université,Patient 4,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 4,False,0.457336659095795,4975,True,CCRCC,1047842423
institution_kidney_visium,INT22,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_4,Sorbonne Université,Patient 3,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 3,False,0.457504316124313,3829,True,CCRCC,746645391
institution_kidney_visium,INT23,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_3,Sorbonne Université,Patient 2,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 2,False,0.45753312598457,4755,True,CCRCC,951402379
institution_kidney_visium,INT24,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_2,Sorbonne Université,Patient 1,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 1,False,0.45736731519443,4510,True,CCRCC,908031158
institution_kidney_visium,INT3,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_c_5,Sorbonne Université,Patient 22,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 22,False,0.45766590389016,2007,True,CCRCC,384115188
institution_kidney_visium,INT4,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_c_2,Sorbonne Université,Patient 21,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 21,False,0.458713451391209,1349,True,CCRCC,236718462
institution_kidney_visium,INT5,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_b_18,Sorbonne Université,Patient 20,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 20,False,0.45661981448672,1186,True,CCRCC,277859233
institution_kidney_visium,INT6,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_b_13,Sorbonne Université,Patient 19,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 19,False,0.457142823971497,1678,True,CCRCC,342076666
institution_kidney_visium,INT7,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_b_7,Sorbonne Université,Patient 18,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 18,False,0.457665604322263,2374,True,CCRCC,496151940
institution_kidney_visium,INT8,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_b_1,Sorbonne Université,Patient 17,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 17,False,0.457038391224863,1949,True,CCRCC,407923197
institution_kidney_visium,INT9,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_a_17,Sorbonne Université,Patient 16,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 16,False,0.457549035711129,1696,True,CCRCC,354336879
institution_kidney_visium,NCBI562,Kidney,Visium,A Spatial Transcriptomic atlas of the human kidney papilla identifies significant immune injury in patients with stone disease,M50,Indiana University School of Medicine,,,True,0.759491237013235,2468,False,,476247875
institution_kidney_visium,NCBI563,Kidney,Visium,A Spatial Transcriptomic atlas of the human kidney papilla identifies significant immune injury in patients with stone disease,F59 - F63,Indiana University School of Medicine,,,True,0.758354680960088,1376,False,,273601804
institution_kidney_visium,NCBI564,Kidney,Visium,A Spatial Transcriptomic atlas of the human kidney papilla identifies significant immune injury in patients with stone disease,KRP446 (M) - KRP462 (F) - KRP475 (F),Indiana University School of Medicine,,,True,0.758392527126839,262,False,,59833460
institution_kidney_visium,NCBI565,Kidney,Visium,A Spatial Transcriptomic atlas of the human kidney papilla identifies significant immune injury in patients with stone disease,KRP429,Indiana University School of Medicine,,,True,0.757885062847421,1085,False,,195895851
institution_kidney_visium,NCBI566,Kidney,Visium,A Spatial Transcriptomic atlas of the human kidney papilla identifies significant immune injury in patients with stone disease,KRP449,Indiana University School of Medicine,,,True,0.757839479681478,939,False,,180601276
institution_kidney_visium,NCBI567,Kidney,Visium,A Spatial Transcriptomic atlas of the human kidney papilla identifies significant immune injury in patients with stone disease,KRP428,Indiana University School of Medicine,,,True,0.756754987864769,817,False,,171933945
institution_kidney_visium,NCBI568,Kidney,Visium,A Spatial Transcriptomic atlas of the human kidney papilla identifies significant immune injury in patients with stone disease,20-0034,Indiana University School of Medicine,,,True,0.758717479671066,2438,False,,450278272
institution_kidney_visium,NCBI692,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],32-10003,Washington University School of Medicine,Patient 22,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST] | Patient 22,True,0.759454731728241,370,False,,82072235
institution_kidney_visium,NCBI693,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],30-10929,Washington University School of Medicine,Patient 21,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST] | Patient 21,True,0.757575757575758,507,False,,111681012
institution_kidney_visium,NCBI694,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],30-10631,Washington University School of Medicine,Patient 20,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST] | Patient 20,True,0.758953439,640,False,,127269516
institution_kidney_visium,NCBI695,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],33-10331,Washington University School of Medicine,Patient 19,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST] | Patient 19,True,0.757567931501187,673,False,,141994849
institution_kidney_visium,NCBI696,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],30-10125,Washington University School of Medicine,Patient 18,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST] | Patient 18,True,0.756934321,645,False,,135584794
institution_kidney_visium,NCBI697,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],32-10074,Washington University School of Medicine,Patient 17,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST] | Patient 17,True,0.757049887957286,317,False,,66840231
institution_kidney_visium,NCBI698,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],27-10066,Washington University School of Medicine,Patient 16,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST] | Patient 16,True,0.758288389,407,False,,88506677
institution_kidney_visium,NCBI699,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],29-10282,Washington University School of Medicine,Patient 15,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST] | Patient 15,True,0.758459452846038,787,False,,158098782
institution_kidney_visium,NCBI700,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],31-10042,Washington University School of Medicine,Patient 14,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST] | Patient 14,True,0.759011916272278,601,False,,126716781
institution_kidney_visium,NCBI701,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],28-12265-Medulla,Washington University School of Medicine,Patient 13,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST] | Patient 13,True,0.758035137985611,904,False,,177314868
institution_kidney_visium,NCBI702,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],28-12265-Cortex,Washington University School of Medicine,Patient 13,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST] | Patient 13,True,0.758209679801175,461,False,,102906567
institution_kidney_visium,NCBI703,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],29-10404,Washington University School of Medicine,Patient 12,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST] | Patient 12,True,0.757575757575758,453,False,,95810999
institution_kidney_visium,NCBI704,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],31-10221,Washington University School of Medicine,Patient 11,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST] | Patient 11,True,0.756855987,534,False,,110247043
institution_kidney_visium,NCBI705,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],29-10280,Washington University School of Medicine,Patient 10,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST] | Patient 10,True,0.758192191352373,560,False,,110414234
institution_kidney_visium,NCBI706,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],29-10012,Washington University School of Medicine,Patient 9,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST] | Patient 9,True,0.757995716166573,673,False,,135420996
institution_kidney_visium,NCBI707,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],29-10013,Washington University School of Medicine,Patient 8,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST] | Patient 8,True,0.756728455973368,673,False,,132252121
institution_kidney_visium,NCBI708,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],IU-13437,Washington University School of Medicine,Patient 7,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST] | Patient 7,True,0.757189863678115,1322,False,,241890823
institution_kidney_visium,NCBI709,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],21-019,Washington University School of Medicine,Patient 6,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST] | Patient 6,True,0.757566095790418,1034,False,,199341265
institution_kidney_visium,NCBI710,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],21-015,Washington University School of Medicine,Patient 5,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST] | Patient 5,True,0.756615014486175,956,False,,187672150
institution_kidney_visium,NCBI711,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],IU-M32,Washington University School of Medicine,Patient 4,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST] | Patient 4,True,0.757302117222195,2627,False,,503692604
institution_kidney_visium,NCBI712,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],IU-M61,Washington University School of Medicine,Patient 3,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST] | Patient 3,True,0.757995716166573,4166,False,,781008938
institution_kidney_visium,NCBI713,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],IU-F52,Washington University School of Medicine,Patient 2,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST] | Patient 2,True,0.757575313914251,3627,False,,671955692
institution_kidney_visium,NCBI714,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],IU-F59,Washington University School of Medicine,Patient 1,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST] | Patient 1,True,0.757191793128061,3007,False,,597881635
donor_power_kidney_visium,INT1,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_c_57,Sorbonne Université,Patient 24,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 24,False,0.456893117723337,1084,True,CCRCC,203033301
donor_power_kidney_visium,INT10,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_a_15,Sorbonne Université,Patient 15,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 15,False,0.458014733390284,1983,True,CCRCC,427847837
donor_power_kidney_visium,INT11,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_a_3,Sorbonne Université,Patient 14,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 14,False,0.456621005,1439,True,CCRCC,289315359
donor_power_kidney_visium,INT12,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_a_1,Sorbonne Université,Patient 13,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 13,False,0.457664178387135,1451,True,CCRCC,326847566
donor_power_kidney_visium,INT13,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_51,Sorbonne Université,Patient 12,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 12,False,0.457427788409886,4359,True,CCRCC,874993691
donor_power_kidney_visium,INT14,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_45,Sorbonne Université,Patient 11,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 11,False,0.457571755254355,4562,True,CCRCC,958155599
donor_power_kidney_visium,INT15,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_39,Sorbonne Université,Patient 10,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 10,False,0.457852371,4940,True,CCRCC,994461541
donor_power_kidney_visium,INT16,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_36,Sorbonne Université,Patient 9,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 9,False,0.457638451710432,3206,True,CCRCC,625586359
donor_power_kidney_visium,INT17,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_34,Sorbonne Université,Patient 8,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 8,False,0.457530311881018,3585,True,CCRCC,718763907
donor_power_kidney_visium,INT18,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_21,Sorbonne Université,Patient 7,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 7,False,0.458098050458905,4915,True,CCRCC,1032614382
donor_power_kidney_visium,INT19,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_20,Sorbonne Université,Patient 6,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 6,False,0.45725462779329,4948,True,CCRCC,960114294
donor_power_kidney_visium,INT2,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_c_23,Sorbonne Université,Patient 23,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 23,False,0.457038391224863,2580,True,CCRCC,485209406
donor_power_kidney_visium,INT20,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_10,Sorbonne Université,Patient 5,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 5,False,0.457109556747219,4860,True,CCRCC,867821567
donor_power_kidney_visium,INT21,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_7,Sorbonne Université,Patient 4,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 4,False,0.457336659095795,4975,True,CCRCC,1047842423
donor_power_kidney_visium,INT22,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_4,Sorbonne Université,Patient 3,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 3,False,0.457504316124313,3829,True,CCRCC,746645391
donor_power_kidney_visium,INT23,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_3,Sorbonne Université,Patient 2,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 2,False,0.45753312598457,4755,True,CCRCC,951402379
donor_power_kidney_visium,INT24,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_2,Sorbonne Université,Patient 1,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 1,False,0.45736731519443,4510,True,CCRCC,908031158
donor_power_kidney_visium,INT3,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_c_5,Sorbonne Université,Patient 22,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 22,False,0.45766590389016,2007,True,CCRCC,384115188
donor_power_kidney_visium,INT4,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_c_2,Sorbonne Université,Patient 21,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 21,False,0.458713451391209,1349,True,CCRCC,236718462
donor_power_kidney_visium,INT5,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_b_18,Sorbonne Université,Patient 20,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 20,False,0.45661981448672,1186,True,CCRCC,277859233
donor_power_kidney_visium,INT6,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_b_13,Sorbonne Université,Patient 19,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 19,False,0.457142823971497,1678,True,CCRCC,342076666
donor_power_kidney_visium,INT7,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_b_7,Sorbonne Université,Patient 18,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 18,False,0.457665604322263,2374,True,CCRCC,496151940
donor_power_kidney_visium,INT8,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_b_1,Sorbonne Université,Patient 17,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 17,False,0.457038391224863,1949,True,CCRCC,407923197
donor_power_kidney_visium,INT9,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_a_17,Sorbonne Université,Patient 16,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 16,False,0.457549035711129,1696,True,CCRCC,354336879
donor_power_kidney_visium,NCBI692,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],32-10003,Washington University School of Medicine,Patient 22,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST] | Patient 22,True,0.759454731728241,370,False,,82072235
donor_power_kidney_visium,NCBI693,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],30-10929,Washington University School of Medicine,Patient 21,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST] | Patient 21,True,0.757575757575758,507,False,,111681012
donor_power_kidney_visium,NCBI694,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],30-10631,Washington University School of Medicine,Patient 20,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST] | Patient 20,True,0.758953439,640,False,,127269516
donor_power_kidney_visium,NCBI695,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],33-10331,Washington University School of Medicine,Patient 19,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST] | Patient 19,True,0.757567931501187,673,False,,141994849
