organ,st_technology,n_samples,n_labs_resolved,n_labs_resolved_ge3_samples,n_labs_resolved_ge3_donors,n_donors,n_missing_patient_label,n_resolution_uncertain,n_in_benchmark,bytes_four_components,labs
Ovary,Visium,2,0,0,0,0,2,1,0,1933764478,"10x Genomics Inc. (vendor product page) (n=2, donors=0)"
Ovary,Visium HD,2,0,0,0,0,2,0,0,961686460,"10x Genomics Inc. (vendor product page) (n=2, donors=0)"
Ovary,Visium HD 3',3,0,0,0,0,3,0,0,2206515184,"10x Genomics Inc. (vendor product page) (n=3, donors=0)"
Ovary,Xenium,1,0,0,0,0,1,0,0,520149358,"10x Genomics Inc. (vendor product page) (n=1, donors=0)"
Ovary,Xenium 5k,2,0,0,0,0,2,0,0,5176522913,"10x Genomics Inc. (vendor product page) (n=2, donors=0)"
Pancreas,Visium,4,0,0,0,0,4,4,0,2605272790,"unresolved: https://www.nature.com/articles/s41467-023-40314-w (n=4, donors=0)"
Pancreas,Visium HD,1,0,0,0,0,1,0,0,425563968,"10x Genomics Inc. (vendor product page) (n=1, donors=0)"
Pancreas,Visium HD 3',1,0,0,0,0,1,0,0,752991449,"10x Genomics Inc. (vendor product page) (n=1, donors=0)"
Prostate,Visium HD,1,0,0,0,0,1,0,0,559262621,"10x Genomics Inc. (vendor product page) (n=1, donors=0)"
Prostate,Xenium,1,0,0,0,0,1,0,0,775816959,"10x Genomics Inc. (vendor product page) (n=1, donors=0)"
