task,label_set,encoder,design,score,weighting,subset,alpha,w3_variant,n_folds,coverage,coverage_sd,width_mean,width_median,width_mean_spotgene,interval_score,miss_above,miss_below,neff_median,neff_frac,clip_rate,clip_rate_test,auc,auc_holdout,no_support,n_infinite,n_spot_gene,n_test_points_infinite,K_median,feasible_level,guaranteed_level,frac_morph_joined,sigma_clip_rate_cal,classifier_converged,frac_infinite,difference_list,_source
CCRCC,shipped,hoptimus0,patient,scaled_clip,W2,all,0.1,,6,0.8708364280486909,0.0643439325633623,2.23271155784042,2.131219133654083,2.2263199647272014,3.478283367985421,0.0925042416912764,0.0366593302600325,14996.0,1.0,0.0,0.0,,,0,0,11133000,0,,,,,0.0200009989053053,True,0.0,"sees resolution group and, where the task definition defines it, capture session. Nothing else. On every task but PRAD the session field is null for every sample, so the cell is the resolution group alone.",a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,patient,scaled_clip,W3,all,0.1,nominal,6,1.0,0.0,,,,,0.0,0.0,12029.83377037622,0.8374453284133714,0.0,0.0,,,0,11133000,11133000,222660,5.0,0.8333333333333334,0.8333333333333334,,0.0200009989053053,True,1.0,sees the unit structure of the calibration set and no features whatever: only which calibration unit each spot belongs to and how many spots that unit has.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,patient,scaled_clip,W3,all,0.1666666666666666,feasible_level,6,0.9984554348734316,0.0026858856008546,8.447332825933477,8.03270480984619,8.426069970863072,8.454431388409093,0.0015263741697709,1.8190956797490805e-05,12029.83377037622,0.8374453284133714,0.0,0.0,,,0,0,11133000,0,5.0,0.8333333333333334,0.8333333333333334,,0.0200009989053053,True,0.0,sees the unit structure of the calibration set and no features whatever: only which calibration unit each spot belongs to and how many spots that unit has.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,patient,scaled_clip,W3,all,0.2,nominal,6,0.9363015026759868,0.0474904862943763,3.1216274210787582,2.988701850543973,3.1135882642291524,3.4364852765814256,0.0514264600171214,0.0122720373068917,12029.83377037622,0.8374453284133714,0.0,0.0,,,0,0,11133000,0,5.0,0.8333333333333334,0.8333333333333334,,0.0200009989053053,True,0.0,sees the unit structure of the calibration set and no features whatever: only which calibration unit each spot belongs to and how many spots that unit has.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,patient,scaled_clip,none,all,0.1,,6,0.8708364280486909,0.0643439325633623,2.23271155784042,2.131219133654083,2.2263199647272014,3.478283367985421,0.0925042416912764,0.0366593302600325,14996.0,1.0,0.0,0.0,,,0,0,11133000,0,,,,,0.0200009989053053,True,0.0,no weights; every calibration spot and the test point carry equal mass. Sees nothing.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,patient,scaled_clip,none,all,0.2,,6,0.7675404529207045,0.0800720867036607,1.622429903709694,1.54705055280682,1.6168231680129348,2.6925128514134227,0.14813703442926,0.0843225126500354,14996.0,1.0,0.0,0.0,,,0,0,11133000,0,,,,,0.0200009989053053,True,0.0,no weights; every calibration spot and the test point carry equal mass. Sees nothing.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,patient,scaled_clip,none,morph_joined,0.1,,6,0.8704991047411766,0.0655145844437294,2.2328073410474936,2.143434292719075,2.228719609097043,3.4843961578538,0.0920710140173794,0.0374298812414439,13401.0,1.0,0.0,0.0,,,0,0,10150950,0,,,,0.9109769051466352,0.0200009989053053,True,0.0,no weights; every calibration spot and the test point carry equal mass. Sees nothing.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,patient,scaled_clip,none,morph_joined,0.2,,6,0.7669446602394495,0.0809692768685835,1.6159564091847571,1.552858439968902,1.612950347729912,2.690819930259701,0.1476283981707075,0.0854269415898429,13401.0,1.0,0.0,0.0,,,0,0,10150950,0,,,,0.9109769051466352,0.0200009989053053,True,0.0,no weights; every calibration spot and the test point carry equal mass. Sees nothing.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,random,abs,W1,all,0.1,,6,0.8829803211078795,0.001587558842316,1.605864151235301,1.5704267660688125,1.605865001512521,2.183359211782808,0.0752601460122851,0.0417595328798353,11783.224183580867,0.9594000162048436,0.0050382701941956,0.0099913614016756,0.5588488949755533,0.4998663581837048,0,0,18555000,0,,,,,,True,0.0,"sees everything the encoder represents, which includes the slide signature, stain and scanner, not only biology. Trained on the PCA-256 features of C against E from the PCA fit on T.",a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,random,abs,W1b,morph_joined,0.1,,6,0.882927496469027,0.0017235348785126,1.607275928513242,1.5786304357836252,1.607276106641934,2.1826277339184923,0.0751862469873426,0.0418862565436302,11196.051745561092,0.998968443897363,0.0050428786280514,0.0058670653097969,0.508965909015773,0.5000828314796518,0,0,16916550,0,,,,0.9118892089314564,,True,0.0,"sees tissue composition only: nuclear count, mean and median nuclear area and the five class fractions. It cannot see the slide as an image. Fitted and evaluated on the morphology-joined subset of spots, with `none` reported on that same subset beside it so the comparison is like for like.",a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,random,abs,W2,all,0.1,,6,0.8827673685178659,0.0015655352631767,1.6048919071021397,1.5700336626056255,1.6048919071021397,2.183552061427222,0.0753873191835601,0.041845312298574,12294.0,1.0,0.0,0.0,,,0,0,18555000,0,,,,,,True,0.0,"sees resolution group and, where the task definition defines it, capture session. Nothing else. On every task but PRAD the session field is null for every sample, so the cell is the resolution group alone.",a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,random,abs,W3,all,7.389890629618682e-05,feasible_level,1,0.999821113944358,0.0001084920280745,4.819208599055616,4.63001647508335,4.819208599055615,6.0833354273096445,8.297608248284962e-05,9.590997315924426e-05,13531.0,1.0,0.0,0.0,,,0,0,1642250,0,13531.0,0.9999261010937038,0.9999261010937038,,,True,0.0,sees the unit structure of the calibration set and no features whatever: only which calibration unit each spot belongs to and how many spots that unit has.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,random,abs,W3,all,7.4510096118024e-05,feasible_level,1,0.9997722192271246,0.000151361644997,4.821724954949927,4.669211107633787,4.821724954949927,6.433107623726315,0.0001060462951273,0.0001217344777481,13420.0,1.0,0.0,0.0,,,0,0,1780500,0,13420.0,0.999925489903882,0.999925489903882,,,True,0.0,sees the unit structure of the calibration set and no features whatever: only which calibration unit each spot belongs to and how many spots that unit has.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,random,abs,W3,all,7.877737513786041e-05,feasible_level,1,0.999880982189752,6.133668515961555e-05,4.860320892919941,4.597438453520182,4.860320892919941,5.45329492358959,8.964230504715055e-05,2.93755052007791e-05,12693.0,1.0,0.0,0.0,,,0,0,2689000,0,12693.0,0.9999212226248622,0.9999212226248622,,,True,0.0,sees the unit structure of the calibration set and no features whatever: only which calibration unit each spot belongs to and how many spots that unit has.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,random,abs,W3,all,8.406186953597848e-05,feasible_level,1,0.999866196684624,3.554647886339866e-05,4.828714174575626,4.619940851467224,4.828714174575626,5.481313637275997,8.522224610377754e-05,4.858106927213841e-05,11895.0,1.0,0.0,0.0,,,0,0,3687000,0,11895.0,0.999915938130464,0.999915938130464,,,True,0.0,sees the unit structure of the calibration set and no features whatever: only which calibration unit each spot belongs to and how many spots that unit has.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,random,abs,W3,all,8.684324793747286e-05,feasible_level,1,0.9998579322998012,3.285170804472218e-05,4.866564379450369,4.6784379967412,4.866564379450369,5.6929515418473455,7.826443744296684e-05,6.380326275592567e-05,11514.0,1.0,0.0,0.0,,,0,0,4163500,0,11514.0,0.9999131567520624,0.9999131567520624,,,True,0.0,sees the unit structure of the calibration set and no features whatever: only which calibration unit each spot belongs to and how many spots that unit has.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,random,abs,W3,all,8.951750067138126e-05,feasible_level,1,0.9998584133065898,6.571629951564352e-05,4.8919521447884975,4.712302917011952,4.8919521447884975,5.584775436473596,9.665661583063714e-05,4.493007757967788e-05,11170.0,1.0,0.0,0.0,,,0,0,4592750,0,11170.0,0.9999104824993286,0.9999104824993286,,,True,0.0,sees the unit structure of the calibration set and no features whatever: only which calibration unit each spot belongs to and how many spots that unit has.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,random,abs,W3,all,0.1,nominal,6,0.8827673685178659,0.0015655352631767,1.6048919071021397,1.5700336626056255,1.6048919071021397,2.183552061427222,0.0753873191835601,0.041845312298574,12294.0,1.0,0.0,0.0,,,0,0,18555000,0,12294.0,0.9999187318340504,0.9999187318340504,,,True,0.0,sees the unit structure of the calibration set and no features whatever: only which calibration unit each spot belongs to and how many spots that unit has.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,random,abs,W3,all,0.2,nominal,6,0.7770464173367564,0.0018420071718697,1.2439240727870968,1.214461712300983,1.2439240727870968,1.8321749933187923,0.1317126829713961,0.0912408996918474,12294.0,1.0,0.0,0.0,,,0,0,18555000,0,12294.0,0.9999187318340504,0.9999187318340504,,,True,0.0,sees the unit structure of the calibration set and no features whatever: only which calibration unit each spot belongs to and how many spots that unit has.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,random,abs,none,all,0.1,,6,0.8827673685178659,0.0015655352631767,1.6048919071021397,1.5700336626056255,1.6048919071021397,2.183552061427222,0.0753873191835601,0.041845312298574,12294.0,1.0,0.0,0.0,,,0,0,18555000,0,,,,,,True,0.0,no weights; every calibration spot and the test point carry equal mass. Sees nothing.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,random,abs,none,all,0.2,,6,0.7770464173367564,0.0018420071718697,1.2439240727870968,1.214461712300983,1.2439240727870968,1.8321749933187923,0.1317126829713961,0.0912408996918474,12294.0,1.0,0.0,0.0,,,0,0,18555000,0,,,,,,True,0.0,no weights; every calibration spot and the test point carry equal mass. Sees nothing.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,random,abs,none,morph_joined,0.1,,6,0.8829500642260161,0.0017923910878962,1.6073336859982084,1.5788585991712916,1.6073336859982084,2.182631346285272,0.0751729995467795,0.0418769362272043,11205.0,1.0,0.0,0.0,,,0,0,16916550,0,,,,0.9118892089314564,,True,0.0,no weights; every calibration spot and the test point carry equal mass. Sees nothing.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,random,abs,none,morph_joined,0.2,,6,0.7764412558925197,0.0020818265092477,1.2444984391588856,1.2185342091814717,1.2444984391588856,1.832614136173688,0.1317475890963637,0.0918111550111165,11205.0,1.0,0.0,0.0,,,0,0,16916550,0,,,,0.9118892089314564,,True,0.0,no weights; every calibration spot and the test point carry equal mass. Sees nothing.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,random,scaled_clip,W1,all,0.1,,6,0.899723576339844,0.0014603140398706,1.5767252156120388,1.546908583892224,1.5084623097939744,2.055216333463045,0.0780662269812691,0.0222101966788868,11783.224183580867,0.9594000162048436,0.0050382701941956,0.0099913614016756,0.5588488949755533,0.4998663581837048,0,0,18555000,0,,,,,0.0200007891896192,True,0.0,"sees everything the encoder represents, which includes the slide signature, stain and scanner, not only biology. Trained on the PCA-256 features of C against E from the PCA fit on T.",a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,random,scaled_clip,W1b,morph_joined,0.1,,6,0.899551424243146,0.0015115966331519,1.5780219779593618,1.5441227254285714,1.510279783800692,2.0551665141996667,0.0779485710823282,0.0225000046745257,11196.051745561092,0.998968443897363,0.0050428786280514,0.0058670653097969,0.508965909015773,0.5000828314796518,0,0,16916550,0,,,,0.9118892089314564,0.0200007891896192,True,0.0,"sees tissue composition only: nuclear count, mean and median nuclear area and the five class fractions. It cannot see the slide as an image. Fitted and evaluated on the morphology-joined subset of spots, with `none` reported on that same subset beside it so the comparison is like for like.",a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,random,scaled_clip,W2,all,0.1,,6,0.8997432018828952,0.001394296963132,1.5768458513417576,1.547054726137551,1.5085769415366588,2.05521728094702,0.0780551946553421,0.0222016034617626,12294.0,1.0,0.0,0.0,,,0,0,18555000,0,,,,,0.0200007891896192,True,0.0,"sees resolution group and, where the task definition defines it, capture session. Nothing else. On every task but PRAD the session field is null for every sample, so the cell is the resolution group alone.",a3_by_task__hoptimus0__main.csv
